fecha,ret_.INX,ret_CPER,ret_EEM,ret_NDX,ret_SPBLSCUP,ret_USD_PEN
2026-03-03,-0.009443997198334,-0.02170926078593,-0.050081300813008,-0.010904027592167,-0.06002565384699,0.016359309934563
2026-03-04,0.007756031939536,0.010393258426966,0.010783978089695,0.015113219698318,0.010037931353502,-0.004711735440445
2026-03-05,-0.005646699177524,-0.010842368640534,-0.024047417442845,-0.002919858705459,-0.043324937027708,-0.017208680055279
2026-03-06,-0.013276804314632,0.001405283867341,-0.005379142807566,-0.015083286005305,-0.016587677725118,0.04117581061371
2026-03-09,0.008304129661336,0.007577883805782,0.019713886950454,0.013157072469202,0.00759401241329,0.03863037804716
2026-03-10,-0.00213508260018,0.005013927576602,0.00393498716852,-0.000431765612953,0.032055462956253,-0.015772870662461
2026-03-11,-0.000837575278553,0.001108647450111,0.002556237218814,0.000342195831381,-0.012194551071997,-0.004370629370629
2026-03-12,-0.015227722187786,-0.015227021040974,-0.031956484786673,-0.017281387029286,-0.041845366443144,-0.015336259877085
2026-03-13,-0.006059089233315,-0.021085184143942,-0.002633889376646,-0.006230236272081,-0.021242921087123,0.025085924134725
2026-03-16,0.0101308919075,0.024985640436531,0.027816901408451,0.01126340351581,0.020238516347466,0.014347677063903
2026-03-17,0.002494260662927,-0.013449145418885,0.006337786913327,0.005073140342011,0.005374080586443,-0.003209804493726
2026-03-18,-0.013607619909799,-0.04430559500142,-0.020255319148936,-0.014339143565767,-0.045644891122278,0.002927400468384
2026-03-19,-0.002748803719414,0.002080237741456,0.001042390548992,-0.002858126623075,-0.032625248431975,0.007880910683012
2026-03-20,-0.015138144460977,-0.040628706998814,-0.034363068379035,-0.018768825486712,-0.029883401371435,0.007240081088908
2026-03-23,0.011453197427795,0.036476043276662,0.030014378145219,0.012152818459664,0.032206606342309,0.026196845309473
2026-03-24,-0.003742592311199,-0.005368326871458,-0.013784679811551,-0.007695363805827,0.009325872635225,-0.025225871506771
2026-03-25,0.005419157247074,0.013193403298351,0.015923566878981,0.0066880672598,0.02162090813094,0.022627555793052
2026-03-26,-0.017406210652467,-0.013613495116899,-0.033960292580982,-0.023837291592345,-0.020284761880152,-0.020901445086705
2026-03-27,-0.016721834878249,0.003600360036004,-0.004867495943753,-0.019257641921397,-0.00021100385082,0.020757267286973
2026-03-30,-0.003945767289228,0.004185351270553,-0.008152173913044,-0.007754799792675,-0.001477338679892,0.006888448858851
2026-03-31,0.029131172245938,0.025007442691277,0.037260273972603,0.034278611690304,0.046420079260238,0.020069242125036
2026-04-01,0.007168546623124,-0.002613999419111,0.007747842930093,0.011785920837196,0.019592496275911,-0.010300429184549
