fecha,vc_6030_actual,ret_6030_actual,vc_6030_tickers_google,ret_6030_tickers_google,vc_sbs_real,error_abs_actual,error_abs_tickers_google,mejor
2026-07-15,70.39334174137345,-0.0015755232614129118,70.2498466110354,-0.0036107874906447,69.9080824,0.4852593413734496,0.34176421103539667,TICKERS GOOGLE
2026-07-16,69.06486730242563,-0.01887216043569387,69.10636167290576,-0.016277401208588664,68.4036329,0.6612344024256203,0.7027287729057576,ACTUAL
2026-07-17,68.4898133444724,-0.00832628774098915,68.20061232945007,-0.013106598604377236,68.2147702,0.27504314447239153,0.014157870549937002,TICKERS GOOGLE
2026-07-20,68.54552567526764,0.0008134396645971553,68.17524912936892,-0.00037189109034138623,68.06385,0.4816756752676383,0.1113991293689196,TICKERS GOOGLE
2026-07-21,70.09306150739775,0.02257675926889092,69.7144011439752,0.022576404696161668,70.02189279999999,0.07116870739776004,0.3074916560247942,ACTUAL
2026-07-22,70.18123904922106,0.0012580067117487028,69.7279984236514,0.00019504262323252292,70.0996577,0.08158134922106797,0.37165927634859486,ACTUAL
2026-07-24,69.62132680938888,-0.007978089977002088,68.54673786900555,-0.016940978966135972,68.3626543,1.258672509388873,0.18408356900555134,TICKERS GOOGLE
2026-07-30,72.00046924542444,0.03417260981752389,70.0755066387814,0.022302575108641347,68.2721906,3.7282786454244388,1.8033160387814036,TICKERS GOOGLE
2026-07-31,71.94816969689585,-0.0007263778844319702,69.8961608993026,-0.0025593213389561724,67.7685784,4.17959129689585,2.127582499302605,TICKERS GOOGLE
2026-08-03,72.62871829469134,0.009458872972898567,70.48717198544533,0.008455558624946173,68.1332558,4.495462494691338,2.3539161854453283,TICKERS GOOGLE
2026-08-04,74.36040343652876,0.023842980882728695,72.22703484143953,0.024683397091792365,69.7841504,4.576253036528755,2.4428844414395314,TICKERS GOOGLE
2026-08-05,74.49946144629392,0.0018700545362674687,72.09103869447895,-0.0018828981040013195,69.8102662,4.68919524629392,2.2807724944789527,TICKERS GOOGLE
2026-08-07,75.29907099618175,0.010733091680995226,72.73043756868778,0.008869325311271995,69.6836293,5.6154416961817475,3.0468082686877693,TICKERS GOOGLE
2026-08-10,75.09282434404658,-0.0027390331568053657,72.50526838665355,-0.003095941528215976,69.2112776,5.881546744046574,3.293990786653552,TICKERS GOOGLE
2026-08-11,74.52660700520794,-0.0075402322896320146,72.31000269791119,-0.0026931241423872616,69.498597,5.028010005207932,2.8114056979111837,TICKERS GOOGLE
2026-08-12,74.64237584363156,0.0015533893608698425,72.40900325137325,0.0013691128442584444,70.5338688,4.108507043631562,1.8751344513732562,TICKERS GOOGLE
2026-08-13,74.4338726875619,-0.002793361729353857,72.3097356463228,-0.0013709290363495788,70.6649381,3.768934587561901,1.6447975463228062,TICKERS GOOGLE
2026-08-14,74.57226074667288,0.0018592081012882293,72.28646038231206,-0.0003218828530171452,70.8740985,3.6981622466728794,1.4123618823120552,TICKERS GOOGLE
2026-08-17,74.73489709655244,0.0021809228827331874,72.38251629795656,0.001328823062250815,71.5395979,3.1952991965524404,0.8429183979565522,TICKERS GOOGLE
2026-08-18,73.36142921898293,-0.018377865373857213,71.14581096208185,-0.01708569139519704,69.6328126,3.72861661898294,1.5129983620818592,TICKERS GOOGLE
