afp,baseline,segmento,n,mae,rmse,r2,sesgo,correlacion_real_estimado,direccion_diaria_pct,cobertura_direccional_pct,mae_retorno_cero,mejora_mae_vs_cero_pct,ranking_mae,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,cobertura_direccional_acumulada_pct,mape_cuota_5d_retorno_cero_pct,mejora_mape_vs_cero_pct,ranking_mape
Habitat,MEDIA_EXPANSIVA,prueba,593,0.005024240193200482,0.0074676836862104965,-0.0030932576052380423,-0.00043939654690862705,0.04699811268047167,57.335581787521086,100.0,0.005064750471961615,0.7998474749229594,1.0,593,0.9990563123417371,0.7067106608819262,2.367611775356358,6.113998062063741,-0.17283323079168253,0.07056109742044331,62.22596964586846,100.0,1.0195940734705966,2.0143076213606292,3.0
Habitat,MEDIA_MOVIL_20,prueba,593,0.005061989748245246,0.007623295499608884,-0.04533379815319072,-3.913848663857494e-05,0.032262738667847575,56.323777403035415,100.0,0.005064750471961615,0.054508583031925587,2.0,593,0.9852067073163371,0.667614566802821,2.1816542323086945,6.239844946509665,-0.03365050395208091,0.19234329913912013,61.38279932546374,100.0,1.0195940734705966,3.3726526123487908,2.0
Habitat,PERSISTENCIA_1D,prueba,593,0.006989862852019144,0.01033676122133127,-0.9219339204707657,-1.2978123434782435e-05,0.03760409647369981,54.468802698145026,100.0,0.005064750471961615,-38.01001432775262,4.0,593,0.7215787021667649,0.48837964302745895,1.5386115586431977,5.6546811367808925,-0.031202770303470895,0.7227712740511185,78.75210792580101,100.0,1.0195940734705966,29.228825378458417,1.0
Habitat,RETORNO_CERO,prueba,593,0.005064750471961615,0.007493549325854488,-0.010054072628495003,-0.0007476292210260486,,,0.0,0.005064750471961615,0.0,3.0,593,1.0195940734705966,0.7227581338476785,2.3831012189354976,6.029746103300937,-0.2827617712632653,,,0.0,1.0195940734705966,0.0,4.0
Integra,MEDIA_EXPANSIVA,prueba,593,0.005373004299099008,0.00791791240290547,-0.0015864567905650162,-0.0003279127254944517,0.018456738551369735,56.155143338954474,100.0,0.005395015701423717,0.40799514853868124,1.0,593,1.0405276553423395,0.7269879171408311,2.4692151358192715,6.317671341841002,-0.13435399036201073,0.049815639726062795,58.68465430016864,100.0,1.0506052925984848,0.9592220148843968,3.0
Integra,MEDIA_MOVIL_20,prueba,593,0.00547335739438232,0.00810669210829555,-0.04991566519857682,-1.862005240729857e-05,0.01653655097889868,53.96290050590219,100.0,0.005395015701423717,-1.4521124180960001,3.0,593,1.0392667040872274,0.6885537713650303,2.2863166726976925,6.169242790431473,-0.026556419871380223,0.17558142534869092,59.86509274873525,100.0,1.0506052925984848,1.0792434219718594,2.0
Integra,PERSISTENCIA_1D,prueba,593,0.007626538575045567,0.011106271177796638,-0.9706232593681738,-1.894108491705191e-05,0.012437882544496664,48.735244519392914,100.0,0.005395015701423717,-41.36267616483419,4.0,593,0.7741123059252399,0.5129297869564953,1.7535959858075818,5.243725003500188,-0.028809270956459312,0.7106075907912212,75.88532883642496,100.0,1.0506052925984848,26.317494174181128,1.0
Integra,RETORNO_CERO,prueba,593,0.005395015701423717,0.00792964705592473,-0.004557436599680775,-0.0005341051786697768,,,0.0,0.005395015701423717,0.0,2.0,593,1.0506052925984848,0.7143634913758135,2.5219787874523143,6.265881771959059,-0.2079192201021966,,,0.0,1.0506052925984848,0.0,4.0
Prima,MEDIA_EXPANSIVA,prueba,593,0.0055066827051544,0.008393647831352501,-0.0015408925533069162,-0.00034407342612680064,0.020341781065546013,55.81787521079258,100.0,0.005526064086746787,0.35072668879952595,1.0,593,1.0759889923896409,0.7480685002450582,2.551909056904418,8.476773693845674,-0.12100471785307576,0.06296983028881865,59.527824620573355,100.0,1.0869260599641308,1.0062384165166587,2.0
Prima,MEDIA_MOVIL_20,prueba,593,0.0056422197375662,0.008584152823335776,-0.04751941268919602,-2.7201419334239657e-05,0.018127417192151427,53.79426644182125,100.0,0.005526064086746787,-2.1019598939865887,3.0,593,1.0823062669809997,0.7308687839668204,2.3453805054520624,7.952699389339091,-0.011192724762861815,0.19793399983507245,59.02192242833052,100.0,1.0869260599641308,0.42503286592314693,3.0
Prima,PERSISTENCIA_1D,prueba,593,0.008022842428975658,0.011810569476494621,-0.9829368155163623,-2.1049227035260252e-05,0.006149465050537884,47.38617200674536,100.0,0.005526064086746787,-45.18185643588388,4.0,593,0.7828344676922951,0.5314608153554778,1.7936279101974792,6.117736773611027,-0.021916219202948763,0.7207827335531861,73.52445193929174,100.0,1.0869260599641308,27.977210545662224,1.0
Prima,RETORNO_CERO,prueba,593,0.005526064086746787,0.00840364426954539,-0.003927888921664069,-0.0005256491900488007,,,0.0,0.005526064086746787,0.0,2.0,593,1.0869260599641308,0.753237371448956,2.5560673357324886,8.416653395295315,-0.1857827268687046,,,0.0,1.0869260599641308,0.0,4.0
Profuturo,MEDIA_EXPANSIVA,prueba,593,0.005529153035847651,0.008205132661255906,-0.0010760896783377216,-0.0002596924121685331,-0.008843262585374847,55.4806070826307,100.0,0.005549985233366325,0.3753559089388376,1.0,593,1.083472995428331,0.7390584215556606,2.592358479088621,7.2610621169054035,-0.10870578091712625,0.030565022540146217,59.02192242833052,100.0,1.0971413570388178,1.2458159126712312,2.0
Profuturo,MEDIA_MOVIL_20,prueba,593,0.005647686232304449,0.00845817724502793,-0.06377416246410039,-1.6660396952717803e-05,-0.03493230434931139,52.4451939291737,100.0,0.005549985233366325,-1.7603830430169252,3.0,593,1.107059216166846,0.7454407984581635,2.458488085892459,8.170413728729176,-0.023031677487559927,0.07315651261189247,58.34738617200674,100.0,1.0971413570388178,-0.903972771092734,4.0
Profuturo,PERSISTENCIA_1D,prueba,593,0.00779028325087974,0.01139625580872614,-0.9311688721697469,-1.1102634671937755e-05,0.033588044401839594,51.09612141652614,100.0,0.005549985233366325,-40.36583744484253,4.0,593,0.7893201152109177,0.5106136884849732,1.7228120305051855,6.834489079606909,-0.03501635111049745,0.7077599521663978,78.41483979763912,100.0,1.0971413570388178,28.05666196548355,1.0
Profuturo,RETORNO_CERO,prueba,593,0.005549985233366325,0.008217003716800167,-0.0039748670713848355,-0.0005170271718433014,,,0.0,0.005549985233366325,0.0,2.0,593,1.0971413570388178,0.7873271196802811,2.6182230170554637,7.091164421295981,-0.20058468412262523,,,0.0,1.0971413570388178,0.0,3.0
