periodo,afp,monto_ca_miles_soles,suma_pct_reportada,registros,total_fp_miles_soles,objetivo_monto_miles_soles,objetivo_pct,objetivo,escenario,ratio_ca_objetivo,error_abs_pct,pct_calculado_sobre_total_fp,dif_pct_interno_pp
2022-12,Prima,2767091.986129245,72.81330586349222,59,3800255.9467865,1317929.2152352,34.68001191734487,administradoras_fondos_exterior,despues_auditoria,2.0995755721489373,109.95755721489373,72.81330586349323,1.0089706847793423e-12
2022-12,Prima,2767091.986129245,72.81330586349222,59,3800255.9467865,558862.180769,14.705908985987106,fondos_mutuos_mas_etf,despues_auditoria,4.951295831687338,395.12958316873375,72.81330586349323,1.0089706847793423e-12
2022-12,Prima,2767091.986129245,72.81330586349222,59,3800255.9467865,558806.3270218,14.704439249527718,fondos_mutuos_exterior,despues_auditoria,4.951790723051881,395.17907230518813,72.81330586349323,1.0089706847793423e-12
2022-12,Profuturo,3361342.498328335,84.25390165085396,95,3989539.2764808,1573311.8387783,39.43592805448275,total_exterior,despues_auditoria,2.1364756912644016,113.64756912644016,84.25390165085425,2.8421709430404007e-13
2022-12,Profuturo,3361342.498328335,84.25390165085396,95,3989539.2764808,1538420.6341264,38.56136078658815,rv_y_fondos_exterior,despues_auditoria,2.1849307164533,118.49307164532999,84.25390165085425,2.8421709430404007e-13
2022-12,Profuturo,3361342.498328335,84.25390165085396,95,3989539.2764808,1538420.6341264,38.56136078658815,fondos_exterior_amplio,despues_auditoria,2.1849307164533,118.49307164532999,84.25390165085425,2.8421709430404007e-13
2022-12,Profuturo,3361342.498328335,84.25390165085396,95,3989539.2764808,1538334.4535399,38.55920062270637,administradoras_fondos_exterior,despues_auditoria,2.1850531206614177,118.50531206614177,84.25390165085425,2.8421709430404007e-13
2022-12,Profuturo,3361342.498328335,84.25390165085396,95,3989539.2764808,790522.7053033999,19.814887146586145,fondos_mutuos_mas_etf,despues_auditoria,4.252050542986319,325.20505429863186,84.25390165085425,2.8421709430404007e-13
2022-12,Profuturo,3361342.498328335,84.25390165085396,95,3989539.2764808,790436.5247169,19.812726982704365,fondos_mutuos_exterior,despues_auditoria,4.2525141402495565,325.25141402495564,84.25390165085425,2.8421709430404007e-13
2023-01,Habitat,2832951.7386097377,96.00911884700878,104,2950711.1122686,1427603.7294621,48.38168411425954,total_exterior,despues_auditoria,1.98441043557455,98.441043557455,96.0091188470048,3.979039320256561e-12
2023-01,Habitat,2832951.7386097377,96.00911884700878,104,2950711.1122686,1424889.8656348,48.289710900886796,rv_y_fondos_exterior,despues_auditoria,1.9881899695789014,98.81899695789014,96.0091188470048,3.979039320256561e-12
2023-01,Habitat,2832951.7386097377,96.00911884700878,104,2950711.1122686,1424889.8656348,48.289710900886796,fondos_exterior_amplio,despues_auditoria,1.9881899695789014,98.81899695789014,96.0091188470048,3.979039320256561e-12
2023-01,Habitat,2832951.7386097377,96.00911884700878,104,2950711.1122686,1407472.1369445,47.699421712023806,administradoras_fondos_exterior,despues_auditoria,2.0127941891338823,101.27941891338823,96.0091188470048,3.979039320256561e-12
