anio,mes,mes_nombre,url,archivo
2015,1,Enero,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Enero/CA-0001-en2015.XLS,CA-0001-en2015.XLS
2015,2,Febrero,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Febrero/CA-0001-fe2015.XLS,CA-0001-fe2015.XLS
2015,3,Marzo,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Marzo/CA-0001-ma2015.XLS,CA-0001-ma2015.XLS
2015,4,Abril,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Abril/CA-0001-ab2015.XLS,CA-0001-ab2015.XLS
2015,5,Mayo,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Mayo/CA-0001-my2015.XLS,CA-0001-my2015.XLS
2015,6,Junio,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Junio/CA-0001-jn2015.XLS,CA-0001-jn2015.XLS
2015,7,Julio,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Julio/CA-0001-jl2015.XLS,CA-0001-jl2015.XLS
2015,8,Agosto,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Agosto/CA-0001-ag2015.XLS,CA-0001-ag2015.XLS
2015,9,Setiembre,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Setiembre/CA-0001-se2015.XLS,CA-0001-se2015.XLS
2015,10,Octubre,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Octubre/CA-0001-oc2015.XLS,CA-0001-oc2015.XLS
2015,11,Noviembre,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Noviembre/CA-0001-no2015.XLS,CA-0001-no2015.XLS
2015,12,Diciembre,https://intranet2.sbs.gob.pe/estadistica/spp/2015/Diciembre/CA-0001-di2015.XLS,CA-0001-di2015.XLS
2016,1,Enero,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Enero/CA-0001-en2016.XLS,CA-0001-en2016.XLS
2016,2,Febrero,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Febrero/CA-0001-fe2016.XLS,CA-0001-fe2016.XLS
2016,3,Marzo,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Marzo/CA-0001-ma2016.XLS,CA-0001-ma2016.XLS
2016,4,Abril,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Abril/CA-0001-ab2016.XLS,CA-0001-ab2016.XLS
2016,5,Mayo,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Mayo/CA-0001-my2016.XLS,CA-0001-my2016.XLS
2016,6,Junio,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Junio/CA-0001-jn2016.XLS,CA-0001-jn2016.XLS
2016,7,Julio,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Julio/CA-0001-jl2016.XLS,CA-0001-jl2016.XLS
2016,8,Agosto,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Agosto/CA-0001-ag2016.XLS,CA-0001-ag2016.XLS
2016,9,Setiembre,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Setiembre/CA-0001-se2016.XLS,CA-0001-se2016.XLS
2016,10,Octubre,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Octubre/CA-0001-oc2016.XLS,CA-0001-oc2016.XLS
2016,11,Noviembre,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Noviembre/CA-0001-no2016.XLS,CA-0001-no2016.XLS
2016,12,Diciembre,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Diciembre/CA-0001-di2016.XLS,CA-0001-di2016.XLS
2017,1,Enero,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Enero/CA-0001-en2017.XLS,CA-0001-en2017.XLS
2017,2,Febrero,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Febrero/CA-0001-fe2017.XLS,CA-0001-fe2017.XLS
2017,3,Marzo,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Marzo/CA-0001-ma2017.XLS,CA-0001-ma2017.XLS
2017,4,Abril,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Abril/CA-0001-ab2017.XLS,CA-0001-ab2017.XLS
2017,5,Mayo,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Mayo/CA-0001-my2017.XLS,CA-0001-my2017.XLS
2017,6,Junio,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Junio/CA-0001-jn2017.XLS,CA-0001-jn2017.XLS
2017,7,Julio,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Julio/CA-0001-jl2017.XLS,CA-0001-jl2017.XLS
2017,8,Agosto,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Agosto/CA-0001-ag2017.XLS,CA-0001-ag2017.XLS
2017,9,Setiembre,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Setiembre/CA-0001-se2017.XLS,CA-0001-se2017.XLS
2017,10,Octubre,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Octubre/CA-0001-oc2017.XLS,CA-0001-oc2017.XLS
2017,11,Noviembre,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Noviembre/CA-0001-no2017.XLS,CA-0001-no2017.XLS
2017,12,Diciembre,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Diciembre/CA-0001-di2017.XLS,CA-0001-di2017.XLS
2018,1,Enero,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Enero/CA-0001-en2018.XLS,CA-0001-en2018.XLS
2018,2,Febrero,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Febrero/CA-0001-fe2018.XLS,CA-0001-fe2018.XLS
2018,3,Marzo,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Marzo/CA-0001-ma2018.XLS,CA-0001-ma2018.XLS
2018,4,Abril,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Abril/CA-0001-ab2018.XLS,CA-0001-ab2018.XLS
2018,5,Mayo,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Mayo/CA-0001-my2018.XLS,CA-0001-my2018.XLS
2018,6,Junio,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Junio/CA-0001-jn2018.XLS,CA-0001-jn2018.XLS
2018,7,Julio,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Julio/CA-0001-jl2018.XLS,CA-0001-jl2018.XLS
2018,8,Agosto,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Agosto/CA-0001-ag2018.XLS,CA-0001-ag2018.XLS
