escenario,variante_confianza,afp,observaciones,periodos,primera_fecha,ultima_fecha,peso_publico_mediano,peso_publico_p10,peso_publico_p90,peso_privado_mediano,peso_residual_mediano,peso_excluido_mediano,error_cobertura_mediano_pct,peso_publico_mediano_pct,peso_publico_p10_pct,peso_publico_p90_pct,peso_privado_mediano_pct,peso_residual_mediano_pct,peso_excluido_mediano_pct
ampliado_15pct,alta,Habitat,133,133,2015-01-30,2026-01-30,0.17379098661312456,0.0748844149289271,0.31302350500244996,0.052112405433029,0.1063149739239889,0.19150249766466615,1.2356542910363033,17.379098661312455,7.48844149289271,31.302350500244998,5.2112405433029005,10.63149739239889,19.150249766466615
ampliado_15pct,alta,Integra,110,110,2015-01-30,2026-01-30,0.2399738801012303,0.1172013021197274,0.3299314292381724,0.08592502054222831,0.11736893574460058,0.13724597113970194,5.5507560710518655,23.99738801012303,11.72013021197274,32.993142923817246,8.59250205422283,11.736893574460058,13.724597113970194
ampliado_15pct,alta,Prima,128,128,2015-01-30,2026-01-30,0.15906557948866556,0.09410505652286763,0.3415671434731804,0.08144412351746266,0.08886217290319465,0.16005112615064243,2.1773683337280136,15.906557948866556,9.410505652286764,34.156714347318044,8.144412351746267,8.886217290319465,16.00511261506424
ampliado_15pct,alta,Profuturo,118,118,2015-01-30,2025-12-31,0.2614756662848813,0.12648379788440164,0.39668613513632994,0.1113893650900257,0.08308785000361316,0.14339620732490055,6.835115984474527,26.14756662848813,12.648379788440165,39.66861351363299,11.13893650900257,8.308785000361315,14.339620732490054
ampliado_15pct,alta_media,Habitat,133,133,2015-01-30,2026-01-30,0.3481533480658836,0.2409166017768013,0.5192495560427289,0.052112405433029,0.1063149739239889,0.0041425925867739,1.2356542910363033,34.81533480658836,24.09166017768013,51.924955604272895,5.2112405433029005,10.63149739239889,0.41425925867739
ampliado_15pct,alta_media,Integra,110,110,2015-01-30,2026-01-30,0.38731746858604277,0.20086103658915647,0.4451156379342896,0.08592502054222831,0.11736893574460058,0.00118772146720385,5.5507560710518655,38.731746858604275,20.086103658915647,44.51156379342896,8.59250205422283,11.736893574460058,0.118772146720385
ampliado_15pct,alta_media,Prima,128,128,2015-01-30,2026-01-30,0.3689872736649206,0.17749032685617724,0.44774987699763114,0.08144412351746266,0.08886217290319465,0.00068984093499765,2.1773683337280136,36.89872736649206,17.749032685617724,44.774987699763116,8.144412351746267,8.886217290319465,0.068984093499765
ampliado_15pct,alta_media,Profuturo,118,118,2015-01-30,2025-12-31,0.41604354334707305,0.2223117158748694,0.5331844985562083,0.1113893650900257,0.08308785000361316,0.0,6.835115984474527,41.6043543347073,22.23117158748694,53.318449855620834,11.13893650900257,8.308785000361315,0.0
ampliado_15pct,todos_mapeados,Habitat,133,133,2015-01-30,2026-01-30,0.3481533480658836,0.24633795423646002,0.5352648551074648,0.052112405433029,0.1063149739239889,0.0,1.2356542910363033,34.81533480658836,24.633795423646003,53.52648551074648,5.2112405433029005,10.63149739239889,0.0
ampliado_15pct,todos_mapeados,Integra,110,110,2015-01-30,2026-01-30,0.389893681119734,0.20747445060176298,0.4579696823742749,0.08592502054222831,0.11736893574460058,0.0,5.5507560710518655,38.9893681119734,20.747445060176297,45.796968237427485,8.59250205422283,11.736893574460058,0.0
ampliado_15pct,todos_mapeados,Prima,128,128,2015-01-30,2026-01-30,0.37029385223889577,0.18182393084976295,0.45395300158990687,0.08144412351746266,0.08886217290319465,0.0,2.1773683337280136,37.02938522388958,18.182393084976294,45.395300158990686,8.144412351746267,8.886217290319465,0.0
ampliado_15pct,todos_mapeados,Profuturo,118,118,2015-01-30,2025-12-31,0.43041420250724094,0.2223117158748694,0.5372833411160547,0.1113893650900257,0.08308785000361316,0.0,6.835115984474527,43.041420250724094,22.23117158748694,53.72833411160547,11.13893650900257,8.308785000361315,0.0
principal_5pct,alta,Habitat,124,124,2015-01-30,2026-01-30,0.17641081800954087,0.07315557841354642,0.3251367626399496,0.03976133150139888,0.1077114537356019,0.1972369725247373,1.1077628792044936,17.641081800954087,7.315557841354642,32.51367626399496,3.976133150139888,10.77114537356019,19.72369725247373
principal_5pct,alta,Integra,49,49,2015-01-30,2024-05-31,0.25384538767704656,0.22073847675457034,0.311245674647888,0.044178922547379006,0.13116652829655412,0.15702658902956992,1.819478724666068,25.384538767704655,22.073847675457035,31.1245674647888,4.4178922547379,13.116652829655411,15.702658902956992
principal_5pct,alta,Prima,96,96,2015-01-30,2026-01-30,0.17511245342302337,0.098276642567804,0.35632752946039736,0.07034064937260714,0.10625487314228818,0.20392576001598145,1.5702689961630432,17.511245342302338,9.8276642567804,35.63275294603974,7.034064937260714,10.625487314228819,20.392576001598144
principal_5pct,alta,Profuturo,49,49,2015-01-30,2024-07-31,0.3272273155448107,0.2406887125699215,0.39797046554004534,0.0359831737712122,0.08253918230569586,0.16308158039295031,1.8864870688396151,32.72273155448107,24.06887125699215,39.79704655400453,3.59831737712122,8.253918230569585,16.30815803929503
principal_5pct,alta_media,Habitat,124,124,2015-01-30,2026-01-30,0.36697874363439487,0.24096779296320098,0.5269506312179585,0.03976133150139888,0.1077114537356019,0.004855242955721701,1.1077628792044936,36.69787436343949,24.096779296320097,52.69506312179585,3.976133150139888,10.77114537356019,0.4855242955721701
principal_5pct,alta_media,Integra,49,49,2015-01-30,2024-05-31,0.4069256797391747,0.38489544269612197,0.4653234704368844,0.044178922547379006,0.13116652829655412,0.010295333056960947,1.819478724666068,40.69256797391747,38.489544269612196,46.53234704368844,4.4178922547379,13.116652829655411,1.0295333056960947
principal_5pct,alta_media,Prima,96,96,2015-01-30,2026-01-30,0.3947619301622863,0.299418460359821,0.4507198359587166,0.07034064937260714,0.10625487314228818,0.0013892790552269,1.5702689961630432,39.47619301622863,29.9418460359821,45.071983595871664,7.034064937260714,10.625487314228819,0.13892790552269002
principal_5pct,alta_media,Profuturo,49,49,2015-01-30,2024-07-31,0.4894104254586897,0.4219953780776534,0.5684138443163935,0.0359831737712122,0.08253918230569586,0.0,1.8864870688396151,48.94104254586897,42.19953780776534,56.841384431639355,3.59831737712122,8.253918230569585,0.0
principal_5pct,todos_mapeados,Habitat,124,124,2015-01-30,2026-01-30,0.3737919636382424,0.24660955776105606,0.5355213845899741,0.03976133150139888,0.1077114537356019,0.0,1.1077628792044936,37.37919636382424,24.660955776105606,53.55213845899741,3.976133150139888,10.77114537356019,0.0
principal_5pct,todos_mapeados,Integra,49,49,2015-01-30,2024-05-31,0.41504740676412727,0.3894125985407274,0.47732640446482044,0.044178922547379006,0.13116652829655412,0.0,1.819478724666068,41.50474067641273,38.94125985407274,47.732640446482044,4.4178922547379,13.116652829655411,0.0
principal_5pct,todos_mapeados,Prima,96,96,2015-01-30,2026-01-30,0.39529570686226095,0.30540242989826694,0.4598268922607598,0.07034064937260714,0.10625487314228818,0.0,1.5702689961630432,39.529570686226094,30.540242989826694,45.982689226075976,7.034064937260714,10.625487314228819,0.0
principal_5pct,todos_mapeados,Profuturo,49,49,2015-01-30,2024-07-31,0.494313336830321,0.4376095897722313,0.5687390545154826,0.0359831737712122,0.08253918230569586,0.0,1.8864870688396151,49.4313336830321,43.76095897722313,56.873905451548254,3.59831737712122,8.253918230569585,0.0
