fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct,participacion_reportada_pct,periodo,conservar_auditoria
2015-01-30,CA-0001-en2015.XLS,3,10,Habitat,3,3392.1729039091992,miles_soles,0.0338382901791073,GOB.CENTRAL,BONOS GOB.CEN.,sin_categoria_adyacente,,pareja_exacta_heuristica,11.0,122321.30836964052,2.773165975022483,3.383829017910736,2015-01,True
2015-01-30,CA-0001-en2015.XLS,3,15,Habitat,3,73.313007804,miles_soles,0.0007313267637731,BANCO FALABELLA,OTRO BONOS SIST,sin_categoria_adyacente,,pareja_exacta_heuristica,16.0,122321.30836964052,0.0599347806045834,0.0731326763773159,2015-01,True
2015-01-30,CA-0001-en2015.XLS,3,30,Habitat,3,1096.0454544708998,miles_soles,0.0109334946031603,CONTINENTAL,,sin_categoria_adyacente,,pendiente_sin_categoria,,122321.30836964052,0.8960380403705136,1.0933494603160323,2015-01,True
2015-01-30,CA-0001-en2015.XLS,3,31,Habitat,3,986.0933280384,miles_soles,0.0098366778826019,ACC.CAP.SOCIAL,,sin_categoria_adyacente,,pendiente_sin_categoria,,122321.30836964052,0.8061500822559409,0.98366778826019,2015-01,True
2015-01-30,CA-0001-en2015.XLS,3,34,Habitat,3,10.00649314,miles_soles,9.98187970183818e-05,CTAS.CTES.,,sin_categoria_adyacente,,pendiente_sin_categoria,,122321.30836964052,0.0081804987809332,0.0099818797018381,2015-01,True
2015-01-30,CA-0001-en2015.XLS,3,36,Habitat,3,99.9456332925,miles_soles,0.00099699792354,OTRO BONOS SIST,,sin_categoria_adyacente,,pendiente_sin_categoria,,122321.30836964052,0.0817074593336396,0.0996997923540042,2015-01,True
2015-01-30,CA-0001-en2015.XLS,3,37,Habitat,3,538.11785016,miles_soles,0.0053679421657095,CREDICORP,ACC.CAP.SOCIAL,sin_categoria_adyacente,,pareja_exacta_heuristica,38.0,122321.30836964052,0.4399215944730346,0.5367942165709518,2015-01,True
2015-01-30,CA-0001-en2015.XLS,3,43,Habitat,3,2858.501167843,miles_soles,0.0285146997911925,CREDITO,,sin_categoria_adyacente,,pendiente_sin_categoria,,122321.30836964052,2.336879163526397,2.8514699791192557,2015-01,True
2015-01-30,CA-0001-en2015.XLS,3,45,Habitat,3,1687.2756749485,miles_soles,0.0168312540422865,BON.SUB.FIN.,,sin_categoria_adyacente,,pendiente_sin_categoria,,122321.30836964052,1.379380009449991,1.6831254042286532,2015-01,True
2015-01-30,CA-0001-en2015.XLS,3,47,Habitat,3,135.33137396,miles_soles,0.0013499849306379,CTAS.CTES.,,sin_categoria_adyacente,,pendiente_sin_categoria,,122321.30836964052,0.1106359764817464,0.1349984930637943,2015-01,True
