fecha_cartera,anio,mes,archivo,hoja,fila_excel_aprox,descriptor,tipo_identificacion,es_control_o_subtotal,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,vector_fondo3,duplicado_vector_adyacente,meta_8,meta_9,meta_10,meta_11,afp,fondo,valor,participacion_reportada
2026-01-30,2026,1,CA-0001-en2026.XLS,1,6,I. NACIONAL | 270067.4291518772 | 1.0029909409208464 | 948261.435945237 | 0.5678575981739283 | 8265683.12110366 | 0.6301491299106337,subtotal_geografico,True,I. NACIONAL,270067.4291518772,1.0029909409208464,948261.435945237,0.5678575981739283,8265683.12110366,0.6301491299106337,2459047.52261949|1426668.18748889|1381031.7930794|1713918.97085326,False,,,,,Habitat,3,2459047.5226194947,0.49316728847439095
2026-01-30,2026,1,CA-0001-en2026.XLS,1,6,I. NACIONAL | 270067.4291518772 | 1.0029909409208464 | 948261.435945237 | 0.5678575981739283 | 8265683.12110366 | 0.6301491299106337,subtotal_geografico,True,I. NACIONAL,270067.4291518772,1.0029909409208464,948261.435945237,0.5678575981739283,8265683.12110366,0.6301491299106337,2459047.52261949|1426668.18748889|1381031.7930794|1713918.97085326,False,,,,,Integra,3,1426668.187488894,0.4198993257141979
2026-01-30,2026,1,CA-0001-en2026.XLS,1,6,I. NACIONAL | 270067.4291518772 | 1.0029909409208464 | 948261.435945237 | 0.5678575981739283 | 8265683.12110366 | 0.6301491299106337,subtotal_geografico,True,I. NACIONAL,270067.4291518772,1.0029909409208464,948261.435945237,0.5678575981739283,8265683.12110366,0.6301491299106337,2459047.52261949|1426668.18748889|1381031.7930794|1713918.97085326,False,,,,,Prima,3,1381031.793079397,0.45844108371812126
2026-01-30,2026,1,CA-0001-en2026.XLS,1,6,I. NACIONAL | 270067.4291518772 | 1.0029909409208464 | 948261.435945237 | 0.5678575981739283 | 8265683.12110366 | 0.6301491299106337,subtotal_geografico,True,I. NACIONAL,270067.4291518772,1.0029909409208464,948261.435945237,0.5678575981739283,8265683.12110366,0.6301491299106337,2459047.52261949|1426668.18748889|1381031.7930794|1713918.97085326,False,,,,,Profuturo,3,1713918.970853257,0.4816282911660295
2026-01-30,2026,1,CA-0001-en2026.XLS,1,7,1. Gobierno | 0 | 457333.92978509044 | 0.2738701976974664 | 3790337.6417572354 | 0.2889631663864134,subtotal_clase,True,1. Gobierno,0,,457333.92978509044,0.2738701976974664,3790337.6417572354,0.2889631663864134,495580.38234588|0.0|149988.1455045|137012.61863793,True,,,,,Habitat,3,495580.3823458773,0.09938971538145278
2026-01-30,2026,1,CA-0001-en2026.XLS,1,7,1. Gobierno | 0 | 457333.92978509044 | 0.2738701976974664 | 3790337.6417572354 | 0.2889631663864134,subtotal_clase,True,1. Gobierno,0,,457333.92978509044,0.2738701976974664,3790337.6417572354,0.2889631663864134,495580.38234588|0.0|149988.1455045|137012.61863793,True,,,,,Prima,3,149988.1455045,0.04978938813322535
2026-01-30,2026,1,CA-0001-en2026.XLS,1,7,1. Gobierno | 0 | 457333.92978509044 | 0.2738701976974664 | 3790337.6417572354 | 0.2889631663864134,subtotal_clase,True,1. Gobierno,0,,457333.92978509044,0.2738701976974664,3790337.6417572354,0.2889631663864134,495580.38234588|0.0|149988.1455045|137012.61863793,True,,,,,Profuturo,3,137012.61863793002,0.03850190966141012
2026-01-30,2026,1,CA-0001-en2026.XLS,1,8,BONOS GOBIERNO CENTRAL DE LA REPUBLICA | 0 | 457333.92978509044 | 0.2738701976974664 | 3790337.6417572354 | 0.2889631663864134,categoria_generica,True,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,0,,457333.92978509044,0.2738701976974664,3790337.6417572354,0.2889631663864134,495580.38234588|0.0|149988.1455045|137012.61863793,True,,,,,Habitat,3,495580.3823458773,0.09938971538145278
2026-01-30,2026,1,CA-0001-en2026.XLS,1,8,BONOS GOBIERNO CENTRAL DE LA REPUBLICA | 0 | 457333.92978509044 | 0.2738701976974664 | 3790337.6417572354 | 0.2889631663864134,categoria_generica,True,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,0,,457333.92978509044,0.2738701976974664,3790337.6417572354,0.2889631663864134,495580.38234588|0.0|149988.1455045|137012.61863793,True,,,,,Prima,3,149988.1455045,0.04978938813322535
2026-01-30,2026,1,CA-0001-en2026.XLS,1,8,BONOS GOBIERNO CENTRAL DE LA REPUBLICA | 0 | 457333.92978509044 | 0.2738701976974664 | 3790337.6417572354 | 0.2889631663864134,categoria_generica,True,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,0,,457333.92978509044,0.2738701976974664,3790337.6417572354,0.2889631663864134,495580.38234588|0.0|149988.1455045|137012.61863793,True,,,,,Profuturo,3,137012.61863793002,0.03850190966141012
2026-01-30,2026,1,CA-0001-en2026.XLS,1,10,2. Sistema Financiero | 256584.82735194516 | 0.952918529346291 | 159339.1191052917 | 0.09541875904727382 | 1700288.2790262487 | 0.12962451668272737,subtotal_clase,True,2. Sistema Financiero,256584.82735194516,0.952918529346291,159339.1191052917,0.09541875904727382,1700288.2790262487,0.12962451668272737,297990.87576819|244701.08924295|265282.36975232|268246.87909508,False,,,,,Habitat,3,297990.8757681878,0.05976271334364376
2026-01-30,2026,1,CA-0001-en2026.XLS,1,10,2. Sistema Financiero | 256584.82735194516 | 0.952918529346291 | 159339.1191052917 | 0.09541875904727382 | 1700288.2790262487 | 0.12962451668272737,subtotal_clase,True,2. Sistema Financiero,256584.82735194516,0.952918529346291,159339.1191052917,0.09541875904727382,1700288.2790262487,0.12962451668272737,297990.87576819|244701.08924295|265282.36975232|268246.87909508,False,,,,,Integra,3,244701.08924294505,0.0720208267596506
2026-01-30,2026,1,CA-0001-en2026.XLS,1,10,2. Sistema Financiero | 256584.82735194516 | 0.952918529346291 | 159339.1191052917 | 0.09541875904727382 | 1700288.2790262487 | 0.12962451668272737,subtotal_clase,True,2. Sistema Financiero,256584.82735194516,0.952918529346291,159339.1191052917,0.09541875904727382,1700288.2790262487,0.12962451668272737,297990.87576819|244701.08924295|265282.36975232|268246.87909508,False,,,,,Prima,3,265282.3697523196,0.08806193868237248
2026-01-30,2026,1,CA-0001-en2026.XLS,1,10,2. Sistema Financiero | 256584.82735194516 | 0.952918529346291 | 159339.1191052917 | 0.09541875904727382 | 1700288.2790262487 | 0.12962451668272737,subtotal_clase,True,2. Sistema Financiero,256584.82735194516,0.952918529346291,159339.1191052917,0.09541875904727382,1700288.2790262487,0.12962451668272737,297990.87576819|244701.08924295|265282.36975232|268246.87909508,False,,,,,Profuturo,3,268246.8790950771,0.07538004315621989
2026-01-30,2026,1,CA-0001-en2026.XLS,1,11,ACCIONES DEL CAPITAL SOCIAL | 0 | 9484.21841712 | 0.005679536556850686 | 792661.2615580246 | 0.060429948374062556,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,9484.21841712,0.005679536556850686,792661.2615580246,0.060429948374062556,242055.52338295|222961.6303391|250546.43532128|208164.02821572,False,,,,,Habitat,3,242055.5233829518,0.04854475768725978
2026-01-30,2026,1,CA-0001-en2026.XLS,1,11,ACCIONES DEL CAPITAL SOCIAL | 0 | 9484.21841712 | 0.005679536556850686 | 792661.2615580246 | 0.060429948374062556,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,9484.21841712,0.005679536556850686,792661.2615580246,0.060429948374062556,242055.52338295|222961.6303391|250546.43532128|208164.02821572,False,,,,,Integra,3,222961.630339105,0.06562243348561189
2026-01-30,2026,1,CA-0001-en2026.XLS,1,11,ACCIONES DEL CAPITAL SOCIAL | 0 | 9484.21841712 | 0.005679536556850686 | 792661.2615580246 | 0.060429948374062556,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,9484.21841712,0.005679536556850686,792661.2615580246,0.060429948374062556,242055.52338295|222961.6303391|250546.43532128|208164.02821572,False,,,,,Prima,3,250546.43532127963,0.08317026436754607
2026-01-30,2026,1,CA-0001-en2026.XLS,1,11,ACCIONES DEL CAPITAL SOCIAL | 0 | 9484.21841712 | 0.005679536556850686 | 792661.2615580246 | 0.060429948374062556,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,9484.21841712,0.005679536556850686,792661.2615580246,0.060429948374062556,242055.52338295|222961.6303391|250546.43532128|208164.02821572,False,,,,,Profuturo,3,208164.02821571712,0.058496163994182705
2026-01-30,2026,1,CA-0001-en2026.XLS,1,14,CUENTAS CORRIENTES | 1294.90575 | 0.004809090606279379 | 1005.1048639200001 | 0.0006018977597350125 | 10358.76527808 | 0.0007897189901055647,entidad_fondo_o_instrumento,False,CUENTAS CORRIENTES,1294.90575,0.004809090606279379,1005.1048639200001,0.0006018977597350125,10358.76527808,0.0007897189901055647,1036.92138272|3583.45890384|178.33443104|995.65087936,False,,,,,Habitat,3,1036.9213827199999,0.00020795682148200075
2026-01-30,2026,1,CA-0001-en2026.XLS,1,14,CUENTAS CORRIENTES | 1294.90575 | 0.004809090606279379 | 1005.1048639200001 | 0.0006018977597350125 | 10358.76527808 | 0.0007897189901055647,entidad_fondo_o_instrumento,False,CUENTAS CORRIENTES,1294.90575,0.004809090606279379,1005.1048639200001,0.0006018977597350125,10358.76527808,0.0007897189901055647,1036.92138272|3583.45890384|178.33443104|995.65087936,False,,,,,Integra,3,3583.4589038400004,0.001054689514101658
2026-01-30,2026,1,CA-0001-en2026.XLS,1,14,CUENTAS CORRIENTES | 1294.90575 | 0.004809090606279379 | 1005.1048639200001 | 0.0006018977597350125 | 10358.76527808 | 0.0007897189901055647,entidad_fondo_o_instrumento,False,CUENTAS CORRIENTES,1294.90575,0.004809090606279379,1005.1048639200001,0.0006018977597350125,10358.76527808,0.0007897189901055647,1036.92138272|3583.45890384|178.33443104|995.65087936,False,,,,,Prima,3,178.33443104000003,5.919909319968274e-05
2026-01-30,2026,1,CA-0001-en2026.XLS,1,14,CUENTAS CORRIENTES | 1294.90575 | 0.004809090606279379 | 1005.1048639200001 | 0.0006018977597350125 | 10358.76527808 | 0.0007897189901055647,entidad_fondo_o_instrumento,False,CUENTAS CORRIENTES,1294.90575,0.004809090606279379,1005.1048639200001,0.0006018977597350125,10358.76527808,0.0007897189901055647,1036.92138272|3583.45890384|178.33443104|995.65087936,False,,,,,Profuturo,3,995.65087936,0.0002797878078129799
2026-01-30,2026,1,CA-0001-en2026.XLS,1,15,DEPOSITOS A PLAZO | 230541.198864 | 0.8561963014043675 | 5245.04 | 0.0031409437353710845 | 390093.76 | 0.02973949519307792,entidad_fondo_o_instrumento,False,DEPOSITOS A PLAZO,230541.198864,0.8561963014043675,5245.04,0.0031409437353710845,390093.76,0.02973949519307792,51978.88|18156.0|14557.6|59087.2,False,,,,,Habitat,3,51978.88,0.01042447657954527
2026-01-30,2026,1,CA-0001-en2026.XLS,1,15,DEPOSITOS A PLAZO | 230541.198864 | 0.8561963014043675 | 5245.04 | 0.0031409437353710845 | 390093.76 | 0.02973949519307792,entidad_fondo_o_instrumento,False,DEPOSITOS A PLAZO,230541.198864,0.8561963014043675,5245.04,0.0031409437353710845,390093.76,0.02973949519307792,51978.88|18156.0|14557.6|59087.2,False,,,,,Integra,3,18156.0,0.005343703759937048
2026-01-30,2026,1,CA-0001-en2026.XLS,1,15,DEPOSITOS A PLAZO | 230541.198864 | 0.8561963014043675 | 5245.04 | 0.0031409437353710845 | 390093.76 | 0.02973949519307792,entidad_fondo_o_instrumento,False,DEPOSITOS A PLAZO,230541.198864,0.8561963014043675,5245.04,0.0031409437353710845,390093.76,0.02973949519307792,51978.88|18156.0|14557.6|59087.2,False,,,,,Prima,3,14557.6,0.004832475221626734
2026-01-30,2026,1,CA-0001-en2026.XLS,1,15,DEPOSITOS A PLAZO | 230541.198864 | 0.8561963014043675 | 5245.04 | 0.0031409437353710845 | 390093.76 | 0.02973949519307792,entidad_fondo_o_instrumento,False,DEPOSITOS A PLAZO,230541.198864,0.8561963014043675,5245.04,0.0031409437353710845,390093.76,0.02973949519307792,51978.88|18156.0|14557.6|59087.2,False,,,,,Profuturo,3,59087.2,0.016604091354224207
2026-01-30,2026,1,CA-0001-en2026.XLS,1,16,OTROS BONOS SISTEMA FINANCIERO | 0 | 86659.1412655518 | 0.05189502594273308 | 330645.59297317726 | 0.0252073578999013,categoria_generica,True,OTROS BONOS SISTEMA FINANCIERO,0,,86659.1412655518,0.05189502594273308,330645.59297317726,0.0252073578999013,2919.55100252|0.0|0.0|0.0,False,,,,,Habitat,3,2919.551002516,0.0005855222553567133
2026-01-30,2026,1,CA-0001-en2026.XLS,1,18,3. Sistema no Financiero | 0 | 210192.04618292782 | 0.125871564503435 | 2326481.2552228654 | 0.17736345771459222,subtotal_clase,True,3. Sistema no Financiero,0,,210192.04618292782,0.125871564503435,2326481.2552228654,0.17736345771459222,1589758.0206036|1002275.39929082|859474.49687938|853644.62603553,False,,,,,Habitat,3,1589758.020603598,0.31882940249821573
2026-01-30,2026,1,CA-0001-en2026.XLS,1,18,3. Sistema no Financiero | 0 | 210192.04618292782 | 0.125871564503435 | 2326481.2552228654 | 0.17736345771459222,subtotal_clase,True,3. Sistema no Financiero,0,,210192.04618292782,0.125871564503435,2326481.2552228654,0.17736345771459222,1589758.0206036|1002275.39929082|859474.49687938|853644.62603553,False,,,,,Integra,3,1002275.3992908193,0.2949913427893125
2026-01-30,2026,1,CA-0001-en2026.XLS,1,18,3. Sistema no Financiero | 0 | 210192.04618292782 | 0.125871564503435 | 2326481.2552228654 | 0.17736345771459222,subtotal_clase,True,3. Sistema no Financiero,0,,210192.04618292782,0.125871564503435,2326481.2552228654,0.17736345771459222,1589758.0206036|1002275.39929082|859474.49687938|853644.62603553,False,,,,,Prima,3,859474.4968793843,0.28530727659708527
2026-01-30,2026,1,CA-0001-en2026.XLS,1,18,3. Sistema no Financiero | 0 | 210192.04618292782 | 0.125871564503435 | 2326481.2552228654 | 0.17736345771459222,subtotal_clase,True,3. Sistema no Financiero,0,,210192.04618292782,0.125871564503435,2326481.2552228654,0.17736345771459222,1589758.0206036|1002275.39929082|859474.49687938|853644.62603553,False,,,,,Profuturo,3,853644.6260355307,0.23988263709799262
2026-01-30,2026,1,CA-0001-en2026.XLS,1,19,ACCIONES DEL CAPITAL SOCIAL | 0 | 54935.5216301396 | 0.03289762947728324 | 987147.741362485 | 0.07525697285982566,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,54935.5216301396,0.03289762947728324,987147.741362485,0.07525697285982566,823859.47426193|435494.58663114|284991.68929746|241251.36882716,False,,,,,Habitat,3,823859.4742619318,0.16522679585016045
2026-01-30,2026,1,CA-0001-en2026.XLS,1,19,ACCIONES DEL CAPITAL SOCIAL | 0 | 54935.5216301396 | 0.03289762947728324 | 987147.741362485 | 0.07525697285982566,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,54935.5216301396,0.03289762947728324,987147.741362485,0.07525697285982566,823859.47426193|435494.58663114|284991.68929746|241251.36882716,False,,,,,Integra,3,435494.5866311401,0.12817548248584787
2026-01-30,2026,1,CA-0001-en2026.XLS,1,19,ACCIONES DEL CAPITAL SOCIAL | 0 | 54935.5216301396 | 0.03289762947728324 | 987147.741362485 | 0.07525697285982566,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,54935.5216301396,0.03289762947728324,987147.741362485,0.07525697285982566,823859.47426193|435494.58663114|284991.68929746|241251.36882716,False,,,,,Prima,3,284991.68929745595,0.09460455548301237
2026-01-30,2026,1,CA-0001-en2026.XLS,1,19,ACCIONES DEL CAPITAL SOCIAL | 0 | 54935.5216301396 | 0.03289762947728324 | 987147.741362485 | 0.07525697285982566,entidad_fondo_o_instrumento,False,ACCIONES DEL CAPITAL SOCIAL,0,,54935.5216301396,0.03289762947728324,987147.741362485,0.07525697285982566,823859.47426193|435494.58663114|284991.68929746|241251.36882716,False,,,,,Profuturo,3,241251.3688271562,0.06779403605751737
2026-01-30,2026,1,CA-0001-en2026.XLS,1,20,ACCIONES DEL EXTRANJERO - LIMITE LOCAL | 0 | 3775.7044293120002 | 0.002261045706774473 | 199303.7783215526 | 0.01519427985045462,entidad_fondo_o_instrumento,False,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,0,,3775.7044293120002,0.002261045706774473,199303.7783215526,0.01519427985045462,153454.19828432|157601.68933543|86722.21929218|365466.73112774,False,,,,,Habitat,3,153454.1982843212,0.030775570694247398
2026-01-30,2026,1,CA-0001-en2026.XLS,1,20,ACCIONES DEL EXTRANJERO - LIMITE LOCAL | 0 | 3775.7044293120002 | 0.002261045706774473 | 199303.7783215526 | 0.01519427985045462,entidad_fondo_o_instrumento,False,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,0,,3775.7044293120002,0.002261045706774473,199303.7783215526,0.01519427985045462,153454.19828432|157601.68933543|86722.21929218|365466.73112774,False,,,,,Integra,3,157601.6893354304,0.046385588228363625
2026-01-30,2026,1,CA-0001-en2026.XLS,1,20,ACCIONES DEL EXTRANJERO - LIMITE LOCAL | 0 | 3775.7044293120002 | 0.002261045706774473 | 199303.7783215526 | 0.01519427985045462,entidad_fondo_o_instrumento,False,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,0,,3775.7044293120002,0.002261045706774473,199303.7783215526,0.01519427985045462,153454.19828432|157601.68933543|86722.21929218|365466.73112774,False,,,,,Prima,3,86722.21929217759,0.028787916682277856
2026-01-30,2026,1,CA-0001-en2026.XLS,1,20,ACCIONES DEL EXTRANJERO - LIMITE LOCAL | 0 | 3775.7044293120002 | 0.002261045706774473 | 199303.7783215526 | 0.01519427985045462,entidad_fondo_o_instrumento,False,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,0,,3775.7044293120002,0.002261045706774473,199303.7783215526,0.01519427985045462,153454.19828432|157601.68933543|86722.21929218|365466.73112774,False,,,,,Profuturo,3,365466.73112773825,0.10269978930419214
2026-01-30,2026,1,CA-0001-en2026.XLS,1,21,ACCIONES DEL TRABAJO | 0 | 16255.63834 | 0.009734538803990247 | 341879.68455 | 0.02606380895527711,entidad_fondo_o_instrumento,False,ACCIONES DEL TRABAJO,0,,16255.63834,0.009734538803990247,341879.68455,0.02606380895527711,319422.58357|206036.203342|214812.10111|179050.14472,False,,,,,Habitat,3,319422.58357,0.06406088860328092
2026-01-30,2026,1,CA-0001-en2026.XLS,1,21,ACCIONES DEL TRABAJO | 0 | 16255.63834 | 0.009734538803990247 | 341879.68455 | 0.02606380895527711,entidad_fondo_o_instrumento,False,ACCIONES DEL TRABAJO,0,,16255.63834,0.009734538803990247,341879.68455,0.02606380895527711,319422.58357|206036.203342|214812.10111|179050.14472,False,,,,,Integra,3,206036.20334199996,0.06064091399437098
2026-01-30,2026,1,CA-0001-en2026.XLS,1,21,ACCIONES DEL TRABAJO | 0 | 16255.63834 | 0.009734538803990247 | 341879.68455 | 0.02606380895527711,entidad_fondo_o_instrumento,False,ACCIONES DEL TRABAJO,0,,16255.63834,0.009734538803990247,341879.68455,0.02606380895527711,319422.58357|206036.203342|214812.10111|179050.14472,False,,,,,Prima,3,214812.10111000002,0.07130805599272212
