afp,categoria,ticker,nombre,factor,lag,moneda_modelo,operacion_preferida,factor_sale,correlacion_relevante,mape_base_pct,mape_candidato_pct,mejora_mape_puntos,p90_base_pct,p90_candidato_pct,familia,alpha,half_life,aceptado_validacion
Habitat,CRIPTO,BTC-USD,Bitcoin,ret_USD_CRIPTO_BITCOIN,1,USD,AGREGAR,,0.10518663039175338,0.5125223398840926,0.5086644830166089,0.0038578568674836333,1.1325154754147844,1.1272510679742933,EW_RIDGE,0.001,60.0,True
Habitat,FUTURO_AGRICOLA,ZS=F,Soya,ret_USD_FUTURO_AGRICOLA_SOYA,0,USD,AGREGAR,,0.18587589797735424,0.5125223398840926,0.51127257441684,0.0012497654672525282,1.1325154754147844,1.1145672939560576,EW_RIDGE,0.001,60.0,False
Habitat,FUTURO_BONOS,ZN=F,Treasury 10 años futuro,ret_USD_FUTURO_BONOS_TREASURY_10_A_OS_FUTURO,0,USD,AGREGAR,,0.33984974476670965,0.5125223398840926,0.5200441278107889,-0.007521787926696333,1.1325154754147844,1.1160897811525676,EW_RIDGE,0.001,60.0,False
Habitat,FUTURO_ENERGIA,BZ=F,Petróleo Brent,ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,0,USD,AGREGAR,,0.5770031301842806,0.5125223398840926,0.5024156645710579,0.010106675313034663,1.1325154754147844,1.0984762465454272,EW_RIDGE,0.001,60.0,True
Habitat,FUTURO_INDICE,NQ=F,E-mini Nasdaq 100,ret_USD_FUTURO_INDICE_E_MINI_NASDAQ_100,0,USD,AGREGAR,,0.8644130983211893,0.5125223398840926,0.5137857256242414,-0.0012633857401488369,1.1325154754147844,1.129658027057153,EW_RIDGE,0.001,60.0,False
Habitat,FUTURO_METAL,PA=F,Paladio,ret_USD_FUTURO_METAL_PALADIO,0,USD,AGREGAR,,0.3214352309457984,0.5125223398840926,0.5108931691660054,0.001629170718087214,1.1325154754147844,1.126710660972879,EW_RIDGE,0.001,60.0,False
Integra,CRIPTO,BTC-USD,Bitcoin,ret_USD_CRIPTO_BITCOIN,1,USD,AGREGAR,,0.1367601523479729,0.6366845225895563,0.6279554466630848,0.008729075926471541,1.2411911537331388,1.2230477592888807,EW_RIDGE,10.0,500.0,True
Integra,FUTURO_AGRICOLA,ZS=F,Soya,ret_USD_FUTURO_AGRICOLA_SOYA,0,USD,AGREGAR,,0.22981800265798003,0.6366845225895563,0.6352433813112852,0.0014411412782711075,1.2411911537331388,1.2226764380530009,EW_RIDGE,0.1,500.0,False
Integra,FUTURO_BONOS,ZB=F,Treasury largo plazo futuro,ret_USD_FUTURO_BONOS_TREASURY_LARGO_PLAZO_FUTURO,0,USD,AGREGAR,,0.30281725370382323,0.6366845225895563,0.6415995111518626,-0.004914988562306322,1.2411911537331388,1.2340545267652299,EW_RIDGE,0.001,500.0,False
Integra,FUTURO_ENERGIA,HO=F,Heating Oil,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,USD,AGREGAR,,0.3909118449412504,0.6366845225895563,0.6307329983163263,0.00595152427322998,1.2411911537331388,1.2283285098001882,EW_RIDGE,0.1,500.0,True
