afp,categoria,ticker,nombre,factor,lag,moneda_modelo,operacion_preferida,factor_sale,correlacion_relevante,mape_base_pct,mape_candidato_pct,mejora_mape_puntos,p90_base_pct,p90_candidato_pct,familia,alpha,half_life,aceptado_validacion
Integra,FUTURO_INDICE,ES=F,E-mini S&P 500,ret_USD_FUTURO_INDICE_E_MINI_S_P_500,0,USD,SUSTITUIR,ret_USD_SPY,0.9553466073628263,0.6366845225895563,0.636212087680865,0.00047243490869131044,1.2411911537331388,1.229465532779464,EW_RIDGE,10.0,500.0,False
Integra,FUTURO_METAL,HG=F,Cobre,ret_USD_FUTURO_METAL_COBRE,0,USD,AGREGAR,,0.6129069340713508,0.6366845225895563,0.6358565206347407,0.0008280019548155826,1.2411911537331388,1.2460003668635005,EW_RIDGE,0.001,500.0,False
Prima,CRIPTO,LTC-USD,Litecoin,ret_USD_CRIPTO_LITECOIN,0,USD,AGREGAR,,0.1325998134464497,0.5774496295748925,0.5773396010225733,0.00011002855231923014,1.2671201625506572,1.2675226299340994,EW_RIDGE,0.001,500.0,False
Prima,FUTURO_AGRICOLA,ZS=F,Soya,ret_USD_FUTURO_AGRICOLA_SOYA,0,USD,AGREGAR,,0.21844597517991993,0.5774496295748925,0.5735006613477948,0.003948968227097782,1.2671201625506572,1.2545730880034478,EW_RIDGE,0.001,500.0,True
Prima,FUTURO_BONOS,ZB=F,Treasury largo plazo futuro,ret_USD_FUTURO_BONOS_TREASURY_LARGO_PLAZO_FUTURO,0,USD,AGREGAR,,0.30281725370382323,0.5774496295748925,0.5813287598729773,-0.003879130298084732,1.2671201625506572,1.2603393376916876,EW_RIDGE,0.001,500.0,False
Prima,FUTURO_ENERGIA,HO=F,Heating Oil,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,USD,AGREGAR,,0.3515125625265093,0.5774496295748925,0.5737664438526044,0.003683185722288096,1.2671201625506572,1.2663105372468635,EW_RIDGE,0.001,500.0,True
Prima,FUTURO_INDICE,ES=F,E-mini S&P 500,ret_USD_FUTURO_INDICE_E_MINI_S_P_500,0,USD,SUSTITUIR,ret_USD_SPY,0.9553466073628263,0.5774496295748925,0.5759218154589312,0.0015278141159613678,1.2671201625506572,1.254407690475148,EW_RIDGE,0.001,500.0,False
Prima,FUTURO_METAL,HG=F,Cobre,ret_USD_FUTURO_METAL_COBRE,0,USD,AGREGAR,,0.40458094938664746,0.5774496295748925,0.5755396772317216,0.0019099523431709287,1.2671201625506572,1.2652094682838966,EW_RIDGE,0.001,500.0,False
Profuturo,CRIPTO,LTC-USD,Litecoin,ret_USD_CRIPTO_LITECOIN,0,USD,AGREGAR,,0.1325998134464497,0.6069115068706776,0.6074401384477719,-0.0005286315770942629,1.2827009034577321,1.2813184007861755,EW_RIDGE,0.001,500.0,False
Profuturo,FUTURO_AGRICOLA,ZS=F,Soya,ret_USD_FUTURO_AGRICOLA_SOYA,0,USD,AGREGAR,,0.22981800265798003,0.6069115068706776,0.6066707691257025,0.000240737744975128,1.2827009034577321,1.2789437610829002,EW_RIDGE,0.001,500.0,False
Profuturo,FUTURO_BONOS,ZB=F,Treasury largo plazo futuro,ret_USD_FUTURO_BONOS_TREASURY_LARGO_PLAZO_FUTURO,0,USD,AGREGAR,,0.30281725370382323,0.6069115068706776,0.6118864892789674,-0.004974982408289752,1.2827009034577321,1.2869301460948102,EW_RIDGE,0.001,500.0,False
Profuturo,FUTURO_ENERGIA,HO=F,Heating Oil,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,USD,AGREGAR,,0.3909118449412504,0.6069115068706776,0.6046958506313058,0.0022156562393718104,1.2827009034577321,1.2527750545473169,EW_RIDGE,10.0,500.0,True
Profuturo,FUTURO_INDICE,ES=F,E-mini S&P 500,ret_USD_FUTURO_INDICE_E_MINI_S_P_500,0,USD,SUSTITUIR,ret_USD_SPY,0.9553466073628263,0.6069115068706776,0.6059412676096039,0.0009702392610737576,1.2827009034577321,1.278428008408548,EW_RIDGE,0.001,500.0,False
Profuturo,FUTURO_METAL,HG=F,Cobre,ret_USD_FUTURO_METAL_COBRE,0,USD,AGREGAR,,0.6129069340713508,0.6069115068706776,0.6065185201141458,0.00039298675653187676,1.2827009034577321,1.2750435464583898,EW_RIDGE,0.001,500.0,False
