afp,modelo,subperiodo,fecha_inicio,fecha_fin,n,mae_retorno,rmse_retorno,r2_retorno,correlacion_retorno,direccion_pct,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct
Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,Q1,2024-02-26,2024-09-19,149,0.006980970633477378,0.010559476706439759,0.17936867081218721,0.45551772118731954,63.758389261744966,0.7018084772236984,0.41618562682932403,1.97991188885907,4.974746883882797,0.20134507459007145
Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,Q2,2024-09-20,2025-04-17,148,0.005919074888250982,0.007691098409532311,0.4918706753357456,0.709027183790371,69.5945945945946,0.5933066214815428,0.4278182989519097,1.2567267727966338,2.574878932744884,0.11796931795422455
Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,Q3,2025-04-18,2025-11-11,148,0.0055795567603835,0.0076416651177598155,0.20271106241828374,0.49135470231701056,79.05405405405406,0.5547078732126749,0.40025713162436527,1.1974441598049845,2.832888095035624,-0.12995210895927395
Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,Q4,2025-11-12,2026-06-30,148,0.013995844323312759,0.019315102855197105,0.06721348649229464,0.4608663210898933,79.72972972972973,1.3832393630411777,0.9273923873535206,2.801854235066014,7.136432758554911,-0.6447772412919763
Integra,BLEND_EW_RIDGE_HL120_A0.001_DIARIO_RIDGE_W0.25_0.75,Q1,2024-02-26,2024-09-19,149,0.008148985134251571,0.012501379920057638,-0.11471037586067401,0.08196650948910414,53.691275167785236,0.8218066829241135,0.5158444214095503,2.099321507315336,6.916686865385713,0.2842632605418811
Integra,BLEND_EW_RIDGE_HL120_A0.001_DIARIO_RIDGE_W0.25_0.75,Q2,2024-09-20,2025-04-17,148,0.007442576138768145,0.009962002615364325,0.18318599490303067,0.5613214176502757,56.08108108108109,0.7505900311491741,0.6072117870123683,1.5522151736881717,4.008243865591754,0.399223683879323
Integra,BLEND_EW_RIDGE_HL120_A0.001_DIARIO_RIDGE_W0.25_0.75,Q3,2025-04-18,2025-11-11,148,0.005974658024412339,0.007785930851933008,0.14282326076940033,0.4017496538405256,68.91891891891892,0.5951627418024168,0.4528774226781218,1.3457335002212314,2.1048168893847086,-0.061015732897837544
Integra,BLEND_EW_RIDGE_HL120_A0.001_DIARIO_RIDGE_W0.25_0.75,Q4,2025-11-12,2026-06-30,148,0.014294733066815921,0.017826511719188472,0.317257617709487,0.6536652031220425,82.43243243243244,1.4153308585078412,1.2056944098976452,2.7686353008276385,4.695733662224322,-0.5445247688705308
Prima,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.35_0.65,Q1,2024-02-26,2024-09-19,149,0.007783648567985336,0.014505765731261139,0.04704593289976389,0.3071470573390647,70.46979865771812,0.7945281116022874,0.3742176716947987,2.1031561008817348,6.818330043629595,0.34170876352475543
Prima,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.35_0.65,Q2,2024-09-20,2025-04-17,148,0.007221946644032905,0.009266437298986971,0.3530950337373133,0.6626765173894315,60.810810810810814,0.7259819556621655,0.5702328548873148,1.5630029769774085,2.624609267675704,0.3461101320230025
Prima,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.35_0.65,Q3,2025-04-18,2025-11-11,148,0.005506934852699559,0.007516186927987091,0.17691541580422288,0.47095523745549267,78.37837837837837,0.5478720170767578,0.4281072082379378,1.1625477086336002,3.0797816101722053,-0.12982643494778612
Prima,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.35_0.65,Q4,2025-11-12,2026-06-30,148,0.014769448320881328,0.018306819857223194,0.28514195905422923,0.6396410904395603,82.43243243243244,1.4627777845688101,1.2724864942469605,2.9552453256358127,5.152867407218165,-0.6339883300097943
Profuturo,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.00_1.00,Q1,2024-02-26,2024-09-19,149,0.00842899466858264,0.013007670944177742,-0.09651362105919103,0.13223302047994775,58.38926174496645,0.849636645963244,0.5136829221619066,2.1564010010317896,7.1246932310835565,0.27561143230425067
Profuturo,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.00_1.00,Q2,2024-09-20,2025-04-17,148,0.007583285137789871,0.009741546013717161,0.21513568152114404,0.6144168794531267,56.08108108108109,0.7630087776573432,0.6400303159190157,1.5152516755316683,4.15778338982884,0.44635347477965304
Profuturo,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.00_1.00,Q3,2025-04-18,2025-11-11,148,0.007236989115844951,0.008854759207718423,0.151135468298514,0.40272386075288236,66.8918918918919,0.7212018720206073,0.6401680211514049,1.3774754791519108,2.495519957091097,-0.025859642783476144
Profuturo,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.00_1.00,Q4,2025-11-12,2026-06-30,148,0.014875283595898568,0.018609255353885117,0.3366234070277838,0.6568475215045444,79.72972972972973,1.481259846505665,1.2647569938595504,3.0119049032405876,5.349008104287645,-0.37745234251306814
