fecha_hoy_simulada,fecha_ultima_cuota_visible,cuota_ultima_visible,cuota_real_hoy,cuota_estimada_hoy,retorno_acumulado_real,retorno_acumulado_estimado,error_pct,error_abs_pct,afp,tipo_modelo
2024-02-26,2024-02-21,21.7439387,21.9302475,21.84819387666946,0.008568309659555684,0.00479467763903596,-0.0037415730638945544,0.0037415730638945544,Habitat,CANASTA_EVIDENCIA
2024-02-27,2024-02-22,21.8170406,21.923793,21.8386258134522,0.00489307426966068,0.0009893740332591605,-0.0038846921492006192,0.0038846921492006192,Habitat,CANASTA_EVIDENCIA
2024-02-28,2024-02-23,21.8881726,21.862389800000003,21.85954389849073,-0.00117793296275448,-0.0013079530225045266,-0.00013017339528320626,0.00013017339528320626,Habitat,CANASTA_EVIDENCIA
2024-02-29,2024-02-23,21.8881726,21.8716474,21.924840590900498,-0.0007549830815936076,0.001675242221933937,0.0024320614687898257,0.0024320614687898257,Habitat,CANASTA_EVIDENCIA
2024-03-01,2024-02-23,21.8881726,21.9215492,21.972894926315043,0.001524869188942679,0.003870689795046678,0.0023422489827973347,0.0023422489827973347,Habitat,CANASTA_EVIDENCIA
2024-03-04,2024-02-28,21.862389800000003,21.9957217,22.01297002242907,0.006098688259597251,0.006887637802024171,0.0007841671514270399,0.0007841671514270399,Habitat,CANASTA_EVIDENCIA
2024-03-05,2024-02-29,21.8716474,21.8918414,21.935208127679434,0.0009232957916101014,0.002906078655942279,0.00198095385797159,0.00198095385797159,Habitat,CANASTA_EVIDENCIA
2024-03-06,2024-03-01,21.9215492,21.9385361,21.997441104688132,0.0007748950516690556,0.003461977253328863,0.0026850016072008653,0.0026850016072008653,Habitat,CANASTA_EVIDENCIA
2024-03-07,2024-03-01,21.9215492,21.9670167,22.083885404130015,0.0020741006753299818,0.007405325355838155,0.005320190070689845,0.005320190070689845,Habitat,CANASTA_EVIDENCIA
2024-03-08,2024-03-01,21.9215492,21.8544775,22.133439638918674,-0.0030596240889763093,0.009665851486384547,0.012764530239566252,0.012764530239566252,Habitat,CANASTA_EVIDENCIA
2024-03-11,2024-03-06,21.9385361,21.8320377,22.09538365422351,-0.00485439864877768,0.007149408397559842,0.012062362562863749,0.012062362562863749,Habitat,CANASTA_EVIDENCIA
2024-03-12,2024-03-07,21.9670167,21.8778521,22.07732957377242,-0.004059021815192576,0.00502175034866803,0.009117781437622208,0.009117781437622208,Habitat,CANASTA_EVIDENCIA
2024-03-13,2024-03-08,21.8544775,21.9033867,22.06581993297086,0.0022379487224069017,0.009670440895732213,0.007415895778841497,0.007415895778841497,Habitat,CANASTA_EVIDENCIA
2024-03-14,2024-03-08,21.8544775,21.8943938,22.07965455230871,0.001826458674200726,0.010303474530960921,0.008461561164973208,0.008461561164973208,Habitat,CANASTA_EVIDENCIA
2024-03-15,2024-03-08,21.8544775,21.8997237,22.139734436113315,0.002070340048166308,0.013052562620786246,0.010959532613341372,0.010959532613341372,Habitat,CANASTA_EVIDENCIA
2024-03-18,2024-03-13,21.9033867,22.013175500000003,22.02964201377979,0.005012412075982908,0.005764191424323828,0.0007480299141660041,0.0007480299141660041,Habitat,CANASTA_EVIDENCIA
2024-03-19,2024-03-14,21.8943938,21.9206718,21.99272339017939,0.0012002159201138785,0.004491085301452369,0.003286924362390531,0.003286924362390531,Habitat,CANASTA_EVIDENCIA
2024-03-20,2024-03-15,21.8997237,22.0158811,22.04204624453456,0.005304057785898042,0.006498828317845984,0.0011884668351773708,0.0011884668351773708,Habitat,CANASTA_EVIDENCIA
2024-03-21,2024-03-15,21.8997237,22.028102,22.097105222110702,0.005862096789833071,0.009012968602462479,0.0031325087431819387,0.0031325087431819387,Habitat,CANASTA_EVIDENCIA
2024-03-22,2024-03-15,21.8997237,22.1037092,22.128804456629737,0.009314523908810823,0.010460440495408507,0.0011353414217798452,0.0011353414217798452,Habitat,CANASTA_EVIDENCIA
2024-03-25,2024-03-20,22.0158811,22.073967,22.058780068553983,0.002638363631060736,0.001948546522354766,-0.0006880019094899215,0.0006880019094899215,Habitat,CANASTA_EVIDENCIA
2024-03-26,2024-03-21,22.028102,21.890702500000003,21.8221905045694,-0.006237464308091467,-0.009347673051023797,-0.0031297303241230034,0.0031297303241230034,Habitat,CANASTA_EVIDENCIA
2024-03-27,2024-03-22,22.1037092,21.662628800000004,21.899388955973652,-0.019955039944155484,-0.009243708473433476,0.010929428656121676,0.010929428656121676,Habitat,CANASTA_EVIDENCIA
2024-03-28,2024-03-22,22.1037092,21.6669967,21.95195886509699,-0.019757430576403112,-0.006865378725802729,0.013151899593772054,0.013151899593772054,Habitat,CANASTA_EVIDENCIA
2024-03-29,2024-03-22,22.1037092,21.6698466,21.964092327929983,-0.019628497465031813,-0.006316445389627945,0.013578579182465633,0.013578579182465633,Habitat,CANASTA_EVIDENCIA
2024-04-01,2024-03-27,21.662628800000004,21.4612382,21.72762299913234,-0.009296683327741029,0.0030002914111852963,0.012412368599139745,0.012412368599139745,Habitat,CANASTA_EVIDENCIA
2024-04-02,2024-03-28,21.6669967,21.3454998,21.70940048278648,-0.01483809244314882,0.0019570678564087007,0.017048121908416647,0.017048121908416647,Habitat,CANASTA_EVIDENCIA
