afp,modelo,referencia,n_dm,diferencia_media_perdida,dm_estadistico,dm_pvalor,modelo_mejor_que_ridge,diferencia_significativa_5pct
Habitat,ARIMAX_000,RIDGE,0,,,,False,False
Habitat,EW_RIDGE_HL60_A0.001,RIDGE,0,,,,False,False
Habitat,ROLLING_RIDGE_W250_A0.001,RIDGE,0,,,,False,False
Habitat,RIDGE,RIDGE,0,,,,False,False
Integra,ARIMAX_000,RIDGE,0,,,,False,False
Integra,EW_RIDGE_HL120_A0.001,RIDGE,0,,,,False,False
Integra,ROLLING_RIDGE_W1000_A0.001,RIDGE,0,,,,False,False
Integra,RIDGE,RIDGE,0,,,,False,False
Prima,ARIMAX_000,RIDGE,0,,,,False,False
Prima,EW_RIDGE_HL250_A0.001,RIDGE,0,,,,False,False
Prima,ROLLING_RIDGE_W1000_A0.001,RIDGE,0,,,,False,False
Prima,RIDGE,RIDGE,0,,,,False,False
Profuturo,ARIMAX_000,RIDGE,0,,,,False,False
Profuturo,EW_RIDGE_HL250_A0.001,RIDGE,0,,,,False,False
Profuturo,ROLLING_RIDGE_W1000_A0.001,RIDGE,0,,,,False,False
Profuturo,RIDGE,RIDGE,0,,,,False,False
