fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,total_canonico,participacion_calculada_pct
2026-01-30,CA-0001-en2026.XLS,10,61,Integra,3,10021.78558756,miles_soles,0.002949628405239441,53,Auna S.A.A.,LU2791994721,USD,,isin,2462373.921423915,0.4069969024755067
2026-01-30,CA-0001-en2026.XLS,10,63,Profuturo,3,79586.634848,miles_soles,0.02236463659796836,54,Hecla Mining Company,US4227041062,USD,,isin,2445016.2933374285,3.2550553983983828
2026-01-30,CA-0001-en2026.XLS,10,71,Prima,3,3869.2309935,miles_soles,0.001284412465161767,56,REPUBLICA DE COLOMBIA,COL17CT03771,COP,,isin,1760997.744240957,0.21971811185753418
2026-01-30,CA-0001-en2026.XLS,10,74,Integra,3,32198.5261908,miles_soles,0.0094767231477313,56,REPUBLICA DE COLOMBIA,COL17CT03938,COP,,isin,2462373.921423915,1.307621312533256
2026-01-30,CA-0001-en2026.XLS,10,87,Profuturo,3,28502.1481276732,miles_soles,0.008009387334372188,59,REPUBLICA FEDERAL DE BRASIL,BRSTNCNTF1P8,BRL,,isin,2445016.2933374285,1.165724261443182
2026-01-30,CA-0001-en2026.XLS,10,136,Habitat,3,1765.7310684124002,miles_soles,0.0003541211770711587,73,ALLIANZ GLOBAL INVESTORS,LU0852482198,EUR,,isin,2736482.735417546,0.06452556946766107
2026-01-30,CA-0001-en2026.XLS,10,136,Integra,3,9.1870896445,miles_soles,2.703959323429906e-06,73,ALLIANZ GLOBAL INVESTORS,LU0852482198,EUR,,isin,2462373.921423915,0.00037309888496493617
2026-01-30,CA-0001-en2026.XLS,10,137,Habitat,3,13255.3971767742,miles_soles,0.00265839851535572,73,ALLIANZ GLOBAL INVESTORS,LU1548499711,EUR,,isin,2736482.735417546,0.484395425018153
2026-01-30,CA-0001-en2026.XLS,10,138,Habitat,3,4032.7359713,miles_soles,0.0008087739036375273,73,ALLIANZ GLOBAL INVESTORS,LU1997245763,USD,,isin,2736482.735417546,0.14736931898401565
2026-01-30,CA-0001-en2026.XLS,10,138,Integra,3,6.899563552,miles_soles,2.0306908842667445e-06,73,ALLIANZ GLOBAL INVESTORS,LU1997245763,USD,,isin,2462373.921423915,0.00028019966796960695
2026-01-30,CA-0001-en2026.XLS,10,143,Habitat,3,192.9090209409,miles_soles,3.868832054060072e-05,74,AXA FUNDS MANAGEMENT,LU1694772994,USD,,isin,2736482.735417546,0.007049524502535004
2026-01-30,CA-0001-en2026.XLS,10,145,Habitat,3,302810.6071,miles_soles,0.060729320865548365,75,BlackRock Fund Advisors,US4642875235,USD,,isin,2736482.735417546,11.065686736510534
2026-01-30,CA-0001-en2026.XLS,10,145,Integra,3,42338.083920000005,miles_soles,0.012461014443260315,75,BlackRock Fund Advisors,US4642875235,USD,,isin,2462373.921423915,1.7194010849301555
2026-01-30,CA-0001-en2026.XLS,10,145,Prima,3,198733.5663144,miles_soles,0.0659706981178114,75,BlackRock Fund Advisors,US4642875235,USD,,isin,1760997.744240957,11.28528227615988
2026-01-30,CA-0001-en2026.XLS,10,145,Profuturo,3,271873.48104000004,miles_soles,0.07639915440195344,75,BlackRock Fund Advisors,US4642875235,USD,,isin,2445016.2933374285,11.119495677016321
2026-01-30,CA-0001-en2026.XLS,10,146,Integra,3,130524.468928,miles_soles,0.03841617621581516,75,BlackRock Fund Advisors,US46434G1031,USD,,isin,2462373.921423915,5.300757443553565
2026-01-30,CA-0001-en2026.XLS,10,147,Prima,3,55372.048576,miles_soles,0.018381055442808693,75,BlackRock Fund Advisors,US4642873909,USD,,isin,1760997.744240957,3.144356587456449
2026-01-30,CA-0001-en2026.XLS,10,147,Profuturo,3,30916.407808,miles_soles,0.008687818336094494,75,BlackRock Fund Advisors,US4642873909,USD,,isin,2445016.2933374285,1.2644663306435207
2026-01-30,CA-0001-en2026.XLS,10,148,Habitat,3,19192.52401984,miles_soles,0.003849102118921802,75,BlackRock Fund Advisors,US4642864007,USD,,isin,2736482.735417546,0.7013573947109706
