identificador_original,clasificacion_original,isin_corregido_propuesto,cambio_realizado,peso_max_total_fondo_pct,meses_presentes,gestora_reportada,lista_afp,corregido_ya_existe_en_universo,correccion_resuelta_openfigi,numero_resultados_corregido,ticker_corregido,nombre_corregido,figi_corregido,confianza_correccion,match_gestora,match_moneda,match_afp,senales_metadata,meses_colision_original_corregido,colisiones_compatibles,correccion_aprobada,razon_decision
US46090E103X,identificador_no_estandar,US46090E1038,X -> 8,3.2965062849613624,1,BANK OF NEW YORK,Integra,True,True,170,NDQ,INVESCO QQQ TRUST SERIES 1,BBG000BKNW42,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
LU024805611X,identificador_no_estandar,LU0248056110,X -> 0,1.8566994157143828,9,JP MORGAN FLEMING FUNDS SICAV,Habitat,True,True,1,JPJEIAC,JPM JAPAN EQTY-I USD,BBG000JJT327,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
LU010200075Y,identificador_no_estandar,LU0102000758,Y -> 8,1.744234289972371,5,BNP PARIBAS INV,Habitat | Profuturo,True,True,1,PARJSCI,BNP JAPAN SMALL CAP-I,BBG000CCGJ64,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
IE00B8JGVH8X,identificador_no_estandar,IE00B8JGVH80,X -> 0,1.518979436241061,9,Lazard Japan Asset Management K.K.,Profuturo,True,True,1,LJSEYIA,LAZARD GL-LAZ JP ST E-YEN IA,BBG004FL8XG0,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
LU008099898X,identificador_no_estandar,LU0080998981,X -> 1,1.0749278214648434,1,PICTET,Prima,True,True,7,PICJAPI,PICTET-JAPAN EQ SELECT-I YEN,BBG000C46D57,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
IE00B95PGT3Z,identificador_no_estandar,IE00B95PGT31,Z -> 1,1.0249508165150287,3,Vanguard Grp Ir,Prima,True,True,177,VDJP,VANG FTSE JPN USDD,BBG004LT7VD4,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
US78468R556X,identificador_no_estandar,US78468R5569,X -> 9,0.8668810599535042,11,SSGA Funds Mana,Habitat,True,True,62,XOP,SS SPDR S&P OG EXP & PROD,BBG000BGB482,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
LU079478709X,identificador_no_estandar,LU0794787092,X -> 2,0.7718614682029793,2,Ashmore,Habitat,True,True,1,AEMFUII,ASHMORE E/M FRNTIER EQ-USDII,BBG0037Q7LY7,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
LU154849971X,identificador_no_estandar,LU1548499711,X -> 1,0.6380133753977612,1,ALLIANZ,Habitat,True,True,1,ALGAIWT,ALLIANZ GLOBAL ARTIF INT-WTE,BBG00MCLJ652,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
LU091226375X,identificador_no_estandar,LU0912263752,X -> 2,0.4751003118418407,2,Northern Trust,Habitat,True,True,1,ASHMDIU,ASHMORE-EMER MKTS DEBT-INST,BBG004JD4ZJ0,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
IE00B3CTFW2X,identificador_no_estandar,IE00B3CTFW21,X -> 1,0.4221743381739405,27,GAM Internation | GAM International Management Limited,Habitat,True,True,1,GAMCIEA,GAM STAR-CONT EUR EQ-IEA,BBG003GXHTQ3,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
IE00B53QG56X,identificador_no_estandar,IE00B53QG562,X -> 2,0.0986429003573505,1,BlackRock AMIL,Prima,True,True,143,CSEMU,ISHARES CORE MSCI EMU EUR A,BBG000CKQVX8,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
LU196682546X,identificador_no_estandar,LU1966825462,X -> 2,0.0525039453511732,24,"Joh. Berenberg, | Joh. Berenberg, Gossier & Co. KG",Habitat,True,True,1,BEBEFIE,BERENBERG EUROPEAN FOC-I EUR,BBG00S90HJC5,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
IE00BKLWXN8X,identificador_no_estandar,IE00BKLWXN81,X -> 1,3.1124208276783104e-05,8,THE VANGUARD GROUP INC.,Integra,True,True,1,VEMBIPU,VANGUARD EMERMKT BD-IPUSDHA,BBG00QVFTZP8,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
IE00BKLWXM7X,identificador_no_estandar,IE00BKLWXM74,X -> 4,1.686210692694723e-05,8,THE VANGUARD GROUP INC.,Integra,True,True,3,VEMBIUA,VANGUARD EMER MKT BD-I USDHA,BBG00QVFTTL6,alta,True,True,True,3,0,True,True,checksum_y_openfigi_confirmados
CVL79033FI1X,identificador_no_estandar,CVL79033FI12,X -> 2,0.4974207730594246,33,LARRAIN VIAL,Profuturo,True,False,0,,,,media,True,True,True,3,0,True,True,codigo_existente_y_metadata_compatible
IE000NG9LZQX,identificador_no_estandar,IE000NG9LZQ6,X -> 6,0.2950063302517955,1,Moneda Latam HY,Integra,True,False,0,,,,media,True,True,True,3,0,True,True,codigo_existente_y_metadata_compatible
LU084619477X,identificador_no_estandar,LU0846194776,X -> 6,0.6326820070143384,53,DeAWM Investmen | Deutsche Asset,Integra,False,True,143,XD5E,X MSCI EMU 1D,BBG003N95066,media_alta,False,False,False,0,0,True,True,checksum_y_openfigi_confirmados
