instrumento,tipo,sector,alias_probado,moneda_alias,estado,n_precios,fecha_inicio,fecha_fin,cero_volumen_pct,sin_cambio_pct,gap_mediana_dias,gap_p90_dias,gap_max_dias
Engie Energia Peru,ACCION_BVL,ENERGIA,ENGIEC1.LM,PEN,CORRECTO,2901,2014-12-01,2026-07-02,36.09100310237849,59.04860392967942,1.0,3.0,4.0
Luz del Sur,ACCION_BVL,ENERGIA_DISTRIBUCION,LUSURC1.LM,PEN,CORRECTO,2905,2014-12-01,2026-07-02,24.337349397590362,48.33046471600688,1.0,3.0,4.0
Pluz Energia Peru,ACCION_BVL,ENERGIA_DISTRIBUCION,PLUZC1.LM,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
Pluz Energia Peru,ACCION_BVL,ENERGIA_DISTRIBUCION,PLUZC1,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
Pluz Energia Peru,ACCION_BVL,ENERGIA_DISTRIBUCION,ENDISPC1.LM,PEN,CORRECTO,435,2024-08-13,2026-07-02,11.264367816091953,65.51724137931035,1.0,3.0,7.0
Casa Grande,ACCION_BVL,AGROINDUSTRIA,CASAGRC1.LM,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
Casa Grande,ACCION_BVL,AGROINDUSTRIA,CASAGRC1,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
Cartavio,ACCION_BVL,AGROINDUSTRIA,CARTAVC1.LM,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
Cartavio,ACCION_BVL,AGROINDUSTRIA,CARTAVC1,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
Pomalca,ACCION_BVL,AGROINDUSTRIA,POMALCC1.LM,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
Pomalca,ACCION_BVL,AGROINDUSTRIA,POMALCC1,PEN,HISTORIA_INSUFICIENTE,0,,,,,,,
Austral Group,ACCION_BVL,PESCA,AUSTRAC1.LM,PEN,CORRECTO,2908,2014-12-01,2026-07-02,79.09215955983494,87.5171939477304,1.0,3.0,4.0
