afp,fecha_fin_ventana,fecha_inicio_ventana,observaciones,alpha_ridge,r2_in_sample,rmse_in_sample,intercepto_original,factor,coef_estandarizado,coef_original,coef_abs_estandarizado,ranking_ventana,top5_ventana,columna_modelo,ticker,nombre,grupo,moneda
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_IDX_VIX,-0.0004835674316751727,-0.005522043380881385,0.0004835674316751727,1,True,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_TLT,-0.0002923497612859245,-0.021707254780991097,0.0002923497612859245,2,True,ret_TLT,TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_GLD,-0.0002503638790603478,-0.0182756117206473,0.0002503638790603478,3,True,ret_GLD,GLD,Oro,materia_prima,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_QQQ,0.00024506711205198435,0.015763622949207717,0.00024506711205198435,4,True,ret_QQQ,QQQ,Estados Unidos - Nasdaq 100,mercado,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_MCHI,0.00024402299828221892,0.011389627813689407,0.00024402299828221892,5,True,ret_MCHI,MCHI,China,region,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_LQD,-0.0002371548077849813,-0.022486195787641185,0.0002371548077849813,6,False,ret_LQD,LQD,Bonos corporativos grado inversión,bonos,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_XLK,0.00023227097048942146,0.015085664030546196,0.00023227097048942146,7,False,ret_XLK,XLK,Tecnología,sector,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_EWJ,0.00022664359615478985,0.014209500047081226,0.00022664359615478985,8,False,ret_EWJ,EWJ,Japón,region,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_DX_Y_NYB,0.0002231795436648369,0.03970529377569131,0.0002231795436648369,9,False,ret_DX_Y_NYB,DX-Y.NYB,Índice dólar DXY,moneda,INDICE
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_XLF,0.0002126618237036297,0.013876006812896722,0.0002126618237036297,10,False,ret_XLF,XLF,Finanzas,sector,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_SPY,0.00020010387123320744,0.01388016376479807,0.00020010387123320744,11,False,ret_SPY,SPY,Estados Unidos - S&P 500,mercado,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_XLY,0.00019523080570454132,0.013094199179331648,0.00019523080570454132,12,False,ret_XLY,XLY,Consumo discrecional,sector,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_ACWI,0.0001939977823045307,0.013410527350891498,0.0001939977823045307,13,False,ret_ACWI,ACWI,Acciones globales,mercado,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_XLV,0.0001909852246401133,0.012066551629547515,0.0001909852246401133,14,False,ret_XLV,XLV,Salud,sector,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_EEM,0.00018843878505257186,0.011015631671684574,0.00018843878505257186,15,False,ret_EEM,EEM,Mercados emergentes,mercado,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_XLI,0.0001864950264260722,0.012669698748770403,0.0001864950264260722,16,False,ret_XLI,XLI,Industria,sector,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_PEN_X,-0.00016772512875863797,-0.015325525996017242,0.00016772512875863797,17,False,ret_PEN_X,PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_XLE,0.00016514238366831965,0.009094842772479838,0.00016514238366831965,18,False,ret_XLE,XLE,Energía,sector,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_XLB,0.000163248495407086,0.010442116392150385,0.000163248495407086,19,False,ret_XLB,XLB,Materiales,sector,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_VGK,0.00015078332007695226,0.009999122176016253,0.00015078332007695226,20,False,ret_VGK,VGK,Europa,region,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_COPX,0.00013998933777745567,0.005309987948852135,0.00013998933777745567,21,False,ret_COPX,COPX,Mineras de cobre,materia_prima,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_XLP,0.00012030879710547425,0.009012716806262878,0.00012030879710547425,22,False,ret_XLP,XLP,Consumo básico,sector,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_EPU,0.00011857945163874941,0.007103274117343544,0.00011857945163874941,23,False,ret_EPU,EPU,Perú - ETF,mercado,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_ILF,0.0001050370884639285,0.005356092683788592,0.0001050370884639285,24,False,ret_ILF,ILF,América Latina,mercado,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_HYG,-9.293777764920963e-05,-0.008688835354520509,9.293777764920963e-05,25,False,ret_HYG,HYG,Bonos corporativos alto rendimiento,bonos,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_CPER,-3.9720728709881065e-05,-0.0008983198975181135,3.9720728709881065e-05,26,False,ret_CPER,CPER,Cobre,materia_prima,USD
Habitat,2015-10-30,2015-01-05,214,1000.0,0.5150313131048444,0.004301134130651661,3.976223259368916e-05,ret_USO,1.9552534689785733e-06,7.043423221553972e-05,1.9552534689785733e-06,27,False,ret_USO,USO,Petróleo,materia_prima,USD
Habitat,2015-11-30,2015-01-05,235,1000.0,0.5173655265003232,0.004177212534191136,0.0001719542481453446,ret_IDX_VIX,-0.0005122971090819223,-0.00593614478837449,0.0005122971090819223,1,True,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
Habitat,2015-11-30,2015-01-05,235,1000.0,0.5173655265003232,0.004177212534191136,0.0001719542481453446,ret_TLT,-0.0003064490570145219,-0.02255797331810247,0.0003064490570145219,2,True,ret_TLT,TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD
Habitat,2015-11-30,2015-01-05,235,1000.0,0.5173655265003232,0.004177212534191136,0.0001719542481453446,ret_GLD,-0.00026641066088099925,-0.018983315189420043,0.00026641066088099925,3,True,ret_GLD,GLD,Oro,materia_prima,USD
Habitat,2015-11-30,2015-01-05,235,1000.0,0.5173655265003232,0.004177212534191136,0.0001719542481453446,ret_MCHI,0.000251247548755614,0.011875604185994952,0.000251247548755614,4,True,ret_MCHI,MCHI,China,region,USD
