afp,fecha_prediccion,fecha_mercado_referencia,dias_atraso,modelo_operativo,modelo_fuente,lambda_operativo,prediccion_retorno,prediccion_retorno_pct,rmse_oos_referencia,ratio_prediccion_rmse,direccion_analitica,magnitud_analitica,prediccion_plausible,estado_prediccion,observacion
Habitat,2026-06-30,2026-07-03,3,M0_base_mercado,M0_base_mercado,0.0,0.0032789342612915,0.32789342612915,0.0042706424059927,0.7677847849518836,positiva,moderada_frente_al_error_oos,True,correcto,
Integra,2026-06-30,2026-07-03,3,M0_base_mercado,M0_base_mercado,0.0,0.0036199288509647,0.36199288509647,0.0042305688244919,0.8556600781455106,positiva,moderada_frente_al_error_oos,True,correcto,
Prima,2026-06-30,2026-07-03,3,M0_base_mercado,M0_base_mercado,0.0,0.0031613458315417,0.31613458315417,0.0044123121883967,0.7164828091392229,positiva,moderada_frente_al_error_oos,True,correcto,
Profuturo,2026-06-30,2026-07-03,3,M0_base_mercado,M0_base_mercado,0.0,0.0036303340661419,0.36303340661419,0.0041642227135339,0.8717915241044051,positiva,moderada_frente_al_error_oos,True,correcto,
