fecha_hoy_simulada,fecha_ultima_cuota_visible,cuota_ultima_visible,cuota_real_hoy,retorno_acumulado_real,pred__DIARIO_EXTRA_TREES,pred__DIARIO_GRADIENT_BOOSTING,pred__DIARIO_RIDGE,pred__DIRECTO_EXTRA_TREES,pred__DIRECTO_GRADIENT_BOOSTING,pred__DIRECTO_RIDGE,pred__EW_RIDGE_HL60_A0.001,afp,modelo_ensemble,retorno_acumulado_estimado_ensemble,cuota_estimada_ensemble,error_pct_ensemble,error_abs_pct_ensemble,pred__EW_RIDGE_HL120_A0.001,pred__EW_RIDGE_HL250_A0.001
2024-02-26,2024-02-21,21.7439387,21.9302475,0.0085683096595556,0.0048626206761943,0.0052351232735605,0.0059476586972333,0.0028256362254068,0.0040499673021954,0.004379907259374,0.0034392891822514,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.00469347393974235,21.84599330963581,-0.0038419169853961543,0.0038419169853961543,,
2024-02-27,2024-02-22,21.8170406,21.923793,0.0048930742696606,0.0057585284115764,0.0049608037380002,0.0052673804373919,0.0044724542827771,0.0056444938986949,0.0040274719041202,0.004356595301562,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.00481198786947695,21.922023934715085,-8.069157033707697e-05,8.069157033707697e-05,,
2024-02-28,2024-02-23,21.8881726,21.862389800000003,-0.0011779329627544,0.0021531213081917,0.0017439434505786,0.0006138320251063,3.154445144274318e-05,0.0009577878724072,-0.0004374043593779,0.0008885528669209,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0007511924460136,21.90461482991416,0.0019314004690447195,0.0019314004690447195,,
2024-02-29,2024-02-23,21.8881726,21.8716474,-0.0007549830815936,0.0026792832834234,0.0013478564435898,-0.0002224605487147,-0.0006418842927206,0.0009428063216563,-0.0013108496325708,0.0017829319030959,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0007802356771905999,21.905250533171028,0.0015363786987085959,0.0015363786987085959,,
2024-03-01,2024-02-23,21.8881726,21.9215492,0.0015248691889426,0.0044940592480053,0.0046503881563892,0.0024977746827399,0.0037424025503928,0.0027686360928206,0.0019562807942495,0.0047620668481083,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0036299207654241,21.967624932237925,0.0021018465354594174,0.0021018465354594174,,
2024-03-04,2024-02-28,21.862389800000003,21.9957217,0.0060986882595972,0.0026436548552559,0.0037452837278704,0.0013119882908894,0.0031615551381715,0.0033159453149692,0.0029499755053764,0.0028633739277215,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.00208768110930545,21.908031498189732,-0.003986693549149045,0.003986693549149045,,
2024-03-05,2024-02-29,21.8716474,21.8918414,0.0009232957916101,0.0004024317102742,0.0027938096874702,0.0003220382786959,0.0013145056036096,0.0009883021757824,0.0019664477708215,0.0011309331899578,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.00072648573432685,21.887536839822324,-0.0001966285110066579,0.0001966285110066579,,
2024-03-06,2024-03-01,21.9215492,21.9385361,0.000774895051669,-0.0014995457180977,-0.0005803304995725,-0.001956944235305,-0.0008396157021415,7.353670179426999e-05,-0.0012106374060434,-0.0001693128203107,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,-0.00106312852780785,21.898243775671737,-0.0018366004069096942,0.0018366004069096942,,
2024-03-07,2024-03-01,21.9215492,21.9670167,0.0020741006753299,0.0001182502925527,0.0014279905500165,0.0008664204966057,0.0030006863486831,0.0010905370446355,0.0024530737810457,0.0021631685102361,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0015147945034208999,21.95475584223463,-0.0005581485156957999,0.0005581485156957999,,
2024-03-08,2024-03-01,21.9215492,21.8544775,-0.0030596240889763,0.0007757993660217,0.0012400956640472,5.511029494109643e-05,-0.0007813524819561,0.00014689783343,0.0008301597363585,0.001101113478813,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0005781118868770482,21.934222308171282,0.0036489002389226144,0.0036489002389226144,,
2024-03-11,2024-03-06,21.9385361,21.8320377,-0.0048543986487776,0.0015556565243344,0.0016172795854569,0.001289866438348,0.001590729944311,0.0019857723542191,0.0010010235172025,0.0013499234113709,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0013198949248594502,21.967492662457236,0.006204412264148695,0.006204412264148695,,
2024-03-12,2024-03-07,21.9670167,21.8778521,-0.0040590218151925,0.0013184355300095,0.0026511700752289,0.0007483279630107,0.000720246496257,-1.185248408121959e-05,-0.001326903220974,0.0023701633737596,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0015592456683851499,22.001268675636815,0.0056411650957644,0.0056411650957644,,
2024-03-13,2024-03-08,21.8544775,21.9033867,0.0022379487224069,0.0045357018478664,0.0082477466362538,0.006639109616856,0.0108120140091935,0.0078495517122893,0.0078958739218149,0.006582065088438,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0066105873526469995,21.99894843256021,0.004362874740288847,0.004362874740288847,,
2024-03-14,2024-03-08,21.8544775,21.8943938,0.0018264586742007,0.0046567742194851,0.0087650754307972,0.0074935797740083,0.0096783269304342,0.0079169855403625,0.0087331457016528,0.0059815982275448,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.00673758900077655,22.00172398722172,0.004902176703413419,0.004902176703413419,,
2024-03-15,2024-03-08,21.8544775,21.8997237,0.0020703400481663,0.006047189031888,0.0100090124012095,0.0091193813635446,0.0101100066535725,0.0078941889211946,0.0101568963126842,0.0077415991701748,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0084304902668597,22.038721459851057,0.006347009750221622,0.006347009750221622,,
2024-03-18,2024-03-13,21.9033867,22.013175500000003,0.0050124120759829,0.0019301332396308,0.002250763323941,0.0021950582273775,0.0019468061702862,0.0019297816785803,0.0005961990561917,0.0007970668913599,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0014960625593686998,21.936155536765245,-0.003498812028948639,0.003498812028948639,,
2024-03-19,2024-03-14,21.8943938,21.9206718,0.0012002159201138,0.0031087811062748,0.0025005413432159,0.0024383772692986,0.0028035490589424,0.0025727162296758,0.0026110962838872,0.0032209769553634,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.002829677112331,21.956347865024224,0.0016275078314078595,0.0016275078314078595,,
2024-03-20,2024-03-15,21.8997237,22.0158811,0.005304057785898,0.0052663805906103,0.0054556635591638,0.004985565541101,0.005245122924826,0.0043106839941138,0.0046651725189534,0.0047736765885917,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.004879621064846349,22.006586053080834,-0.00042219736184745393,0.00042219736184745393,,
2024-03-21,2024-03-15,21.8997237,22.028102,0.005862096789833,0.007581896545896,0.0079177809720005,0.0073812815542539,0.0061819723047619,0.00588980412671,0.0070984161281818,0.0056804870046043,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0065308842794291,22.04274826123617,0.0006648898409935544,0.0006648898409935544,,
2024-03-22,2024-03-15,21.8997237,22.1037092,0.0093145239088108,0.005975788359859,0.0073389134273031,0.0059766157467351,0.0025167645605419,0.0025727344084584,0.0043536259125243,0.0048314104537441,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0054040131002396005,22.018070093766426,-0.00387442240841529,0.00387442240841529,,
2024-03-25,2024-03-20,22.0158811,22.073967,0.0026383636310607,0.0006483087506889,0.0016842339097782,-0.0003473986921002,-0.0007094491138256,-8.198449992429897e-05,-0.0026005988194315,0.0002489420533688,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,-4.922831936570002e-05,22.014797295174095,-0.0026805197645672907,0.0026805197645672907,,
2024-03-26,2024-03-21,22.028102,21.890702500000003,-0.0062374643080914,-0.0002698845920642,0.0007567871217086,-0.0023396124866145,-0.0005260778007796,-0.0008553045325422,-0.0037919121859814,0.0003891100889477,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,-0.0009752511988334,22.00661906711648,0.005295241992187005,0.005295241992187005,,
2024-03-27,2024-03-22,22.1037092,21.662628800000004,-0.0199550399441554,0.0037295523185887,0.0033569476738835,0.0013536493112444,0.0048561397924564,0.0043376471258152,0.0048416396004049,0.003343482239057,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0023485657751507,22.155621214931006,0.02275773727568109,0.02275773727568109,,
2024-03-28,2024-03-22,22.1037092,21.6669967,-0.0197574305764031,0.0057379456338966,0.0056224365609909,0.0040799058710796,0.0079404866988839,0.0082743625819433,0.0080177096206608,0.0044458044733861,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.00426285517223285,22.19793411108875,0.024504430329688853,0.024504430329688853,,
2024-03-29,2024-03-22,22.1037092,21.6698466,-0.0196284974650318,0.0063237872603425,0.0065968900614126,0.0056464289729729,0.0083296095890822,0.0088511914181222,0.0088944007897535,0.0051452834927365,Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,0.0053958562328547,22.222977637056026,0.025525378525569575,0.025525378525569575,,
