fecha,dia_semana,afp_sin_prediccion,lista_afp,causas,factores_faltantes,faltante_en_las_4_afp
2025-09-15,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-09-22,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-09-29,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-10-06,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-10-13,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-10-20,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-10-27,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-11-03,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-11-10,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-11-17,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-11-24,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-11-27,jueves,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2025-11-28,viernes,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2025-12-01,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-12-08,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-12-15,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-12-22,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-12-26,viernes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-12-29,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-01-02,viernes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-01-05,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-01-12,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-01-19,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-01-20,martes,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2026-01-26,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-02-09,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-02-16,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-02-17,martes,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2026-02-23,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-03-02,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-03-09,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2026-03-16,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
