afp,paso,accion,factor_sale,factor_entra,indice_entra,correlacion_train,mape_antes_pct,mape_despues_pct,mejora_mape_puntos,p90_despues_pct,aceptado
Habitat,1,SUSTITUIR,ret_USD_XLY,ret_IDX_LOCAL_ESTADOS_UNIDOS_DOW_JONES_INDUSTRIAL_AVERAGE,Dow Jones Industrial Average,0.8847719173272346,0.5395056107087417,0.5374078537771223,0.002097756931619399,1.1748280390113381,True
Habitat,2,SUSTITUIR,ret_USD_IWM,ret_IDX_LOCAL_ESTADOS_UNIDOS_RUSSELL_2000,Russell 2000,0.9947328713008381,0.5374078537771223,0.5374784970070678,-7.064322994554395e-05,1.1745742609682668,False
Integra,1,SUSTITUIR,ret_USD_SPY,ret_IDX_LOCAL_ESTADOS_UNIDOS_S_P_500,S&P 500,0.9978738157473606,0.6366845225895563,0.6358895524923253,0.0007949700972310625,1.2328212844659747,False
Prima,1,SUSTITUIR,ret_USD_SPY,ret_IDX_LOCAL_ESTADOS_UNIDOS_S_P_500,S&P 500,0.9978738157473606,0.5774496295748925,0.5771833213653615,0.00026630820953099654,1.2636551135086196,False
Profuturo,1,SUSTITUIR,ret_USD_SPY,ret_IDX_LOCAL_ESTADOS_UNIDOS_S_P_500,S&P 500,0.9978738157473606,0.6069115068706776,0.6054560137461255,0.0014554931245521763,1.2765039670901641,False
