afp,esquema_rezago,fecha,retorno_real_pct,retorno_estimado_pct,intercepto_pct,residual_pct,parte_explicada_pct_sobre_movimiento,alpha_ridge
Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,46.49187948305239,100.0
Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,33.411824660236945,100.0
Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,30.2093860255791,100.0
Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,60.20609723733674,100.0
