afp,tipo_modelo,n_factores,familia,alpha,half_life,n_diario,mae_diario,rmse_diario,r2_diario,correlacion_diaria,direccion_diaria_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,BASELINE,2,EW_RIDGE,0.001,60.0,593,0.0038309716648289895,0.005757641209639039,0.4037084163367912,0.6948645075126664,72.00674536256324,593,0.764179218140206,0.5313135224718879,1.8472759661931366,5.465701491560848,0.05232667616476221,0.6938359767860811,74.36762225969646
Habitat,EXPANDIDO,9,EW_RIDGE,0.001,60.0,593,0.0034789021128599764,0.005236165268088415,0.5068305399979527,0.7726432992121712,77.06576728499157,593,0.6949698386798506,0.4841330401158084,1.6639876817056125,5.482291993431887,0.028663871862719466,0.7785063013533917,80.10118043844857
Integra,BASELINE,2,RIDGE,0.001,,593,0.003959260718211242,0.005699464269214573,0.48103851383780916,0.7713693178452913,75.88532883642496,593,0.7574703092601912,0.5044602549613142,1.8156556698337112,6.497649300933928,-0.033402203144727693,0.7546884568989518,77.06576728499157
Integra,EXPANDIDO,3,EW_RIDGE,0.001,500.0,593,0.00377589691904234,0.005583325031196706,0.5019730097705853,0.8077462623064279,79.0893760539629,593,0.7301669075436892,0.47666183544223806,1.7463601709241863,6.202870149094819,-0.04172485078742406,0.803125379397074,79.59527824620574
Prima,BASELINE,4,EW_RIDGE,0.001,500.0,593,0.004019060646987697,0.0061691873719029264,0.45896779109516694,0.789217754595817,76.39123102866779,593,0.7931727443813494,0.5320656492559972,1.940238958709229,6.405446344109311,-0.03394401620200467,0.7786664903244686,79.0893760539629
Prima,EXPANDIDO,3,EW_RIDGE,0.001,500.0,593,0.003953930954729629,0.006128993650260667,0.46599473198694397,0.8068538167943772,80.10118043844857,593,0.7831184574045941,0.500345065408625,1.922542974212912,6.633689363175055,-0.015116405841629415,0.7880153150831186,81.28161888701517
Profuturo,BASELINE,2,RIDGE,0.001,,593,0.004022824702089792,0.005775650327494796,0.5039817470448544,0.7983634629662554,76.55986509274874,593,0.7723186788853296,0.5385318045405985,1.801441664053041,6.484468623512574,-0.0061159921060750305,0.7902740231746729,80.26981450252951
Profuturo,EXPANDIDO,4,EW_RIDGE,0.001,500.0,593,0.003941668111517479,0.005845994069651683,0.49182579648379887,0.8047034242500865,78.92074198988196,593,0.7636766414212509,0.5209569110592449,1.8647472306642834,6.12046236073136,-0.011720023121253234,0.820534468012171,82.1247892074199
