archivo,hoja,fecha_cartera,fila_codigos,fila_inicio_datos,frontera_metadatos_columna,afp_fondo3_detectadas,numero_afp_detectadas,unidad,filas_base
CA-0001-en2026.XLS,3,2026-01-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,711
CA-0001-en2026.XLS,10,2026-01-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,637
CA-0001-en2026.XLS,9,2026-01-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,48
