afp,tipo_modelo,n_factores,n_acciones_agregadas,familia,alpha,half_life,n_diario,mae_diario,rmse_diario,r2_diario,correlacion_diaria,direccion_diaria_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,MODELO70,9,0,EW_RIDGE,0.001,60.0,593,0.0034789021128599764,0.005236165268088415,0.5068305399979527,0.7726432992121712,77.06576728499157,593,0.6949698386798506,0.4841330401158084,1.6639876817056125,5.482291993431887,0.028663871862719466,0.7785063013533917,80.10118043844857
Habitat,MODELO70_MAS_ACCIONES,12,3,EW_RIDGE,0.001,60.0,593,0.00348394781784023,0.005240373614340216,0.5060374932697262,0.7697806923179851,76.55986509274874,593,0.6962432365496589,0.4745267872092729,1.6744375256042208,5.502438749498251,0.02857712766838915,0.7763525919885287,79.93254637436762
Integra,MODELO70,3,0,EW_RIDGE,0.001,500.0,593,0.00377589691904234,0.005583325031196706,0.5019730097705853,0.8077462623064279,79.0893760539629,593,0.7301669075436892,0.47666183544223806,1.7463601709241863,6.202870149094819,-0.04172485078742406,0.803125379397074,79.59527824620574
Integra,MODELO70_MAS_ACCIONES,4,1,EW_RIDGE,0.001,500.0,593,0.0037920504530079622,0.005604207046669478,0.49824073366233,0.8051213426232143,77.23440134907251,593,0.7187925348940164,0.45429211263476876,1.729678950799141,6.2352402396386175,-0.048564725093753626,0.8030384920764024,79.76391231028668
Prima,MODELO70,3,0,EW_RIDGE,0.001,500.0,593,0.003953930954729629,0.006128993650260667,0.46599473198694397,0.8068538167943772,80.10118043844857,593,0.7831184574045941,0.500345065408625,1.922542974212912,6.633689363175055,-0.015116405841629415,0.7880153150831186,81.28161888701517
Prima,MODELO70_MAS_ACCIONES,5,2,EW_RIDGE,0.001,500.0,593,0.00406707489889869,0.006256075944439485,0.4436203681337906,0.7862767683934004,78.58347386172007,593,0.7791523390925361,0.4967406739178504,1.9619643121426895,6.596034054661493,-0.03387717684560099,0.7827037707739756,81.28161888701517
Profuturo,MODELO70,4,0,EW_RIDGE,0.001,500.0,593,0.003941668111517479,0.005845994069651683,0.49182579648379887,0.8047034242500865,78.92074198988196,593,0.7636766414212509,0.5209569110592449,1.8647472306642834,6.12046236073136,-0.011720023121253234,0.820534468012171,82.1247892074199
Profuturo,MODELO70_MAS_ACCIONES,6,2,EW_RIDGE,0.001,500.0,593,0.004019597700941997,0.005982520701969435,0.4678129597267875,0.7843438026190215,78.24620573355818,593,0.7489080082540804,0.49619228800407145,1.8236098064499777,5.998888376766209,-0.02443690419102324,0.8128585356949862,82.1247892074199
