afp,tipo_modelo,n_factores,n_factores_mod76,familia,alpha,half_life,n_diario,mae_diario,rmse_diario,r2_diario,correlacion_diaria,direccion_diaria_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,CAMPEON_PRE76,14,0,EW_RIDGE,0.001,60.0,593,0.0034132309949079917,0.005021611705199212,0.5464180755597746,0.7943205221860734,76.55986509274874,593,0.635169624254178,0.44366518336793614,1.4598101527921925,4.621772589795059,0.0024193725957943066,0.8388369765011199,82.79932546374368
Habitat,CAMPEON_CON_MOD76,16,2,EW_RIDGE,0.001,60.0,593,0.0034175589252522258,0.005055044832126829,0.5403582107387652,0.7870711213785776,77.23440134907251,593,0.6385355562139026,0.43519006407242156,1.4405201726767425,4.509746988795449,-0.004153358238983348,0.8303231988884702,82.96795952782462
Integra,CAMPEON_PRE76,4,0,EW_RIDGE,0.001,500.0,593,0.0037920504530079622,0.005604207046669478,0.49824073366233,0.8051213426232143,77.23440134907251,593,0.7187925348940164,0.45429211263476876,1.729678950799141,6.2352402396386175,-0.048564725093753626,0.8030384920764024,79.76391231028668
Integra,CAMPEON_CON_MOD76,6,2,EW_RIDGE,10.0,500.0,593,0.00386260904672845,0.005734854116132835,0.47457370000758825,0.7908031097409347,77.40303541315345,593,0.7282018895945377,0.4649898253894835,1.7700763071756296,6.214878363353349,-0.05123677422889137,0.7965736066291275,80.6070826306914
Prima,CAMPEON_PRE76,3,0,EW_RIDGE,0.001,500.0,593,0.003953930954729629,0.006128993650260667,0.46599473198694397,0.8068538167943772,80.10118043844857,593,0.7831184574045941,0.500345065408625,1.922542974212912,6.633689363175055,-0.015116405841629415,0.7880153150831186,81.28161888701517
Prima,CAMPEON_CON_MOD76,5,2,EW_RIDGE,0.001,500.0,593,0.00400208004276935,0.006230620944472299,0.4481388013624166,0.7957226899943618,79.42664418212479,593,0.7922209117099738,0.49972495075099044,1.92277474390546,6.648393428718147,-0.014988819833776566,0.780927981791347,81.11298482293424
Profuturo,CAMPEON_PRE76,6,0,EW_RIDGE,0.001,500.0,593,0.004019597700941997,0.005982520701969435,0.4678129597267875,0.7843438026190215,78.24620573355818,593,0.7489080082540804,0.49619228800407145,1.8236098064499777,5.998888376766209,-0.02443690419102324,0.8128585356949862,82.1247892074199
Profuturo,CAMPEON_CON_MOD76,7,1,EW_RIDGE,10.0,500.0,593,0.004061455289856278,0.006087997535948994,0.4488817277928864,0.7722995981636612,78.75210792580101,593,0.7597487097884016,0.5060618033042141,1.8615179760608058,6.052195999537924,-0.024682954414540846,0.8013976054414317,82.63069139966274
