fecha,afp,sbs_publicada,modelo_overlay_estimado,cuota_base,fecha_base_sbs,cuota_base_sbs,ruedas_estimadas_desde_sbs,retorno_estimado_pct,retorno_acumulado_estimado_desde_sbs_pct,direccion_estimada,error_cuota,error_abs_pct,resultado
2026-07-01,Habitat,33.1019868,33.49726658953101,33.5370629,2026-06-30,33.5370629,1,-0.11866367244996,-0.11866367244997,Baja,0.39527978953100984,1.1941270834263333,Acierto
2026-07-02,Habitat,32.8852411,33.18943859835173,33.1019868,2026-07-01,33.1019868,1,0.26418897113368,0.26418897113369,Sube,0.3041974983517264,0.9250274231735109,Fallo
2026-07-03,Habitat,32.9033232,33.59783166539524,33.49726658953101,2026-06-30,33.5370629,2,0.06630770024411,0.18119882941578,Sube,0.6945084653952378,2.1107547744455117,Acierto
2026-07-06,Habitat,33.3286403,33.15255004766608,32.8852411,2026-07-02,32.8852411,1,0.81285384788035,0.8128538478803401,Sube,-0.17609025233392117,0.5283451432428258,Acierto
2026-07-07,Habitat,32.7062959,32.944541368488046,33.3286403,2026-07-06,33.3286403,1,-1.15245905039804,-1.15245905039803,Baja,0.23824546848804573,0.7284391641795356,Acierto
2026-07-08,Habitat,32.627339,32.62103932905663,32.944541368488046,2026-07-06,33.3286403,2,-0.98195945669123,-2.12310182645938,Baja,-0.006299670943370472,0.019307951970494657,Acierto
2026-07-09,Habitat,32.9828361,33.20864293697849,32.627339,2026-07-08,32.627339,1,1.78164678700427,1.78164678700427,Sube,0.22580683697849224,0.6846192252657505,Acierto
2026-07-10,Habitat,33.1575753,33.192283669119696,32.9828361,2026-07-09,32.9828361,1,0.63501988878297,0.63501988878298,Sube,0.034708369119698546,0.10467704229174607,Acierto
2026-07-13,Habitat,32.609853,32.73245166795351,33.192283669119696,2026-07-09,32.9828361,2,-1.3853581324806,-0.75913554336974,Baja,0.12259866795351115,0.37595590496378856,Acierto
2026-07-16,Habitat,32.2856466,32.34558654365784,32.8170077,2026-07-15,32.8170077,1,-1.43651475067959,-1.43651475067959,Baja,0.05993994365783806,0.1856550819640021,Acierto
2026-07-17,Habitat,32.0835618,32.00115283889647,32.2856466,2026-07-16,32.2856466,1,-0.88117721360279,-0.8811772136028,Baja,-0.0824089611035248,0.25685727045282364,Acierto
2026-07-21,Habitat,,32.449421687878846,32.0835618,2026-07-17,32.0835618,1,1.14033438730873,1.14033438730873,Sube,,,Pendiente SBS
2026-07-01,Integra,70.968107,72.12403979634551,72.3284597,2026-06-30,72.3284597,1,-0.28262720442597,-0.28262720442597,Baja,1.1559327963455104,1.6288060161242717,Acierto
2026-07-02,Integra,70.2858522,71.28482313338502,70.968107,2026-07-01,70.968107,1,0.44627952861278,0.44627952861278,Sube,0.9989709333850243,1.421297319611961,Fallo
2026-07-03,Integra,70.3888031,72.45770575263049,72.12403979634551,2026-06-30,72.3284597,2,0.02118716386081,0.17869321863976,Sube,2.0689026526304843,2.9392496555044905,Acierto
2026-07-07,Integra,69.7095577,70.69430413055427,71.2425063,2026-07-06,71.2425063,1,-0.7694874842517,-0.7694874842517,Baja,0.9847464305542672,1.4126419146025757,Acierto
2026-07-08,Integra,69.5245767,70.38886418187941,70.69430413055427,2026-07-06,71.2425063,2,-0.43205736647579,-1.19822022336767,Baja,0.8642874818794155,1.2431395096569002,Acierto
2026-07-09,Integra,70.5668726,70.35927494286479,69.5245767,2026-07-08,69.5245767,1,1.20058011495204,1.20058011495205,Sube,-0.20759765713521006,0.2941857127663187,Acierto
2026-07-10,Integra,70.8557412,70.8176413662623,70.5668726,2026-07-09,70.5668726,1,0.35536329870213,0.35536329870213,Sube,-0.03809983373770365,0.053770990314195806,Acierto
2026-07-13,Integra,69.4388446,70.44778481661217,70.8176413662623,2026-07-09,70.5668726,2,-0.52226612255731,-0.16875876597629,Baja,1.0089402166121744,1.4529910778673505,Acierto
2026-07-14,Integra,70.3831329,70.95496499339002,70.44778481661217,2026-07-09,70.5668726,3,0.71993772138914,0.54996399739843,Sube,0.5718320933900145,0.8124561522466903,Acierto
2026-07-16,Integra,68.8450619,69.3958415014546,69.9906132,2026-07-15,69.9906132,1,-0.8497878091821099,-0.8497878091821099,Baja,0.5507796014545931,0.8000277525418176,Acierto
2026-07-17,Integra,68.4554312,68.6596433713772,68.8450619,2026-07-16,68.8450619,1,-0.26932727417999,-0.26932727417999,Baja,0.20421217137719339,0.29831405309618936,Acierto
2026-07-20,Integra,,68.47349439914767,68.4554312,2026-07-17,68.4554312,1,0.0263868020857,0.0263868020857,Sube,,,Pendiente SBS
2026-07-21,Integra,,69.22148796304319,68.47349439914767,2026-07-17,68.4554312,2,1.09238409761197,1.11905914492753,Sube,,,Pendiente SBS
2026-07-01,Prima,64.5091479,65.57636864055486,65.7918163,2026-06-30,65.7918163,1,-0.3274687819268,-0.3274687819268,Baja,1.067220740554859,1.6543711633104041,Acierto
2026-07-02,Prima,63.9206382,64.75766438275072,64.5091479,2026-07-01,64.5091479,1,0.38524223438195,0.38524223438194,Sube,0.8370261827507193,1.309477199103934,Fallo
2026-07-03,Prima,63.9694471,65.83592845772588,65.57636864055486,2026-06-30,65.7918163,2,0.0084091551226951,0.06704809231097,Sube,1.8664813577258883,2.91777003294732,Acierto
2026-07-06,Prima,64.8574126,64.3357589138343,63.9206382,2026-07-02,63.9206382,1,0.64943142860281,0.6494314286028,Sube,-0.5216536861657062,0.804308505772409,Acierto
2026-07-07,Prima,63.398309,64.31417146677857,64.8574126,2026-07-06,64.8574126,1,-0.83759297733908,-0.83759297733908,Baja,0.9158624667785773,1.444616554013416,Acierto
2026-07-08,Prima,63.4375649,64.13811593312406,64.31417146677857,2026-07-06,64.8574126,2,-0.2737429864045599,-1.10904311171357,Baja,0.7005510331240572,1.1043157697310308,Fallo
2026-07-09,Prima,64.3698862,64.1621606750588,63.4375649,2026-07-08,63.4375649,1,1.14221877242769,1.14221877242768,Sube,-0.20772552494119623,0.322706062110758,Acierto
2026-07-10,Prima,64.6882598,64.59390799858267,64.3698862,2026-07-09,64.3698862,1,0.34802267303474,0.34802267303475,Sube,-0.09435180141733213,0.14585614408092662,Acierto
2026-07-13,Prima,63.1882938,64.17760719009749,64.59390799858267,2026-07-09,64.3698862,2,-0.64448927365458,-0.29870956941742,Baja,0.9893133900974931,1.5656592868748944,Acierto
2026-07-14,Prima,64.2229518,64.57744595460885,64.17760719009749,2026-07-09,64.3698862,3,0.6230191214936,0.32244853434097,Sube,0.3544941546088438,0.5519742470149804,Acierto
2026-07-16,Prima,62.3456937,63.12486941798546,63.6610026,2026-07-15,63.6610026,1,-0.84216892621566,-0.8421689262156499,Baja,0.7791757179854599,1.2497666987791651,Acierto
2026-07-17,Prima,62.048325,62.15730226603485,62.3456937,2026-07-16,62.3456937,1,-0.3021723278461899,-0.3021723278461899,Baja,0.1089772660348487,0.17563288942102578,Acierto
2026-07-20,Prima,,62.05111574509974,62.048325,2026-07-17,62.048325,1,0.0044976961098455,0.0044976961098397,Sube,,,Pendiente SBS
2026-07-21,Prima,,62.69367395108343,62.05111574509974,2026-07-17,62.048325,2,1.03553046269668,1.04007473381986,Sube,,,Pendiente SBS
2026-07-01,Profuturo,70.9226332,71.74794491459173,71.9348302,2026-06-30,71.9348302,1,-0.2597980489961199,-0.25979804899611,Baja,0.8253117145917201,1.163678895373727,Acierto
2026-07-02,Profuturo,70.3358541,71.31788868168552,70.9226332,2026-07-01,70.9226332,1,0.55730514202835,0.55730514202836,Sube,0.9820345816855109,1.3962076585994152,Fallo
2026-07-03,Profuturo,70.3944744,72.15353176305611,71.74794491459173,2026-06-30,71.9348302,2,0.0084735879116648,0.3040273570509,Sube,1.7590573630561153,2.49885715895922,Acierto
2026-07-07,Profuturo,69.9352638,70.78071556002274,71.3369613,2026-07-06,71.3369613,1,-0.7797440903573299,-0.7797440903573299,Baja,0.8454517600227405,1.2089062285380847,Acierto
2026-07-08,Profuturo,69.8131004,70.41627801511254,70.78071556002274,2026-07-06,71.3369613,2,-0.5148825383111,-1.29061186250367,Baja,0.6031776151125428,0.863989153406146,Acierto
2026-07-09,Profuturo,70.9792394,70.71468827933464,69.8131004,2026-07-08,69.8131004,1,1.29143079761379,1.2914307976138,Sube,-0.26455112066535946,0.3727161954701919,Acierto
2026-07-10,Profuturo,71.0624925,71.24028069948861,70.9792394,2026-07-09,70.9792394,1,0.36777133947228,0.36777133947227,Sube,0.17778819948860303,0.25018570730347384,Acierto
2026-07-13,Profuturo,69.4242724,70.87548240383036,71.24028069948861,2026-07-09,70.9792394,2,-0.51206745969611,-0.14617935757935,Baja,1.4512100038303544,2.0903496049176513,Acierto
2026-07-14,Profuturo,70.5044231,71.35352740197501,70.87548240383036,2026-07-09,70.9792394,3,0.67448570638414,0.5273203899322301,Sube,0.849104301975018,1.2043277068882479,Acierto
2026-07-16,Profuturo,68.4036329,69.21240494241201,69.9080824,2026-07-15,69.9080824,1,-0.99513165531771,-0.99513165531771,Baja,0.8087720424120022,1.1823524689022797,Acierto
2026-07-17,Profuturo,68.2147702,68.25526799330214,68.4036329,2026-07-16,68.4036329,1,-0.21689623841289,-0.21689623841288,Baja,0.0404977933021371,0.05936807114265862,Acierto
2026-07-20,Profuturo,,68.18277597245887,68.2147702,2026-07-17,68.2147702,1,-0.04690219940246,-0.04690219940246,Baja,,,Pendiente SBS
2026-07-21,Profuturo,,68.93865931238543,68.18277597245887,2026-07-17,68.2147702,2,1.10861332520677,1.06119116177192,Sube,,,Pendiente SBS
