afp,escenario,objetivo,observaciones,ratio_mediano,error_mediano_pct,error_p90_pct,ranking_afp
Habitat,solo_hojas_identificadas,administradoras_fondos_exterior,133,1.0,0.23539050236001113,1.5690390166487411,1
Habitat,hojas_identificadas_dedup_id_valor,administradoras_fondos_exterior,133,1.0,0.23539050236001113,1.5690390166487433,2
Habitat,hojas_identificadas_dedup_id_valor,fondos_exterior_amplio,133,0.9999999999999999,0.2702232911347524,2.5781134446008576,3
Habitat,solo_hojas_identificadas,fondos_exterior_amplio,133,1.0,0.2702232911347524,2.5781134446008576,4
Habitat,hojas_identificadas_dedup_id_valor,rv_y_fondos_exterior,133,0.9999999999999997,0.5026015385916516,2.5781134446008576,5
Habitat,solo_hojas_identificadas,rv_y_fondos_exterior,133,0.9999999999999997,0.5026015385916516,2.5781134446008576,6
Habitat,solo_isin,administradoras_fondos_exterior,133,0.998490997465204,0.8654712237712858,3.369030271629414,7
Habitat,solo_isin_dedup_id_valor,administradoras_fondos_exterior,133,0.998490997465204,0.8654712237712858,3.369030271629423,8
Habitat,solo_isin,fondos_exterior_amplio,133,0.997139633400551,0.8654712237712858,3.888305120032853,9
Habitat,solo_isin_dedup_id_valor,fondos_exterior_amplio,133,0.997139633400551,0.8654712237712858,3.888305120032853,10
Habitat,solo_isin,rv_y_fondos_exterior,133,0.997139633400551,0.98370090857125,3.888305120032853,11
Habitat,solo_isin_dedup_id_valor,rv_y_fondos_exterior,133,0.997139633400551,0.98370090857125,3.888305120032853,12
Habitat,solo_hojas_identificadas,total_exterior,133,0.987643457089637,1.2356542910363033,4.448338471175601,13
Habitat,hojas_identificadas_dedup_id_valor,total_exterior,133,0.987643457089637,1.2356542910363033,4.448338471175603,14
Habitat,solo_isin,total_exterior,133,0.9785421312345896,2.145786876541045,5.738356963372424,15
Habitat,solo_isin_dedup_id_valor,total_exterior,133,0.9785421312345896,2.145786876541045,5.738356963372424,16
Habitat,solo_entidades_pendientes,total_exterior,133,1.0081222040974087,2.7401789202529336,96.95914751612997,17
Habitat,entidades_pendientes_dedup_id_valor,total_exterior,133,1.0081222040974087,2.7401789202529336,96.99083006118508,18
Habitat,solo_entidades_pendientes,rv_y_fondos_exterior,133,1.0162945305171638,3.670441384235734,96.95718850468499,19
Habitat,entidades_pendientes_dedup_id_valor,rv_y_fondos_exterior,133,1.016294530517164,3.670441384235734,96.98290616411205,20
Habitat,solo_entidades_pendientes,fondos_exterior_amplio,133,1.0162945305171638,3.7056864653832067,96.93070200328502,21
Habitat,entidades_pendientes_dedup_id_valor,fondos_exterior_amplio,133,1.016294530517164,3.7056864653832067,96.96665777196138,22
Habitat,solo_entidades_pendientes,administradoras_fondos_exterior,133,1.017730086392134,4.228735847470277,96.93070200328502,23
Habitat,entidades_pendientes_dedup_id_valor,administradoras_fondos_exterior,133,1.0177300863921341,4.228735847470277,96.96665777196138,24
Habitat,solo_isin,fondos_mutuos_mas_etf,133,1.1111840505326764,11.118405053267644,51.479760740509036,25
Habitat,solo_isin_dedup_id_valor,fondos_mutuos_mas_etf,133,1.1111840505326764,11.118405053267644,51.479760740509036,26
Habitat,solo_isin,fondos_mutuos_exterior,133,1.1111840505326764,11.118405053267644,51.55592359412752,27
Habitat,solo_isin_dedup_id_valor,fondos_mutuos_exterior,133,1.1111840505326764,11.118405053267644,51.55592359412752,28
Habitat,hojas_identificadas_dedup_id_valor,fondos_mutuos_mas_etf,133,1.124277734013967,12.427773401396692,55.09631815044079,29
Habitat,solo_hojas_identificadas,fondos_mutuos_mas_etf,133,1.124277734013967,12.427773401396692,55.09631815044079,30
Habitat,hojas_identificadas_dedup_id_valor,fondos_mutuos_exterior,133,1.124277734013967,12.427773401396692,55.13128865222176,31
Habitat,solo_hojas_identificadas,fondos_mutuos_exterior,133,1.124277734013967,12.427773401396692,55.13128865222176,32
Habitat,solo_entidades_pendientes,fondos_mutuos_exterior,133,1.0446055378937176,15.500098273691565,96.09400544683517,33
Habitat,solo_entidades_pendientes,fondos_mutuos_mas_etf,133,1.0432864501196815,15.500098273691565,96.09400544683517,34
Habitat,entidades_pendientes_dedup_id_valor,fondos_mutuos_exterior,133,1.0446055378937174,15.500098273691565,96.15404735987994,35
Habitat,entidades_pendientes_dedup_id_valor,fondos_mutuos_mas_etf,133,1.0432864501196812,15.500098273691565,96.15404735987994,36
Habitat,solo_fondos_sin_isin,fondos_mutuos_exterior,92,0.019090916262851067,98.09090837371488,99.92291032015272,37
Habitat,solo_fondos_sin_isin,fondos_mutuos_mas_etf,92,0.019090916262851067,98.09090837371488,99.92300707914735,38
Habitat,solo_fondos_sin_isin,administradoras_fondos_exterior,92,0.01453533709688588,98.54646629031141,99.92306198769934,39
Habitat,solo_fondos_sin_isin,fondos_exterior_amplio,92,0.01453533709688588,98.54646629031141,99.92315836992096,40
Habitat,solo_fondos_sin_isin,rv_y_fondos_exterior,92,0.01453533709688588,98.54646629031141,99.92315836992096,41
Habitat,solo_fondos_sin_isin,total_exterior,92,0.014352993220077534,98.56470067799225,99.92439882615662,42
Habitat,todas_las_filas,total_exterior,133,2.0019574060611167,100.19574060611167,103.81329236373105,43
Habitat,todas_las_filas,fondos_exterior_amplio,133,2.012847417249933,101.28474172499331,116.38677349666365,44
Habitat,todas_las_filas,rv_y_fondos_exterior,133,2.012847417249933,101.28474172499331,116.38677349666365,45
Habitat,todas_las_filas,administradoras_fondos_exterior,133,2.017763571530651,101.77635715306508,116.38677349666365,46
Habitat,todas_las_filas,fondos_mutuos_mas_etf,133,2.060198201202249,106.01982012022488,222.36648085476597,47
Habitat,todas_las_filas,fondos_mutuos_exterior,133,2.060198201202249,106.01982012022488,224.78009076710856,48
Integra,hojas_identificadas_dedup_id_valor,rv_y_fondos_exterior,133,0.9624535790466776,3.775731059619214,16.80299657022561,1
Integra,solo_hojas_identificadas,rv_y_fondos_exterior,133,0.9624535790466776,3.775731059619214,16.80299657022561,2
Integra,hojas_identificadas_dedup_id_valor,administradoras_fondos_exterior,133,0.9710910435656182,4.033755826250318,16.489401390034285,3
Integra,solo_hojas_identificadas,administradoras_fondos_exterior,133,0.9710910435656182,4.033755826250318,16.489401390034285,4
Integra,hojas_identificadas_dedup_id_valor,fondos_exterior_amplio,133,0.9669084720475729,4.133443292481398,16.76449798226238,5
Integra,solo_hojas_identificadas,fondos_exterior_amplio,133,0.9669084720475727,4.133443292481398,16.76449798226238,6
Integra,solo_isin,fondos_mutuos_exterior,133,1.0058899774880918,4.412462863492661,12.86023657630991,7
Integra,solo_isin_dedup_id_valor,fondos_mutuos_exterior,133,1.005889977488092,4.412462863492661,12.86023657630991,8
Integra,solo_isin,fondos_mutuos_mas_etf,133,1.003646836354288,4.613083087789649,12.86023657630991,9
Integra,solo_isin_dedup_id_valor,fondos_mutuos_mas_etf,133,1.003646836354288,4.613083087789649,12.86023657630991,10
Integra,solo_hojas_identificadas,total_exterior,133,0.919004519289589,8.099548071041095,19.618984302431876,11
Integra,hojas_identificadas_dedup_id_valor,total_exterior,133,0.919004519289589,8.099548071041095,19.61898430243188,12
Integra,entidades_pendientes_dedup_id_valor,total_exterior,133,1.0622085773905072,12.933628469259562,87.78030285750286,13
Integra,solo_entidades_pendientes,total_exterior,133,1.0642895530105325,13.599734278187903,86.19321891112789,14
Integra,entidades_pendientes_dedup_id_valor,rv_y_fondos_exterior,133,1.088145552684806,14.675823748589266,87.62873229916026,15
Integra,entidades_pendientes_dedup_id_valor,fondos_exterior_amplio,133,1.0936129577462033,14.754416591571928,87.50800210806864,16
Integra,entidades_pendientes_dedup_id_valor,administradoras_fondos_exterior,133,1.0936129577462033,15.021764733376974,87.50800210806864,17
Integra,solo_entidades_pendientes,rv_y_fondos_exterior,133,1.088145552684806,15.19831535510583,85.77383461417158,18
