afp,n_indicadores,n_disponibles,cobertura_pct,senal_parcial_intradia_pct,lectura
Habitat,9,9,100.0,0.5586214124397267,SUBE
Integra,4,4,100.0,0.42492573600252165,SUBE
Prima,3,3,100.0,0.34853570825382096,SUBE
Profuturo,5,5,100.0,0.569948588951248,SUBE
