afp,modelo,referencia,n_dm,diferencia_media_perdida,dm_estadistico,dm_pvalor,pvalor_holm,supera_base_con_evidencia
Habitat,AFIN_W250,EW_RIDGE_SIN_CALIBRAR,593,0.00010453452316833023,0.565485147495686,0.5717438237850632,1.0,False
Integra,IDENTIDAD_EW,EW_RIDGE_SIN_CALIBRAR,593,0.0,,,,False
Prima,IDENTIDAD_EW,EW_RIDGE_SIN_CALIBRAR,593,0.0,,,,False
Profuturo,HUBER_W120,EW_RIDGE_SIN_CALIBRAR,593,-0.0002781082297773547,-0.6370646901715026,0.5240827071622118,1.0,False
