observaciones_oos,rmse,mse,mae,r2,direccion_pct,modelo,escenario,variante_confianza,afp,mejora_mse_pct,ic95_inferior_pct,ic95_superior_pct,prob_mejora
2050,0.004270642405992717,1.8238386559863262e-05,0.002947060717954446,0.4541449222907691,73.80487804878048,M0_base_mercado,ampliado_15pct,alta,Habitat,,,,
2050,0.005266962852185552,2.7740897686302563e-05,0.0037006477047252903,0.16974509710172325,63.75609756097561,M1_proxy_directo,ampliado_15pct,alta,Habitat,-52.101709190390935,-63.971922400561766,-38.3730199702358,0.0
2050,0.0042141480506336666,1.775904379265953e-05,0.0029054473980162756,0.4684911300862087,74.29268292682927,M2_hibrido,ampliado_15pct,alta,Habitat,2.6282081785601044,-0.5007444775921005,5.278685850701027,0.9625
2050,0.004249106060079072,1.8054902309800692e-05,0.0029234851134072094,0.4596364063783328,74.29268292682927,P1_proxy_afp_ajena,ampliado_15pct,alta,Habitat,1.0060333432473612,-2.5235092501151697,4.096604522799782,0.6575
2050,0.00427336030392078,1.8261608287125907e-05,0.0029467320645030163,0.4534499212446026,73.70731707317073,P2_proxy_pesos_permutados,ampliado_15pct,alta,Habitat,-0.1273233637549313,-2.0700485897175134,1.5257139704192002,0.395
1601,0.004230568824491931,1.789771257876304e-05,0.0028379384162478434,0.443241977658573,73.57901311680199,M0_base_mercado,ampliado_15pct,alta,Integra,,,,
1601,0.005144835197726482,2.6469329211765294e-05,0.003508511445980346,0.17659805297503994,64.70955652717052,M1_proxy_directo,ampliado_15pct,alta,Integra,-47.89224653866166,-59.97653674875608,-30.556190173478143,0.0
1601,0.0040916264562525576,1.674140705750586e-05,0.0027567385638047957,0.47921207006029787,73.39163023110555,M2_hibrido,ampliado_15pct,alta,Integra,6.460632978480284,2.4176545410440937,10.068763124915256,1.0
1601,0.00407577855508338,1.6611970830077564e-05,0.0027562822220439207,0.4832385431464633,73.82885696439725,P1_proxy_afp_ajena,ampliado_15pct,alta,Integra,7.183832811188974,2.5698549106565145,11.480226456550845,1.0
1601,0.004169655186540886,1.738602437464731e-05,0.0027961223347509807,0.45915945936609304,73.26670830730794,P2_proxy_pesos_permutados,ampliado_15pct,alta,Integra,2.8589586622532233,0.3585296387460457,4.318257440039273,0.9925
1955,0.004412312188396759,1.9468498847874596e-05,0.0029662996776643386,0.4142596831580445,71.66240409207161,M0_base_mercado,ampliado_15pct,alta,Prima,,,,
1955,0.005293448912291654,2.802060138704169e-05,0.0035839489413669154,0.15695626751726943,63.42710997442455,M1_proxy_directo,ampliado_15pct,alta,Prima,-43.92789914616729,-53.313400399920305,-33.59272465569401,0.0
1955,0.004319190689707723,1.8655408214057873e-05,0.002933965250352331,0.4387227899026628,70.84398976982096,M2_hibrido,ampliado_15pct,alta,Prima,4.176442365537028,0.33023325897994327,7.475073774935979,0.995
1955,0.004313454305332391,1.860588804419054e-05,0.0029301917336831858,0.4402126818668459,70.94629156010231,P1_proxy_afp_ajena,ampliado_15pct,alta,Prima,4.4308028596577085,0.7818672338374789,7.272824811479188,0.995
1955,0.004364068655680019,1.904509523148881e-05,0.002963503193772895,0.42699844490602146,70.69053708439897,P2_proxy_pesos_permutados,ampliado_15pct,alta,Prima,2.1748138862386375,-0.5071427276908852,4.62460910212161,0.9125
1764,0.004164222713533927,1.734075080791186e-05,0.002773233498271114,0.44971096555335377,75.17006802721087,M0_base_mercado,ampliado_15pct,alta,Profuturo,,,,
1764,0.0050770208807200306,2.5776141023267193e-05,0.0035009835617558307,0.1820234364372173,64.73922902494331,M1_proxy_directo,ampliado_15pct,alta,Profuturo,-48.644896110880126,-61.525813027633475,-36.511237165227634,0.0
1764,0.0040872977975058905,1.67060032854965e-05,0.0027383233261458577,0.4698539573474565,74.94331065759637,M2_hibrido,ampliado_15pct,alta,Profuturo,3.660438521068833,0.3595886751080454,6.321554743800748,0.9875
1764,0.004069854314975677,1.6563714145126136e-05,0.0027372079055676735,0.4743693416312169,74.82993197278913,P1_proxy_afp_ajena,ampliado_15pct,alta,Profuturo,4.480986269817082,0.22625792966356673,7.155348800589979,0.9825
1764,0.004100886474042004,1.6817269872980664e-05,0.0027594622426036657,0.46632303854981727,74.77324263038548,P2_proxy_pesos_permutados,ampliado_15pct,alta,Profuturo,3.018790482199622,-0.6996834746649667,4.982546722718795,0.9025
2050,0.004270642405992717,1.8238386559863262e-05,0.002947060717954446,0.4541449222907691,73.80487804878048,M0_base_mercado,ampliado_15pct,alta_media,Habitat,,,,
2050,0.0052029160212513316,2.7070335124193783e-05,0.0036433035323450934,0.18981430543039746,63.90243902439025,M1_proxy_directo,ampliado_15pct,alta_media,Habitat,-48.42505413152476,-60.19919620558041,-34.62192871519059,0.0
2050,0.004249827396225049,1.806103289770498e-05,0.0029264781352707748,0.4594529245486263,74.34146341463415,M2_hibrido,ampliado_15pct,alta_media,Habitat,0.9724196906133185,-1.3097204825420472,3.427220802835841,0.7425
2050,0.004287019970704332,1.837854022921777e-05,0.002943669086000803,0.44995027536706045,73.90243902439025,P1_proxy_afp_ajena,ampliado_15pct,alta_media,Habitat,-0.7684543196542479,-3.5583616079589278,1.8527507640598948,0.24
2050,0.0042933793127991615,1.84331059235718e-05,0.002962077549627552,0.4483171834686014,73.85365853658537,P2_proxy_pesos_permutados,ampliado_15pct,alta_media,Habitat,-1.0676348100717061,-2.708489536599921,0.6527577694027816,0.145
1601,0.004230568824491931,1.789771257876304e-05,0.0028379384162478434,0.443241977658573,73.57901311680199,M0_base_mercado,ampliado_15pct,alta_media,Integra,,,,
1601,0.005169848684656159,2.672733542224102e-05,0.0035267780403131837,0.16857205373831508,64.33479075577763,M1_proxy_directo,ampliado_15pct,alta_media,Integra,-49.333806231501235,-62.44081471280983,-31.12956877237439,0.0
1601,0.0041524538081573505,1.7242872628880483e-05,0.002797949526933041,0.4636125917156666,73.01686445971268,M2_hibrido,ampliado_15pct,alta_media,Integra,3.6587912952606736,0.36773880221592375,6.1838725916625945,0.99
1601,0.004149546229136483,1.7218733907740803e-05,0.0027997136291835847,0.46436349363033513,73.14178638351031,P1_proxy_afp_ajena,ampliado_15pct,alta_media,Integra,3.7936617209279286,0.5987953268207588,6.438426827429858,0.99
1601,0.0042044156432869935,1.7677110901516384e-05,0.0028180560621364243,0.4501044050781968,73.01686445971268,P2_proxy_pesos_permutados,ampliado_15pct,alta_media,Integra,1.2325691133760606,-0.5498417254284947,2.5068250360012243,0.865
1955,0.004412312188396759,1.9468498847874596e-05,0.0029662996776643386,0.4142596831580445,71.66240409207161,M0_base_mercado,ampliado_15pct,alta_media,Prima,,,,
1955,0.005281467424731523,2.7893898158500226e-05,0.003565995194226194,0.16076833283420477,62.250639386189256,M1_proxy_directo,ampliado_15pct,alta_media,Prima,-43.27708765047102,-52.50586604420528,-32.60947390061696,0.0
1955,0.004351781118598618,1.8937998904191437e-05,0.0029425510862716945,0.4302206058529926,71.0997442455243,M2_hibrido,ampliado_15pct,alta_media,Prima,2.724914477630998,0.18000192221198874,4.6611175790139265,0.9775
