afp,lag_dias_observacion,fecha_inicio,fecha_fin,observaciones,mae_cuota,rmse_cuota,mape_cuota_pct,p90_error_abs_pct,sesgo_medio_pct,correlacion_retorno_acumulado,direccion_correcta_pct
Habitat,1,2024-02-27,2026-06-30,462,0.11857021911792989,0.18446154268263623,0.47035471155122593,1.1624559287128533,-0.0382801303684369,0.6045349122051976,70.995670995671
Habitat,2,2024-02-28,2026-06-30,461,0.17570365504243407,0.26619712236267,0.6982248601941488,1.6246818215036034,-0.07510181975574683,0.6254002926477327,72.88503253796095
Habitat,3,2024-02-29,2026-06-30,460,0.2203942593976777,0.32549471204363734,0.8751334588027906,2.2185498858914263,-0.11463669443441357,0.6357658623289992,73.69565217391305
Habitat,4,2024-03-01,2026-06-30,459,0.26040575978498137,0.3784001847585094,1.0301622977551073,2.471102145845067,-0.15267751268378765,0.6417340849911111,74.50980392156863
Habitat,5,2024-03-04,2026-06-30,458,0.2977952924359708,0.4361477263389814,1.178825704444264,2.9459103944631524,-0.19085075589837425,0.6426935097637108,74.0174672489083
Integra,1,2024-02-27,2026-06-30,462,0.29970440542445276,0.45478919714468496,0.5254228734544752,1.3501910910903958,-0.0021231949371011203,0.585618740882781,68.3982683982684
Integra,2,2024-02-28,2026-06-30,461,0.4325892877245465,0.6459538121450921,0.759894098301393,1.8370859556210748,-0.0021081693786665664,0.6082201296297002,69.41431670281996
Integra,3,2024-02-29,2026-06-30,460,0.5427151976062329,0.7914400000312325,0.9543882724583067,2.3867898650814285,-0.00504133840992028,0.5971984331574497,67.82608695652173
Integra,4,2024-03-01,2026-06-30,459,0.6459622059320091,0.9225682740655059,1.1332347401628462,2.8069492961864126,-0.005276170456493175,0.5969524853122641,68.84531590413944
Integra,5,2024-03-04,2026-06-30,458,0.7326210896364915,1.0581557759026012,1.2859140324132705,3.2085021723483305,-0.004804231646690601,0.597810852980834,67.24890829694323
Prima,1,2024-02-27,2026-06-30,462,0.2565198564519216,0.41923746322028727,0.4972419019162071,1.201317793716728,-0.009145583827441588,0.6010465185957977,71.21212121212122
Prima,2,2024-02-28,2026-06-30,461,0.3744645711249129,0.5911794927621742,0.7280213150500554,1.692887896976327,-0.015780823898884362,0.6202721930998117,74.40347071583514
Prima,3,2024-02-29,2026-06-30,460,0.4650003065926454,0.7201651422222775,0.9040197744600618,2.311962124553836,-0.02571227124752377,0.6251854432388402,75.43478260869566
Prima,4,2024-03-01,2026-06-30,459,0.5515693682790793,0.8320215317567449,1.0707448427888906,2.5986661980260464,-0.03253997451211742,0.6185455431818575,75.38126361655773
Prima,5,2024-03-04,2026-06-30,458,0.6311259388852073,0.9523374050547019,1.2264746476740684,3.241063659872058,-0.03931631947038446,0.6118619400816349,72.92576419213974
Profuturo,1,2024-02-27,2026-06-30,462,0.32241581799520475,0.48890522786221086,0.546981546994257,1.3494253990318168,0.005197641689928698,0.600788745237411,68.3982683982684
Profuturo,2,2024-02-28,2026-06-30,461,0.47137376498544004,0.7038005495735407,0.8027878702168532,1.9187918998935127,0.011201047109228948,0.6406511740076477,70.49891540130152
Profuturo,3,2024-02-29,2026-06-30,460,0.589183465408904,0.8564189762264383,1.0045793740846134,2.438401283771459,0.01575750160548127,0.6388027780366675,67.3913043478261
Profuturo,4,2024-03-01,2026-06-30,459,0.7015718748594907,0.9951114225785007,1.192026402846777,2.8440802807200583,0.022523820052565702,0.6429407168846935,69.28104575163398
Profuturo,5,2024-03-04,2026-06-30,458,0.7998394280486789,1.1281850156811186,1.3590832117512357,3.1309365145869226,0.029894148407190787,0.644447416762552,68.3406113537118
