afp,n_factores_canasta,factores_canasta,alpha_final,rmse_valid_final,n_test,rmse_test,rmse_baseline_cero,mejora_rmse_vs_cero_pct,r2_test,direccion_correcta_test_pct,fecha,retorno_real,retorno_estimado
Habitat,,,,,,,,,,,2024-02-26,0.0019222664572737802,-0.002099846941802595
Habitat,,,,,,,,,,,2024-02-27,-0.0002943195237536944,0.0026523415503166546
Habitat,,,,,,,,,,,2024-02-28,-0.0028007562377548867,-0.0014718052748172034
Habitat,,,,,,,,,,,2024-02-29,0.0004234486753136313,0.0001754748681523264
Habitat,,,,,,,,,,,2024-03-01,0.0022815748209255027,0.002931012791685992
Habitat,,,,,,,,,,,2024-03-04,0.0033835428018016422,-0.0016965459947920255
Habitat,,,,,,,,,,,2024-03-05,-0.00472275024283475,-0.0009904207649642188
Habitat,,,,,,,,,,,2024-03-06,0.0021329726973080554,0.0013864032518357359
Habitat,,,,,,,,,,,2024-03-07,0.0012981996551719721,0.0025413871275334326
Habitat,,,,,,,,,,,2024-03-08,-0.005123098941332227,-0.0020685604449579907
Habitat,,,,,,,,,,,2024-03-11,-0.0010267827267891327,-0.00020074479316939994
Habitat,,,,,,,,,,,2024-03-12,0.0020984939944472814,0.002628301117598082
Habitat,,,,,,,,,,,2024-03-13,0.001167143825787198,0.004066000350356129
Habitat,,,,,,,,,,,2024-03-14,-0.00041057121088949877,-0.0008978015524600482
Habitat,,,,,,,,,,,2024-03-15,0.00024343674680782357,0.0018542240692512421
Habitat,,,,,,,,,,,2024-03-18,0.005180512848205643,-0.0011801934603394041
Habitat,,,,,,,,,,,2024-03-19,-0.004202196997884378,0.001449929598302033
Habitat,,,,,,,,,,,2024-03-20,0.004343356849127344,0.00335922564739604
Habitat,,,,,,,,,,,2024-03-21,0.0005550947493080383,0.0005346979458152427
Habitat,,,,,,,,,,,2024-03-22,0.0034323066054442464,-0.001954801045564021
Habitat,,,,,,,,,,,2024-03-25,-0.0013455750675547273,-0.000592346371356834
Habitat,,,,,,,,,,,2024-03-26,-0.008302291110609872,0.0011222553352464432
