escenario,afp,periodos,primera_fecha,ultima_fecha,error_cobertura_mediano_pct,factor_reescala_mediano,numero_identificadores_mediano,top5_mediano,hhi_mediano
ampliado_15pct,Habitat,133,2015-01-30,2026-01-30,1.2356542910363033,1.012511137315459,76.0,0.3255538761453688,0.03891965882435172
ampliado_15pct,Integra,110,2015-01-30,2026-01-30,5.5507560710518655,1.0587697838422676,77.0,0.31219584287240176,0.03643548789693837
ampliado_15pct,Prima,128,2015-01-30,2026-01-30,2.1773683337280136,1.0222583629797424,42.0,0.35439903063602274,0.04540260141790682
ampliado_15pct,Profuturo,118,2015-01-30,2025-12-31,6.835115984474527,1.073365833738598,62.5,0.3646575055464989,0.045077030600361
principal_5pct,Habitat,124,2015-01-30,2026-01-30,1.1077628792044936,1.0112017179368005,74.5,0.3264444848200742,0.038998382241644536
principal_5pct,Integra,49,2015-01-30,2024-05-31,1.819478724666068,1.0185319725443664,90.0,0.31314479022918884,0.036701177471070816
principal_5pct,Prima,96,2015-01-30,2026-01-30,1.5702689961630432,1.0159532065846468,44.0,0.31961813386806276,0.040770463581581026
principal_5pct,Profuturo,49,2015-01-30,2024-07-31,1.8864870688396151,1.019227596815978,58.0,0.388121880315806,0.048320412708074814
