afp,fecha_hoy_simulada,retraso_publicacion_dias,fecha_corte_visible,fecha_ultima_cuota_visible,cuota_ultima_visible,cuotas_ocultas_estimadas,primera_fecha_oculta,ultima_fecha_oculta,retorno_estimado_acumulado,retorno_real_acumulado,cuota_estimada_hoy,cuota_real_hoy,error_pct,error_abs_pct,direccion_correcta
Habitat,2026-06-30,5,2026-06-25,2026-06-25,33.4136279,3,2026-06-26,2026-06-30,0.004724103025798065,0.0036941513914448,33.57147732066528,33.5370629,0.0010261608408552725,0.0010261608408552725,True
Integra,2026-06-30,5,2026-06-25,2026-06-25,72.0405519,3,2026-06-26,2026-06-30,0.004217888913994772,0.003996468550097276,72.34441094521708,72.3284597,0.00022053898677287798,0.00022053898677287798,True
Prima,2026-06-30,5,2026-06-25,2026-06-25,65.3616475,3,2026-06-26,2026-06-30,0.005789526620143981,0.006581364094287778,65.74006049813772,65.7918163,-0.0007866601770997184,0.0007866601770997184,True
Profuturo,2026-06-30,5,2026-06-25,2026-06-25,71.4791849,3,2026-06-26,2026-06-30,0.004391143947571008,0.006374517289717829,71.79306029015095,71.9348302,-0.00197081037732183,0.00197081037732183,True
