afp,observaciones_oos_blend,primera_fecha_blend,ultima_fecha_blend,rmse_base,rmse_hibrido,rmse_blend,mae_base,mae_hibrido,mae_blend,r2_base,r2_hibrido,r2_blend,direccion_base_pct,direccion_hibrido_pct,direccion_blend_pct,mejora_blend_vs_base_mse_pct,mejora_blend_vs_hibrido_mse_pct,lambda_mediana,lambda_media,lambda_p10,lambda_p90,lambda_ultimo,proporcion_lambda_cero,proporcion_lambda_uno
Habitat,1798,2018-05-18,2026-04-15,0.0044551975380329656,0.004398746014972381,0.0044072878775944695,0.0030880939473961915,0.0030466150865758224,0.003052706399479323,0.45852110630080956,0.4721562593063706,0.47010424427270014,74.13793103448276,74.6384872080089,74.19354838709677,2.1391670306406168,-0.38875426105726724,0.46047628143955716,0.5904995969017636,0.33562455645519196,1.0,0.9847741840983913,0.0,0.2441860465116279
Integra,1349,2018-05-16,2026-04-15,0.004460172459118186,0.004303971961544007,0.004307816564522341,0.003005434463098413,0.0029098584654926127,0.0029097904711752045,0.4447690217754938,0.48297772726391275,0.4820536352007444,73.46182357301704,73.16530763528539,73.68421052631578,6.715153672526997,-0.1787335114748715,0.9687425729957336,0.9233265445374315,0.7878764272443926,1.0,1.0,0.0,0.4461538461538462
Prima,1703,2018-05-16,2026-04-15,0.004602913633594107,0.00449794224908367,0.00451002334008646,0.0030950510329884667,0.0030508047944725154,0.0030502849020044892,0.4171088097022787,0.44339181373758274,0.44039779362444476,71.69700528479154,71.46212566059894,71.7557251908397,3.9954256145595073,-0.5379044338608393,0.468307022654555,0.5064588922653593,0.39418299671198304,0.6817261030535895,1.0,0.0,0.012195121951219513
Profuturo,1512,2018-05-17,2026-03-13,0.004399810021859237,0.004309803116568688,0.004326106137275224,0.0029485472839290007,0.0029008518920542146,0.002908056544482605,0.4390774840417605,0.46179232596193853,0.4577127861626431,74.20634920634922,74.53703703703704,74.53703703703704,3.3222595974860125,-0.7579861819300212,0.745675193896107,0.5971631955860003,0.044302613042112776,0.8579891159858263,0.9823592010873308,0.041666666666666664,0.041666666666666664
