archivo,hoja,fila_python,fila_excel_aprox,puntaje,celdas_no_vacias,palabras_detectadas,texto_fila
CA-0001-no2025.XLS,1,46,47,2.0,27,fondo,fondos mutuos alternativos del extranjero | 0 |  | 0 |  | 2480078.016849444 | 0.19001968275719944 | 537798.5696271609 | 0.12419621876309121 | 0 |  | 0 |  | 5352451.853784881 | 0.18805022853143957 | 505715.8771087601 | 0.1586553745671476 | 0 |  | 0 |  | 2682873.442817783 | 0.19642994789218188 | 450497.64393000567 | 0.13455952930431975 | 0 |  | 0 |  | 2173412.5221200236 | 0.09690756060206804 | 226904.5789949066 | 0.08122686639042413 | 14409732.505232973 | 0.1208063014761017
CA-0001-no2025.XLS,6,4,5,2.0,32,monto, |  |  |  |  | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | %
CA-0001-no2025.XLS,6,100,101,2.0,24,prima,corporacion primax s.a |  |  |  |  | 0 |  | 21023.715562471003 | 0.012706438897952263 | 23577.211669031596 | 0.0018064489307235765 | 0 |  | 0 |  | 19784.8096610376 | 0.002548891279905671 | 30521.820778327303 | 0.0010723375995435477 | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 63216.165048316005 | 0.009436000287565872 | 90480.8850322883 | 0.004034338516206918 | 0 |  | 248604.6077514718 | 0.002084216565537611
CA-0001-no2025.XLS,6,153,154,2.0,23,fondo,fondo mivivienda s.a. |  |  |  |  | 4999.3576415 | 0.019668193352556353 | 0 |  | 5920.094318484 | 0.00045358832933815695 | 0 |  | 24996.788207499998 | 0.008734874201145992 | 0 |  | 23968.0957734051 | 0.0008420824718797011 | 39994.861132 | 0.021979444816545683 | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 99879.19707288909 | 0.0008373532533235146
CA-0001-no2025.XLS,6,173,174,2.0,23,administradora,administradora jockey plaza shopping center s |  |  |  |  | 0 |  | 0 |  | 17721.3827164 | 0.0013577845127900542 | 548.0025509999999 | 0.0001265526696248222 | 0 |  | 26588.252850997203 | 0.003425383766683135 | 30688.142856 | 0.001078181071950321 | 0 |  | 0 |  | 66645.4206438394 | 0.004879528156412947 | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 142191.2016182366 | 0.00119208272351369
CA-0001-no2025.XLS,6,212,213,2.0,23,fondo,credicorp capital s.a. sociedad admin. fondos |  |  |  |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 206.0999764832 | 7.241008184050032e-06 | 16786.087750388102 | 0.00922490737441645 | 75591.9589524127 | 0.015468360222828489 | 342480.014382611 | 0.025075104291402493 | 0 |  | 0 |  | 0 |  | 20297.3820174661 | 0.0009050144682162181 | 0 |  | 455361.5430793611 | 0.003817596463632538
CA-0001-no2025.XLS,6,3,4,2.0,20,moneda, | moneda | tasa cupón (%) * | plazo remanente | tipo oferta | ha00 |  | ha01 |  | ha02 |  | ha03 |  | in00 |  | in01 |  | in02 |  | pr00 |  | pr01 |  | pr02 |  | pr03 |  | ri00 |  | ri01 |  | ri02 |  | ri03 |  | total | 
CA-0001-no2025.XLS,6,232,233,1.0,33,,total general |  |  |  |  | 36120.70746757629 | 0.14210406805188291 | 715402.2279702454 | 0.4323790754375307 | 4835255.205612795 | 0.37046966021973227 | 289067.79125950305 | 0.06675571239528949 | 563376.1780348865 | 0.1968660934439835 | 3469743.7986752205 | 0.44700959288815495 | 8763213.210509233 | 0.30788212429051465 | 275282.1284154974 | 0.15128314436497964 | 2193782.5519443005 | 0.4489130753363986 | 3975141.7880881364 | 0.2910449974405374 | 46542.607868867206 | 0.013901851634108325 | 776672.4216950019 | 0.3731377671337844 | 2907928.878726538 | 0.4340538170088769 | 6379918.8702062825 | 0.2844661877385882 | 151653.9530974497 | 0.054288791528101815 | 35379102.31957154 | 0.2966063734507133
CA-0001-no2025.XLS,6,77,78,1.0,32,,pep01000c2z1 | pen | 6.9 | 11.712328767123287 | publica | 0 |  | 33335.3918727 | 0.020147443429356055 | 586227.598791529 | 0.04491583796520684 | 59143.437193499994 | 0.013658257345640398 | 0 |  | 462780.19067558995 | 0.0596203053117587 | 1714845.680726763 | 0.060248486294890546 | 0 |  | 373678.98954075004 | 0.0764658212066932 | 692921.284153381 | 0.05073310189267723 | 38604.53445903 | 0.011530821649816577 | 0 |  | 456366.89141337207 | 0.06811988856522444 | 1254095.722949742 | 0.05591729873443468 | 0 |  | 5671999.721776356 | 0.04755211854990655
CA-0001-no2025.XLS,6,84,85,1.0,32,,pep01000c5g4 | pen | 5.4 | 8.70958904109589 | publica | 0 |  | 132708.34731439498 | 0.08020706432162154 | 1172090.744156323 | 0.08980375208122127 | 100696.02797355001 | 0.023254182188411982 | 0 |  | 271728.98294952 | 0.03500704060356095 | 1211424.3159986879 | 0.042561544820063316 | 0 |  | 201846.941486403 | 0.04130387999011119 | 359901.63128484704 | 0.026350649848523353 | 0 |  | 0 |  | 582683.3270844779 | 0.08697459008667653 | 1207097.8936226699 | 0.05382177156353372 | 15029.2579065 | 0.00538014494606521 | 5255207.4697773745 | 0.04405787391839744
CA-0001-no2025.XLS,6,125,126,1.0,32,,usp82169aa48 | pen | 10.375 | 10.594520547945205 | publica | 0 |  | 148.51728450000002 | 8.976176428859759e-05 | 1575.768388545 | 0.0001207328992297267 | 148.51728450000002 | 3.4297757929422905e-05 | 0 |  | 16666.015597452 | 0.002147094794183098 | 66218.510536308 | 0.002326486324311126 | 0 |  | 7291.307565243 | 0.0014920181124769417 | 51039.747025839 | 0.0037369391670543407 | 0 |  | 0 |  | 11127.509023878001 | 0.001660954571808555 | 51601.736430387 | 0.002300805001078171 | 5428.009713906001 | 0.0019431085161453 | 211245.638850558 | 0.0017710116633479895
CA-0001-no2025.XLS,6,88,89,1.0,31,,pep01000c5k6 | pen | 6.8500000000000005 | 9.70958904109589 | publica | 0 |  | 39515.70813719 | 0.023882739921140064 | 399376.126198915 | 0.030599571580220995 | 0 |  | 0 |  | 294716.736872775 | 0.03796856949989349 | 552504.4484529949 | 0.0194114007252121 | 0 |  | 234225.782655855 | 0.047929552690591556 | 546764.213970114 | 0.0400320284756547 | 0 |  | 0 |  | 473307.924763 | 0.07064860246991282 | 739681.2219552 | 0.032980716782157575 | 82553.7078075 | 0.02955241813019753 | 3362645.870813544 | 0.028191280489026825
CA-0001-no2025.XLS,6,168,169,1.0,31,,cvl52632a026 | pen | 5.78125 | 3.6575342465753424 | publica | 0 |  | 9267.11215884 | 0.005600912648236528 | 84948.52812270001 | 0.006508622815451699 | 2574.1978219 | 0.000594470967168632 | 0 |  | 18534.22431768 | 0.0023877774693068553 | 12356.14954512 | 0.0004341144599152981 | 0 |  | 12356.14954512 | 0.002528435230146317 | 18534.22431768 | 0.0013570065060989765 | 0 |  | 0 |  | 20593.5825752 | 0.003073913941996948 | 82374.3303008 | 0.00367288553113375 | 0 |  | 261538.49870504 | 0.0021926499128761792
CA-0001-no2025.XLS,2,111,112,3.1,1,afp | fondo | participación,(4) incluye la participación de las afp en fondos mutuos alternativos. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,2,64,65,3.0,35,fondo | participación, | cuotas de participación de fondos de inversión |  | 0 | 0 | 0 | 0 | 31898.27246304 | 0.002443995540765083 | 0 | 0 | 0 | 0 | 0 | 0 | 461876.8575672718 | 0.016227338608845236 | 107736.0620343156 | 0.033799423846777435 | 0 | 0 | 12.2978907304 | 2.5165137461057813e-06 | 268791.8088443746 | 0.01967992979560449 | 70935.457454966 | 0.021187772887908487 | 0 | 0 | 0 | 0 | 252131.86561182002 | 0.011241991015427057 | 96064.5914910684 | 0.03438901838147057 | 1289447.2133575869 | 0.010810287334468285
CA-0001-no2025.XLS,2,112,113,2.1,1,afp | valor,"(5) categoría de riesgo equivalente para acciones y valores representativos de derechos sobre acciones, según lo indicado en el anexo iv de la circular nº afp-044-2004 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | "
CA-0001-no2025.XLS,2,6,7,2.0,35,instrumento, | instrumentos de corto plazo |  | 239604.18615257612 | 0.9426373944947084 | 17158.06 | 0.010370090879015604 | 299679.04 | 0.022960937407171412 | 94761.36 | 0.021883662883311727 | 2848524.6416309867 | 0.995388055336074 | 500 | 6.441536015696992e-05 | 109258 | 0.0038386131122990557 | 8000 | 0.0025097946376404067 | 1822337.890811497 | 1.001478039291009 | 31577.38 | 0.006461669938209079 | 79910.14 | 0.005850721240048826 | 34644.4 | 0.010347965677163173 | 2057907.4542996762 | 0.988683222187201 | 20035.8 | 0.0029906561781644888 | 311680.2 | 0.013897116889941594 | 26222.2 | 0.009386972908602213 | 8001800.752894736 | 0.06708437882208076
CA-0001-no2025.XLS,2,19,20,2.0,35,instrumento, | instrumentos de largo plazo |  | 0 | 0 | 333616.4346884865 | 0.2016330952597659 | 986627.7950507083 | 0.07559387218517137 | 4220.287543588101 | 0.0009746097974377082 | 0 | 0 | 1263657.5037332359 | 0.16279790643606792 | 1784030.0356981333 | 0.06267917303782063 | 0 | 0 | 0 | 0 | 811102.3220506491 | 0.16597562847855832 | 1513080.5099283347 | 0.1107820894487435 | 7938.0734098372 | 0.002371029984291747 | 30933.052440326 | 0.014861207628598064 | 871899.2411726924 | 0.13014458381247776 | 1599304.0748041733 | 0.07130936026771509 | 54070.9873834497 | 0.019356228451839066 | 9260480.317903616 | 0.0776367206464034
CA-0001-no2025.XLS,2,39,40,2.0,35,instrumento, | instrumentos de lp del exterior (1) |  | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CA-0001-no2025.XLS,2,74,75,2.0,35,instrumento, | instrumentos sin categoría de riesgo equivalente |  | 12007.301517036 | 0.04723845438044106 | 517172.71157219104 | 0.31257193523921384 | 6246023.707696049 | 0.47856052727650783 | 1755870.6095872042 | 0.4054910196194043 | 0 | 0 | 2553714.061682906 | 0.3289968220424458 | 12362957.028111476 | 0.4343536304426081 | 1095345.5048571767 | 0.3436365343067582 | 0 | 0 | 1770488.3584394383 | 0.36229450960393983 | 4948149.474251571 | 0.36228497694960987 | 1044951.4323584015 | 0.31211744340635816 | 0 | 0 | 2378475.360141361 | 0.3550246074735608 | 9140914.306029897 | 0.4075727447294914 | 956217.4473335457 | 0.34230488947734194 | 44782287.30357826 | 0.37543948153241674
CA-0001-no2025.XLS,2,77,78,2.0,35,fondo, |  | fondos mutuos | 12007.301517036 | 0.04723845438044106 | 65571.1753792129 | 0.03963029898055539 | 168265.96184948462 | 0.012892273739876867 | 74476.9602295139 | 0.017199296107996944 | 0 | 0 | 51642.3496843028 | 0.006653121108533094 | 238471.67119911808 | 0.008378338281652636 | 69627.8736256183 | 0.021843957981985088 | 0 | 0 | 210225.0221302011 | 0.04301828415650883 | 619769.4761308718 | 0.045377200414525934 | 58389.06870192049 | 0.017440281224353597 | 0 | 0 | 101497.67738675671 | 0.015150114093075899 | 312632.08871135797 | 0.01393955945988334 | 33304.9180273799 | 0.01192243073602644 | 2015881.5445727746 | 0.016900465954196486
CA-0001-no2025.XLS,2,78,79,2.0,35,valor, |  | acciones y valores representativos sobre acciones | 0 | 0 | 69815.7429112196 | 0.04219565608089356 | 2229130.335284477 | 0.1707924655020715 | 1396546.1456417753 | 0.32251062091355565 | 0 | 0 | 295985.41705661773 | 0.03813201448182596 | 5145302.182101258 | 0.18077234090826147 | 1025717.6312315583 | 0.3217925763247731 | 0 | 0 | 177583.10641558512 | 0.03633877858959072 | 1866318.7199608972 | 0.13664486854329072 | 947957.829197451 | 0.28314634053218796 | 0 | 0 | 240948.04520076013 | 0.035965260184085975 | 4047667.421916428 | 0.18047635779873453 | 825329.5635921657 | 0.29544989566505275 | 18268302.140510194 | 0.15315523831143518
CA-0001-no2025.XLS,2,81,82,2.0,35,instrumento, | instrumentos de inversión de corto plazo con equivalencia de clasificación |  | 0 | 0 | 1201.13874782 | 0.0007259514171882138 | 951.1675255399999 | 7.28769620246316e-05 | 40.1863222 | 9.28040635492089e-06 | 0 | 0 | 120811.11434746 | 0.015564182883313024 | 257212.0889815382 | 0.009036754264276886 | 47656.2681203323 | 0.014950930772295434 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 427871.96404489054 | 0.0035871331728612905
CA-0001-no2025.XLS,2,87,88,2.0,35,instrumento, | instrumentos de inversión de largo plazo con equivalencia de clasificación |  | 0 | 0 | 318595.51681682 | 0.19255466311677236 | 149386.4743512101 | 0.011445757057471063 | 0 | 0 | 0 | 0 | 1406150.0346715648 | 0.1811553218362092 | 919572.538271888 | 0.032307777948714006 | 0 | 0 | 0 | 0 | 626743.19280479 | 0.1282502743395395 | 260891.92097636318 | 0.019101529585776572 | 0 | 0 | 0 | 0 | 1573807.7524027554 | 0.23491539534066364 | 1948948.5285412734 | 0.08689921757499433 | 0 | 0 | 7204095.958836665 | 0.06039669285671572
CA-0001-no2025.XLS,2,102,103,2.0,35,instrumento, | instrumentos sin categoría de riesgo equivalente |  | 0 | 0 | 534053.091618391 | 0.3227742002476947 | 6078056.562144382 | 0.465691148372087 | 2553760.145899687 | 0.5897512036309496 | 0 | 0 | 2519538.932217576 | 0.3245940154966052 | 13787899.00748335 | 0.4844167925568903 | 1893681.3398946587 | 0.5940939090334143 | 0 | 0 | 1642923.8647404069 | 0.33619102495391845 | 6798328.122936813 | 0.49774812990801515 | 2221759.6106863976 | 0.663619291841979 | 0 | 0 | 1688079.7352112688 | 0.2519722740965599 | 9453549.422863621 | 0.4215124392065189 | 1610594.9870904274 | 0.5765577072308339 | 50782224.82278699 | 0.4257409191559172
CA-0001-no2025.XLS,7,2,3,2.0,17,emisor, | ha00 | ha01 | ha02 | ha03 | in00 | in01 | in02 | pr00 | pr01 | pr02 | pr03 | ri00 | ri01 | ri02 | ri03 | total | % sobre el emisor
CA-0001-no2025.XLS,7,98,99,1.1,1,prima,corporacion primax s.a |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,7,151,152,1.1,1,fondo,fondo mivivienda s.a. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,7,171,172,1.1,1,administradora,administradora jockey plaza shopping center s |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,7,210,211,1.1,1,fondo,credicorp capital s.a. sociedad admin. fondos |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,7,75,76,1.0,13,,pep01000c2z1 |  | 31000 | 545158 | 55000 |  | 430359 | 1594708 |  | 347500 | 644377 | 35900 |  | 424395 | 1166237 |  | 5274634 | 0.34923522111102906
CA-0001-no2025.XLS,7,82,83,1.0,13,,pep01000c5g4 |  | 132450 | 1169809 | 100500 |  | 271200 | 1209066 |  | 201454 | 359201 |  |  | 581549 | 1204748 | 15000 | 5244977 | 0.44869702347033635
CA-0001-no2025.XLS,7,123,124,1.0,13,,usp82169aa48 |  | 500 | 5305 | 500 |  | 56108 | 222932 |  | 24547 | 171831 |  |  | 37462 | 173723 | 18274 | 711182 | 0.6851477555833441
CA-0001-no2025.XLS,7,86,87,1.0,12,,pep01000c5k6 |  | 35900 | 362833 |  |  | 267750 | 501950 |  | 212794 | 496735 |  |  | 430000 | 672000 | 75000 | 3054962 | 0.1439017743945393
CA-0001-no2025.XLS,7,166,167,1.0,12,,cvl52632a026 |  | 900 | 8250 | 250 |  | 1800 | 1200 |  | 1200 | 1800 |  |  | 2000 | 8000 |  | 25400 | 0.8466666666666667
CA-0001-no2025.XLS,7,119,120,1.0,11,,xs0799645816 |  |  |  |  |  | 18557 | 212084 |  | 28582 | 105830 | 6586 |  | 1914 | 125206 | 35241 | 534000 | 0.6584979571609051
CA-0001-no2025.XLS,7,165,166,1.0,11,,cvl52632a018 |  | 45 | 565 | 40 |  | 1300 | 4300 |  | 1500 | 2700 |  |  |  | 6600 |  | 17050 | 0.5655058043117744
CA-0001-no2025.XLS,10,323,324,4.0,23,fondo | moneda | administradora,moneda s.a. administradora general de fondos |  |  |  | 28734.7891117856 | 0.017366903628881387 | 171789.077147105 | 0.013162209301025634 | 0 |  | 147855.02472318403 | 0.019048269337123187 | 0.2925672916 | 1.0278905359475563e-08 | 0 |  | 70291.9249125244 | 0.014383815823418815 | 138190.941947052 | 0.010117823335461221 | 0 |  | 140594.382247546 | 0.02098590811865976 | 11541.1945190368 | 0.0005145958237982631 | 0 |  | 708997.6271755253 | 0.005943995217350677
CA-0001-no2025.XLS,10,427,428,3.0,23,fondo | fondo mutuo,fondo mutuo alternativo extranjero |  |  |  | 0 |  | 2480078.016849444 | 0.1900196827571995 | 537798.569627161 | 0.12419621876309118 | 0 |  | 5352451.853784881 | 0.18805022853143957 | 505715.8771087601 | 0.15865537456714765 | 0 |  | 2682873.442817783 | 0.19642994789218188 | 450497.64393000567 | 0.13455952930431977 | 0 |  | 2173412.5221200236 | 0.09690756060206804 | 226904.5789949066 | 0.08122686639042413 | 14409732.505232977 | 0.1208063014761017
CA-0001-no2025.XLS,10,132,133,2.0,27,fondo,fondos mutuos del extranjero |  |  |  | 534053.0916183911 | 0.3227742002476946 | 3597978.545294938 | 0.27567146561488903 | 1998789.1803081664 | 0.4615892869907618 | 2512841.6541582327 | 0.3237312003400773 | 8299484.6072666105 | 0.2915897274229602 | 1378138.020416736 | 0.4323554266962863 | 1642923.8647404066 | 0.3361910249539184 | 4100762.0015817676 | 0.3002424391077232 | 1771261.9667563918 | 0.5290597625376592 | 1688079.7352112678 | 0.25197227409656 | 7279578.559041134 | 0.3245799834076951 | 1383690.408095521 | 0.49533084084041007 | 36187581.63448956 | 0.3033843893382192
CA-0001-no2025.XLS,10,4,5,2.0,26,monto, |  |  |  | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | %
CA-0001-no2025.XLS,10,436,437,2.0,22,fondo,fondo arias resource capital fund ii l.p. | usd |  |  | 0 |  | 0 |  | 0 |  | 0 |  | 36483.5532326848 | 0.0012817939722697142 | 16807.101939050903 | 0.005272796790113204 | 0 |  | 23775.825301460798 | 0.0017407769037940276 | 9018.3128637572 | 0.002693687637253889 | 0 |  | 16397.0724156949 | 0.0007311084631418635 | 16397.0724156949 | 0.005869792563038826 | 118878.93816834349 | 0.0009966406273196522
CA-0001-no2025.XLS,10,448,449,2.0,20,fondo,fondo energético americano | usd |  |  | 0 |  | 0 |  | 0 |  | 0 |  | 26549.0561063576 | 0.000932760574868912 | 12782.892321221201 | 0.004010304325166962 | 0 |  | 0 |  | 0 |  | 0 |  | 22615.8760972144 | 0.0010083908881328494 | 16716.075883326 | 0.005983988813101876 | 78663.9004081192 | 0.0006594914141909433
CA-0001-no2025.XLS,10,352,353,2.0,19,administradora,compass group chile s.a. administradora gener |  |  |  | 25511.521136735202 | 0.015418805660422644 | 72797.8142461808 | 0.005577654200592256 | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 52196.5102551144 | 0.007791144644740115 | 52196.5102551144 | 0.002327324623965073 | 0 |  | 202702.35589314482 | 0.001699387681697109
CA-0001-no2025.XLS,10,369,370,2.0,17,moneda,moneda latam high yield credit fund plc |  |  |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 119592.59358249199 | 0.017851063040167828 | 461477.965217715 | 0.020576261259980508 | 0 |  | 581070.558800207 | 0.004871498140566617
CA-0001-no2025.XLS,10,389,390,2.0,17,moneda,moneda asset management |  |  |  | 31528.4317311728 | 0.019055342056450496 | 68105.4151892121 | 0.005218129954130011 | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 99633.8469203849 | 0.000835296321005037
CA-0001-no2025.XLS,10,631,632,2.0,17,etf,privfaetf6sc | eur |  |  | 0 |  | 0 |  | 2461.7347999653 | 0.0005684993806606138 | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 2461.7347999653 | 2.0638348164396484e-05
CA-0001-no2025.XLS,10,3,4,2.0,16,moneda, | moneda | tasa cupón (%) | plazo remanente | ha01 |  | ha02 |  | ha03 |  | in01 |  | in02 |  | in03 |  | pr01 |  | pr02 |  | pr03 |  | ri01 |  | ri02 |  | ri03 |  | total | 
CA-0001-no2025.XLS,10,118,119,2.0,16,valor,grupo aval acciones y valores s.a. |  |  |  | 0 |  | 0 |  | 0 |  | 0 |  | 3804.1660855362 | 0.00013365357060629544 | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 3804.1660855362 | 3.189283595844364e-05
CA-0001-no2025.XLS,9,2,3,3.0,15,fondo | fondo mutuo, | ha00 | ha01 | ha02 | ha03 | in01 | in02 | in03 | pr01 | pr02 | pr03 | ri01 | ri02 | ri03 | total general | % sobre el fondo mutuo
CA-0001-no2025.XLS,9,42,43,2.6,6,fondo | instrumento,macro-infraestructura: fondo de inversión en instrumentos de deuda |  |  |  |  |  | 1200 | 300 |  |  |  |  | 2208 |  | 3708 | 0.845993031358885
CA-0001-no2025.XLS,9,23,24,2.4,4,fondo | etf,fondo bursatil vaneck el dorado peru etf |  |  |  |  |  | 1674352 |  |  |  |  |  |  |  | 1674352 | 0.23852318618221427
CA-0001-no2025.XLS,9,8,9,1.9,9,fondo,fondo de inversión senior loans bdc 2 clase a |  | 535 | 4831 |  |  |  |  | 15096 | 18174 |  | 20045 | 11105 |  | 69786 | 0.6244444444444445
CA-0001-no2025.XLS,9,9,10,1.9,9,fondo,fondo de inversión senior loans bdc clase c |  |  |  |  | 15070 | 1811 |  | 5981 | 12243 |  | 3536 | 17680 |  | 56321 | 0.26666666666666666
CA-0001-no2025.XLS,9,18,19,1.9,9,fondo,credicorp capital fondo de inversión inmobiliario perú |  |  |  |  |  | 58540 | 14635 |  | 60000 | 30000 |  | 85499 | 42749 | 291423 | 0.7953185253109111
CA-0001-no2025.XLS,9,44,45,1.9,9,fondo,fondo de inversión en infraestructura -sigma fi |  |  |  |  |  | 280 | 70 |  | 141 | 57 |  | 188 | 123 | 859 | 0.6899598393574298
CA-0001-no2025.XLS,9,5,6,1.8,8,fondo,"fondo de inversión en infraestructura, servicios públicos y recursos naturales |  |  |  |  |  | 1878654 | 541346 | 1276 | 1508703 | 70021 |  |  |  | 4000000 | 0.9999999589929215"
CA-0001-no2025.XLS,9,6,7,1.8,8,fondo,fondo inmobiliario ii |  |  |  |  |  | 14681059 | 4837113 |  | 9546937 | 1060769 |  |  | 6364626 | 36490504 | 0.601184831843849
CA-0001-no2025.XLS,9,31,32,1.8,8,fondo,fondo hmc crédito perú ii (pen) fi |  | 22999222 | 36415437 | 17249418 |  |  |  | 24681283 | 61115565 |  |  |  |  | 162460925 | 0.5
CA-0001-no2025.XLS,9,32,33,1.8,8,fondo,fondo hmc crédito perú ii (usd) fi |  | 3811481 | 6034835 | 2858608 |  |  |  | 4110952 | 10179499 |  |  |  |  | 26995375 | 0.5
CA-0001-no2025.XLS,9,11,12,1.7000000000000002,7,etf,etf - epu |  |  |  |  |  | 547 | 99453 |  | 1150981 | 200790 |  |  |  | 1451771 | 0.4921252448660635
CA-0001-no2025.XLS,1-A,0,1,2.1,1,emisor | instrumento,cartera por tipo de instrumento y sector del emisor |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,1-A,4,5,2.0,34,monto, | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | %
CA-0001-no2025.XLS,1-A,5,6,1.0,35,,i. nacional | 252548.35030961208 | 0.9935616014997174 | 868800.8162864775 | 0.5250910313085344 | 7571268.920540278 | 0.5800987342237489 | 1855853.5956346923 | 0.42858053586030775 | 2862122.0128409876 | 1.0001395188440942 | 3822935.4654239216 | 0.49251152972427104 | 14741096.729709063 | 0.5179059400348709 | 1215811.2210256122 | 0.3814295603641396 | 1861951.6689214974 | 1.0232480573708322 | 2644564.6075394987 | 0.5411564741656737 | 6864806.581643219 | 0.5026154337365328 | 1173302.5771612849 | 0.35045475740356513 | 2089669.6899100018 | 1.0039427953917566 | 3264593.836707555 | 0.4872916343219218 | 11312854.040646726 | 0.5044146370597665 | 1132865.2493450237 | 0.4055409311460759 | 63535045.363645434 | 0.5326562336747738
CA-0001-no2025.XLS,1-A,6,7,1.0,35,,corto plazo | 240541.0487925761 | 0.9463231471192763 | 30018.416022821108 | 0.018142709735293663 | 353148.638123713 | 0.027057694042888113 | 95762.69850389998 | 0.022114906443465657 | 2862122.0128409876 | 1.0001395188440942 | 112230.81712845893 | 0.01445877701208142 | 211913.5885208683 | 0.007445260571954013 | 12729.654134119997 | 0.003993602210603927 | 1861951.6689214974 | 1.0232480573708322 | 91389.78366740319 | 0.01870106442596221 | 215521.63871174006 | 0.01577968740013357 | 49477.61393808 | 0.0147785111250067 | 2089669.6899100018 | 1.0039427953917566 | 14219.235393500001 | 0.0021224430358830664 | 320503.7942008399 | 0.014290541047133735 | 26512.223136959998 | 0.009490794835424194 | 8587712.52194747 | 0.07199646402455594
CA-0001-no2025.XLS,1-A,15,16,1.0,35,,iii. operaciones en tránsito | 1636.5436399999999 | 0.0064383985002838835 | -68139.91328403528 | -0.041182808152185515 | -748011.8032752064 | -0.05731148963513595 | -79483.47442399598 | -0.01835547272737599 | -399.2642500000002 | -0.00013951884409367857 | -122020.17076202319 | -0.0157199464921014 | -1354491.77679354 | -0.04758800174724896 | 11994.621949433349 | 0.003763004731151459 | -42303.28991 | -0.023248057370831597 | -36239.24994138582 | -0.007415627006721215 | -302483.3013325676 | -0.02214669472317965 | -56288.75448501756 | -0.016812936561788533 | -8206.78236 | -0.00394279539175639 | 81905.7668267168 | 0.012225715348906496 | -506910.4571451568 | -0.022601993568022484 | 8213.344230499191 | 0.002940197229092917 | -3221227.96131628 | -0.027005680783921793
CA-0001-no2025.XLS,1-A,16,17,1.0,35,,total | 254184.893949612 | 1 | 1654571.806571165 | 1 | 13051690.1242194 | 1 | 4330233.0375535125 | 1 | 2861722.748590986 | 1 | 7762123.797516305 | 1 | 28462884.0687105 | 1 | 3187511.7908137823 | 1 | 1819648.3790114971 | 1 | 4886876.040089414 | 1 | 13658169.0908475 | 1 | 3347943.072178563 | 1 | 2081462.9075500008 | 1 | 6699466.206207944 | 1 | 22427687.877158698 | 1 | 2793467.101196169 | 1 | 119279642.94216506 | 1
