archivo,hoja,fila_python,fila_excel_aprox,puntaje,celdas_no_vacias,palabras_detectadas,texto_fila
CA-0001-no2025.XLS,13,19,20,2.0,27,moneda,monedas | 177546.48667664902 | 0.10730660704571393 | 223420.71990027197 | 0.01711814468270901 | 65424.520000000004 | 0.01510877577086785 | 7256695.246087177 | 0.9348852756521543 | 17284332.2883809 | 0.607258640644281 | 3282519.9724271586 | 1.0298063780931523 | 3575885.891591875 | 0.7317324733136567 | 6886777.070726415 | 0.5042240306822183 | 2631051.4711353877 | 0.7858710301855036 | 2903300.674924462 | 0.43336298528294226 | 7304895.257464307 | 0.3257087978696155 | 1191492.8 | 0.42652830938649683 | 52783342.399314605 | 0.4425176090182261
CA-0001-no2025.XLS,13,4,5,2.0,26,monto, | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | %
CA-0001-no2025.XLS,13,0,1,1.1,1,instrumento,inversión en instrumentos derivados locales y extranjeros |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,13,1,2,1.1,1,valor,(valores nocionales en miles de soles) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,13,56,57,1.1,1,valor,"*el valor nocional de estos derivados se ha calculado como la multiplicación del número de contratos en stock, por el número de unidades de subyacente en cada contrato, por el precio spot del subyacente, por el tipo de cambio de la fecha correspondiente. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | "
CA-0001-no2025.XLS,13,5,6,1.0,27,,i. nacional | 989787.7655540534 | 0.5982138470044585 | 2568724.340341042 | 0.1968116248465309 | 971957.6392407353 | 0.22445850623084942 | 1528125.6011528801 | 0.19686952192669793 | 3402179.2675809194 | 0.11953037715250248 | 929633.44845734 | 0.2916486304886739 | 1583838.2 | 0.32410034283804356 | 1956684 | 0.1432610759894016 | 456559.6 | 0.13637018018436886 | 1711930.4 | 0.2555323584457624 | 3569435.4 | 0.15915307095187745 | 465300.8 | 0.16656748876718724 | 20134156.462326966 | 0.16879792700326401
CA-0001-no2025.XLS,13,6,7,1.0,27,,1. forwards | 989787.7655540534 | 0.5982138470044585 | 2568724.340341042 | 0.1968116248465309 | 971957.6392407353 | 0.22445850623084942 | 1528125.6011528801 | 0.19686952192669793 | 3402179.2675809194 | 0.11953037715250248 | 929633.44845734 | 0.2916486304886739 | 1583838.2 | 0.32410034283804356 | 1956684 | 0.1432610759894016 | 456559.6 | 0.13637018018436886 | 1711930.4 | 0.2555323584457624 | 3569435.4 | 0.15915307095187745 | 465300.8 | 0.16656748876718724 | 20134156.462326966 | 0.16879792700326401
CA-0001-no2025.XLS,13,8,9,1.0,27,,citibank | 275738.3489593725 | 0.16665239179361818 | 519439.84612999996 | 0.03979866524459542 | 297953.88800000004 | 0.06880781828969128 | 97501.362 | 0.012561170698050206 | 769919.3061370801 | 0.02704993999478286 | 0 | 0 | 151290 | 0.030958427993445045 | 0 | 0 | 0 | 0 | 50430 | 0.007527465390193314 | 147928 | 0.006595775757636439 | 13448 | 0.004814089270727955 | 2323648.7512264526 | 0.01948068164785768
CA-0001-no2025.XLS,13,9,10,1.0,27,,continental | 368200.47659468086 | 0.22253520526118317 | 1396938.824211042 | 0.10703125885733439 | 465751.38524073525 | 0.10755804161151442 | 806489.7592120001 | 0.10390065660509788 | 1436683.6451117198 | 0.0504756876233452 | 385300.30307898 | 0.12087807931860595 | 802173.2 | 0.16414846487191084 | 1475918 | 0.10806118962087168 | 288459.6 | 0.08616024639041861 | 950437.4 | 0.14186763105384334 | 1828928 | 0.08154777300350508 | 235340 | 0.08424656223773921 | 10440620.593449155 | 0.0875306157523584
CA-0001-no2025.XLS,13,10,11,1.0,27,,credito | 151861.53999999998 | 0.0917829854206864 | 309085.47 | 0.02368164330123382 | 120840.366 | 0.027906203881413315 | 292607.32374088 | 0.03769681228667177 | 539037.09933812 | 0.018938245964002228 | 175664.83956199998 | 0.05511033404433374 | 252150 | 0.05159737998907508 | 134480 | 0.009846122061127258 | 94136 | 0.028117562924612132 | 509343 | 0.07602740044095248 | 708373.4 | 0.03158477163940904 | 147928 | 0.052954981978007507 | 3435507.0386409997 | 0.028802123764796725
