periodo,afp,monto_ca_miles_soles,registros,identificadores_unicos,escenario,total_fp_miles_soles,objetivo_monto_miles_soles,objetivo_participacion_pct,objetivo,ratio_ca_objetivo,error_abs_pct,ratio_ca_total_fondo
2015-01,Habitat,127329.36288098981,46,46,todas_las_filas,100246.5811940938,63324.8449145881,63.169081838293145,total_exterior,2.0107331183002555,101.07331183002555,1.2701616490487522
2015-01,Habitat,127329.36288098981,46,46,todas_las_filas,100246.5811940938,62645.1718627745,62.49108061000423,rv_y_fondos_exterior,2.0325487039912242,103.25487039912242,1.2701616490487522
2015-01,Habitat,127329.36288098981,46,46,todas_las_filas,100246.5811940938,62645.1718627745,62.49108061000423,fondos_exterior_amplio,2.0325487039912242,103.25487039912242,1.2701616490487522
2015-01,Habitat,127329.36288098981,46,46,todas_las_filas,100246.5811940938,62645.1718627745,62.49108061000423,administradoras_fondos_exterior,2.0325487039912242,103.25487039912242,1.2701616490487522
2015-01,Habitat,127329.36288098981,46,46,todas_las_filas,100246.5811940938,62645.1718627745,62.49108061000423,fondos_mutuos_mas_etf,2.0325487039912242,103.25487039912242,1.2701616490487522
2015-01,Habitat,127329.36288098981,46,46,todas_las_filas,100246.5811940938,62645.1718627745,62.49108061000423,fondos_mutuos_exterior,2.0325487039912242,103.25487039912242,1.2701616490487522
2015-01,Integra,10017172.414142208,99,98,todas_las_filas,8400569.1195552,5017774.973323989,59.731369409762976,total_exterior,1.9963375136183927,99.63375136183927,1.1924397349250793
2015-01,Integra,10017172.414142208,99,98,todas_las_filas,8400569.1195552,4750377.916589933,56.54828677656855,rv_y_fondos_exterior,2.108710631033973,110.87106310339729,1.1924397349250793
2015-01,Integra,10017172.414142208,99,98,todas_las_filas,8400569.1195552,4718355.775568127,56.16709663854249,fondos_exterior_amplio,2.123021851385521,112.30218513855208,1.1924397349250793
2015-01,Integra,10017172.414142208,99,98,todas_las_filas,8400569.1195552,4718355.775568127,56.16709663854249,administradoras_fondos_exterior,2.123021851385521,112.30218513855208,1.1924397349250793
2015-01,Integra,10017172.414142208,99,98,todas_las_filas,8400569.1195552,4718355.775568127,56.16709663854249,fondos_mutuos_mas_etf,2.123021851385521,112.30218513855208,1.1924397349250793
2015-01,Integra,10017172.414142208,99,98,todas_las_filas,8400569.1195552,4718355.775568127,56.16709663854249,fondos_mutuos_exterior,2.123021851385521,112.30218513855208,1.1924397349250793
2015-01,Prima,9123996.08332462,74,74,todas_las_filas,8030752.206630416,4543462.126603353,56.57579775468781,total_exterior,2.008159379144122,100.81593791441219,1.1361321889363727
2015-01,Prima,9123996.08332462,74,74,todas_las_filas,8030752.206630416,4416717.923342365,54.997561992957486,rv_y_fondos_exterior,2.0657864599195435,106.57864599195435,1.1361321889363727
2015-01,Prima,9123996.08332462,74,74,todas_las_filas,8030752.206630416,4327670.73069036,53.88873444653556,fondos_exterior_amplio,2.1082925784118376,110.82925784118376,1.1361321889363727
2015-01,Prima,9123996.08332462,74,74,todas_las_filas,8030752.206630416,4327670.73069036,53.88873444653556,administradoras_fondos_exterior,2.1082925784118376,110.82925784118376,1.1361321889363727
2015-01,Prima,9123996.08332462,74,74,todas_las_filas,8030752.206630416,4327670.73069036,53.88873444653556,fondos_mutuos_mas_etf,2.1082925784118376,110.82925784118376,1.1361321889363727
2015-01,Prima,9123996.08332462,74,74,todas_las_filas,8030752.206630416,4327670.73069036,53.88873444653556,fondos_mutuos_exterior,2.1082925784118376,110.82925784118376,1.1361321889363727
2015-01,Profuturo,6842089.573386067,78,78,todas_las_filas,5397129.861704912,3405711.9822542835,63.10227972128958,total_exterior,2.0090041697704577,100.90041697704577,1.2677274308209259
2015-01,Profuturo,6842089.573386067,78,78,todas_las_filas,5397129.861704912,3241345.3649067422,60.056834798539114,rv_y_fondos_exterior,2.1108795278231396,111.08795278231396,1.2677274308209259
2015-01,Profuturo,6842089.573386067,78,78,todas_las_filas,5397129.861704912,2958580.799982422,54.8176693129972,fondos_exterior_amplio,2.3126255579792576,131.26255579792576,1.2677274308209259
2015-01,Profuturo,6842089.573386067,78,78,todas_las_filas,5397129.861704912,2958580.799982422,54.8176693129972,administradoras_fondos_exterior,2.3126255579792576,131.26255579792576,1.2677274308209259
2015-01,Profuturo,6842089.573386067,78,78,todas_las_filas,5397129.861704912,2958580.799982422,54.8176693129972,fondos_mutuos_mas_etf,2.3126255579792576,131.26255579792576,1.2677274308209259
2015-01,Profuturo,6842089.573386067,78,78,todas_las_filas,5397129.861704912,2958580.799982422,54.8176693129972,fondos_mutuos_exterior,2.3126255579792576,131.26255579792576,1.2677274308209259
2015-02,Habitat,139355.31648561978,46,46,todas_las_filas,109141.202694716,68999.0067603531,63.21994357470428,total_exterior,2.0196713406270868,101.96713406270868,1.276835081938918
2015-02,Habitat,139355.31648561978,46,46,todas_las_filas,109141.202694716,67641.7037954395,61.97632253022104,rv_y_fondos_exterior,2.060198201202249,106.01982012022488,1.276835081938918
2015-02,Habitat,139355.31648561978,46,46,todas_las_filas,109141.202694716,67641.7037954395,61.97632253022104,fondos_exterior_amplio,2.060198201202249,106.01982012022488,1.276835081938918
2015-02,Habitat,139355.31648561978,46,46,todas_las_filas,109141.202694716,67641.7037954395,61.97632253022104,administradoras_fondos_exterior,2.060198201202249,106.01982012022488,1.276835081938918
2015-02,Habitat,139355.31648561978,46,46,todas_las_filas,109141.202694716,67641.7037954395,61.97632253022104,fondos_mutuos_mas_etf,2.060198201202249,106.01982012022488,1.276835081938918
2015-02,Habitat,139355.31648561978,46,46,todas_las_filas,109141.202694716,67641.7037954395,61.97632253022104,fondos_mutuos_exterior,2.060198201202249,106.01982012022488,1.276835081938918
2015-02,Integra,10613322.18963848,99,99,todas_las_filas,8638383.194662321,5349101.317381278,61.92248244655898,total_exterior,1.9841318307342084,98.41318307342084,1.2286236846029797
2015-02,Integra,10613322.18963848,99,99,todas_las_filas,8638383.194662321,5060697.239447579,58.583847525710546,rv_y_fondos_exterior,2.097205520794408,109.72055207944078,1.2286236846029797
2015-02,Integra,10613322.18963848,99,99,todas_las_filas,8638383.194662321,5034701.46608794,58.282914205506586,fondos_exterior_amplio,2.108034063414933,110.80340634149329,1.2286236846029797
2015-02,Integra,10613322.18963848,99,99,todas_las_filas,8638383.194662321,5034701.46608794,58.282914205506586,administradoras_fondos_exterior,2.108034063414933,110.80340634149329,1.2286236846029797
2015-02,Integra,10613322.18963848,99,99,todas_las_filas,8638383.194662321,5034701.46608794,58.282914205506586,fondos_mutuos_mas_etf,2.108034063414933,110.80340634149329,1.2286236846029797
2015-02,Integra,10613322.18963848,99,99,todas_las_filas,8638383.194662321,5034701.46608794,58.282914205506586,fondos_mutuos_exterior,2.108034063414933,110.80340634149329,1.2286236846029797
2015-02,Prima,9862077.210774444,71,71,todas_las_filas,8241739.8962728875,4908542.60366562,59.557116160452715,total_exterior,2.0091660615127602,100.91660615127603,1.196601365111548
2015-02,Prima,9862077.210774444,71,71,todas_las_filas,8241739.8962728875,4764314.479946098,57.807144364027245,rv_y_fondos_exterior,2.069988715540461,106.9988715540461,1.196601365111548
2015-02,Prima,9862077.210774444,71,71,todas_las_filas,8241739.8962728875,4670098.064276606,56.66398264265213,fondos_exterior_amplio,2.111749491132382,111.1749491132382,1.196601365111548
2015-02,Prima,9862077.210774444,71,71,todas_las_filas,8241739.8962728875,4670098.064276606,56.66398264265213,administradoras_fondos_exterior,2.111749491132382,111.1749491132382,1.196601365111548
