fecha,mercado_global,tecnologia_extra,emergentes_extra,peru_extra,cobre_extra,bonos_tesoro,spread_credito,vix,fx_usdpen,afp_referencia
2014-12-18,,,,,,,,,,Habitat
2014-12-19,0.0027252458794895,-0.002583192880495634,0.004321547136062729,-0.008911041169982625,0.01221776127841902,0.0134462447625682,0.0101253275042315,-0.0190362703742227,-0.0047425269058848,Habitat
2014-12-22,0.0059455109011965,0.004291541902917298,0.007877969354664097,-0.01554030833349258,-0.018192075122567843,0.0013509601627204,-0.005621433195915,-0.075197076308636,0.0064670026004505,Habitat
2014-12-23,-0.0003378527681588,0.0027711667837493526,-0.00863623244236196,0.005934443525076861,0.005480013671949308,-0.0198353935977986,0.0111544313380312,-0.0295081842141072,0.0040581954188962,Habitat
2014-12-24,0.0018582142879575,-0.0035508534905399998,0.0005293647677683797,-0.004833500495637752,0.0016859687275435154,0.0054431627790361,0.00017854964640069996,-0.0290540742996051,0.0023576858349898,Habitat
2014-12-25,,,,,,,,,0.0,Habitat
2014-12-26,,,,,,,,,0.0,Habitat
2014-12-29,-0.002183033117581,-0.002487465817264252,-0.003664728172772977,0.0006678789420857252,0.00895301857079361,0.0074756625075709,-0.0013771282252448,0.038620718594255,-0.000672074399413,Habitat
2014-12-30,-0.006563668215489,0.0008533798373967262,0.009018604804505894,0.0017198230070456788,0.014228643720324166,0.0027126946377771,-0.0028382609926988,0.0571048892905099,-0.020275680503068,Habitat
2014-12-31,-0.0089784862135602,8.987166331395069e-06,0.010250872275399404,0.0021536510634916194,0.003976722379392072,0.0019094772201659,-0.0033418014604943,0.2060301928974026,0.0272162281408048,Habitat
2015-01-01,,,,,,,,,-0.0060140747415552,Habitat
2015-01-02,,,,,,,,,-0.0119663691149276,Habitat
2015-01-05,-0.0197053300191061,0.009220697296325159,0.0028394787344332532,8.705465856671812e-05,0.0013018189657884108,0.0157088532369005,-0.0133539706177291,0.1197301321613486,-0.0052051560512645,Habitat
2015-01-06,-0.0103131972894776,0.0006307184273474237,0.006672401311720381,0.013556929118346425,-0.005972010497313047,0.0180167842600587,-0.0079020751931636,0.0602410019248709,0.020313971210065,Habitat
2015-01-07,0.0130698686875303,-0.008217881467149149,0.008193920727722327,-0.018347675770042066,-0.012222076911658606,-0.0019747027693983,0.00489562431786,-0.0857008191935618,0.0001675762559867,Habitat
2015-01-08,0.0156902210440328,0.0020030833360258557,0.0008818771258799207,-0.0026114258488988285,-0.007047143049531282,-0.0132430804483443,0.0107538548661912,-0.1191092335925292,0.0003350963577806,Habitat
2015-01-09,-0.0061792673217583,0.00435294718609601,0.003277677271450523,-0.0010396730923339943,0.0016179586211099248,0.010952776104973,0.0023647711278807003,0.0317459730107367,-0.0201004840496367,Habitat
2015-01-12,-0.0056994787937628,-0.004744804542681821,-0.0020702329507992483,0.0027655476066598744,-0.024581717105717344,0.0057221488204839,-0.0031227764618613,0.1168091870955849,0.0201709457164493,Habitat
2015-01-13,0.0006949063168242,-0.0018762555590803017,0.008161201728038438,-0.030123266175160587,-0.029199487262633692,0.0,-0.000908013604814,0.0489795441728797,0.0023458343024413,Habitat
2015-01-14,-0.0046867811241191,-2.5896868568064772e-05,-0.0005734669882557514,-0.03034291397701252,-0.04915577585184948,0.0075859380000493,-0.0040652877612817,0.0447470865851882,-0.0240053477184791,Habitat
2015-01-15,-0.0022669225431134,-0.010256693012288369,0.004814243743231885,0.005162097209418497,-0.014375127161907577,0.0157355842577329,-0.0113132741159434,0.0423649844881406,0.0249383943759611,Habitat
2015-01-16,0.0117110051600983,-0.005226933350209883,-0.003591143702979648,-0.0014544995579075445,0.012948316030853033,-0.0127489383624835,0.0093804628546174,-0.0643143665012665,0.0020052818638212,Habitat
2015-01-19,,,,,,,,,0.0056705133069461,Habitat
2015-01-20,,,,,,,,,-0.0232504366855563,Habitat
2015-01-21,0.0074124312059409,-0.007860310221569928,0.014514122040932598,-0.01682309376904936,-0.0026425885024747714,-0.0115593961962366,0.0057800502379972,-0.0522875334385364,0.000271620198698,Habitat
2015-01-22,0.0116359096747868,0.0015404960907588732,0.007166354037550879,-0.002809042234464647,-0.014121389761280124,-0.0035983378558153,0.0018279801131593,-0.1299735126450129,0.0201311014886815,Habitat
2015-01-23,-0.006089299348769,0.007140350591644913,-0.0010642200190835302,-0.006725512605943469,-0.021751853303001063,0.0139179561533668,-0.0058398688275904,0.0158536728615568,-0.0003328339105628,Habitat
2015-01-26,0.0068076015120468,-0.012921123917373944,-0.006431108019414878,0.012863259934981768,-0.01046516338388321,-0.0030420898883247,0.004800192781373801,-0.0684273349393529,-0.0263648571008379,Habitat
2015-01-27,-0.0069306288444345,-0.02038823054766225,0.001963490216701032,0.0017787012334734946,-0.002157049761265715,0.0015627578058814,-0.0015113345627601,0.1095360055057483,0.0073509680048908,Habitat
2015-01-28,-0.0132763971627338,0.014663691268055288,0.0031057113293507955,-0.0052050787995547715,-0.003115693024803301,0.0163486679126148,-0.0088863238035863,0.1869919482636646,-6.789301355802912e-05,Habitat
2015-01-29,0.0094875496264172,-0.0026909439683659823,-0.009707244732809428,-0.011083800253104214,-0.002164221370597342,-0.0065804221047333,0.0059027520882472,-0.0821917936047273,0.0017650144992582,Habitat
