afp,modelo,referencia,metrica,n_dm,dm_estadistico,dm_pvalor,diferencia_media_perdida
Habitat,OLS,RIDGE,error_absoluto_diario,593,-2.742163931917653,0.006103587174331571,-9.00887177286631e-11
Habitat,RIDGE,RIDGE,error_absoluto_diario,593,,,0.0
Habitat,ELASTIC_NET,RIDGE,error_absoluto_diario,593,2.72327027785407,0.006463915213500426,1.3583605351885083e-07
Habitat,HUBER,RIDGE,error_absoluto_diario,593,2.344355602801861,0.01905998928544017,1.1471456124204547e-05
Habitat,LAD_Q50,RIDGE,error_absoluto_diario,593,2.2311440696699623,0.025671587383380823,2.509585875268822e-05
Habitat,ARDL_OLS,RIDGE,error_absoluto_diario,593,0.18403348090801122,0.8539871895102955,1.2763515563861873e-05
Habitat,ARDL_RIDGE,RIDGE,error_absoluto_diario,593,0.18403424336755717,0.8539865913708766,1.276356671199541e-05
Habitat,OLS,RIDGE,error_absoluto_cuota_5d,593,-3.0810946496597063,0.0020624107774211975,-2.7351918500400794e-10
Habitat,RIDGE,RIDGE,error_absoluto_cuota_5d,593,,,0.0
Habitat,ELASTIC_NET,RIDGE,error_absoluto_cuota_5d,593,3.0626827621089237,0.002193624766376523,4.1587376101885296e-07
Habitat,HUBER,RIDGE,error_absoluto_cuota_5d,593,1.9903864961229492,0.04654837630585407,3.0276976479517595e-05
Habitat,LAD_Q50,RIDGE,error_absoluto_cuota_5d,593,2.1691114264197964,0.03007422540796134,6.665337174053567e-05
Habitat,ARDL_OLS,RIDGE,error_absoluto_cuota_5d,593,-1.413980656760304,0.15736758200566392,-0.00030054132571317
Habitat,ARDL_RIDGE,RIDGE,error_absoluto_cuota_5d,593,-1.41398188675278,0.1573672208531085,-0.000300541426767295
Integra,OLS,RIDGE,error_absoluto_diario,593,-1.6253126709875956,0.10409595290284579,-4.93159948512955e-11
Integra,RIDGE,RIDGE,error_absoluto_diario,593,,,0.0
Integra,ELASTIC_NET,RIDGE,error_absoluto_diario,593,1.2549100724457893,0.20951140709647076,6.178690056809345e-08
Integra,HUBER,RIDGE,error_absoluto_diario,593,1.5215339714007299,0.1281258929819984,2.2826127173811102e-05
Integra,LAD_Q50,RIDGE,error_absoluto_diario,593,2.155101613913795,0.031153883461734644,5.6471179556095485e-05
Integra,ARDL_OLS,RIDGE,error_absoluto_diario,593,1.8017715669296495,0.07158135292498602,0.00010559376533418412
Integra,ARDL_RIDGE,RIDGE,error_absoluto_diario,593,1.8017712961387542,0.07158139554676723,0.00010559371616553028
Integra,OLS,RIDGE,error_absoluto_cuota_5d,593,-1.689845280535569,0.09105755844969687,-1.4788083573880043e-10
Integra,RIDGE,RIDGE,error_absoluto_cuota_5d,593,,,0.0
Integra,ELASTIC_NET,RIDGE,error_absoluto_cuota_5d,593,3.1230621553336095,0.0017897994623756741,3.4545369584046455e-07
Integra,HUBER,RIDGE,error_absoluto_cuota_5d,593,3.8524472638948843,0.00011694316774479852,0.000111037279361859
Integra,LAD_Q50,RIDGE,error_absoluto_cuota_5d,593,3.8071400238170905,0.00014058315555942613,0.00020587574715835553
