afp,n_pronosticos_evaluados,mape_prospectivo_pct,sesgo_pct,p90_error_abs_pct,error_maximo_abs_pct,acierto_direccion_pct,pearson_retorno
Habitat,2,1.6466641452093151,1.6466641452093151,2.008693794635695,2.0992012069922903,50.0,
Integra,2,2.3484991342315498,2.3484991342315498,2.924253628717374,3.0681922523388296,50.0,
Prima,2,2.321033681162835,2.321033681162835,2.854363695444791,2.98769619901528,50.0,
Profuturo,2,1.869635132634305,1.869635132634305,2.434400122442773,2.57559136989489,50.0,
