familia,parametros,val_mae,val_r2,val_mape_cuota_pct,val_p90_pct,estado,seleccionado,afp,tarea
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 1, ""min_samples_leaf"": 10, ""n_estimators"": 100}",0.0038870241556932974,0.14267644142050695,0.8515712937107341,1.8140004255860247,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 100}",0.0038870241556932974,0.14267644142050695,0.8515712937107341,1.8140004255860247,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 100}",0.0037723645149862995,0.1992870355655798,0.8071389142376739,1.71063480089403,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 100}",0.0037679653413907363,0.20128594375144948,0.8064646398205144,1.7133905053879488,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 10, ""n_estimators"": 100}",0.0038062805943546722,0.17876284483793015,0.8205381495747505,1.7204827463657861,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 100}",0.0038062805943546722,0.17876284483793015,0.8205381495747505,1.7204827463657861,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 100}",0.003739003232631373,0.21518425886754877,0.7920599553810257,1.6554988444601595,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 100}",0.003722827758267944,0.2218287814872647,0.7872288868756426,1.6457734250610971,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 1, ""min_samples_leaf"": 10, ""n_estimators"": 250}",0.0037653655000732694,0.20018326992908353,0.8022424341719148,1.657765519728987,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 250}",0.0037589618715024135,0.20374969247927754,0.7995755588995753,1.65177992847688,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 250}",0.0037250169383220328,0.2265786786334949,0.7829099893664319,1.6191110878156685,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",0.0037130002606229,0.23077918106045447,0.7764060726530704,1.6130338406161522,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 10, ""n_estimators"": 250}",0.003733259661326428,0.2137905340265317,0.790099298841628,1.636394213957222,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 250}",0.0037117429631595756,0.2260699354444361,0.7805410521075313,1.6095510831663697,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 250}",0.0037329509086324606,0.2290456396761701,0.7787431304230954,1.6441562271377188,CORRECTO,False,Habitat,diario_recursivo
DIARIO_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",0.0037128219292041193,0.23446262338120472,0.7736844115477366,1.6591699245510165,CORRECTO,True,Habitat,diario_recursivo
DIARIO_EXTRA_TREES,"{""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 5}",0.003847628110564224,0.1734238922383219,0.8288855351468002,1.7431469010975278,CORRECTO,False,Habitat,diario_recursivo
DIARIO_EXTRA_TREES,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 5}",0.0038221722825335027,0.1826053755454482,0.8264001896297748,1.729800668917668,CORRECTO,False,Habitat,diario_recursivo
DIARIO_EXTRA_TREES,"{""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 20}",0.0038284563735944484,0.18263233131478918,0.8234660494205351,1.7306081455468376,CORRECTO,False,Habitat,diario_recursivo
DIARIO_EXTRA_TREES,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 20}",0.0038025254513880577,0.19189249645248707,0.8203828989486579,1.72877209234561,CORRECTO,False,Habitat,diario_recursivo
DIARIO_EXTRA_TREES,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 5}",0.00374721162971755,0.22279866527427505,0.7951100141968328,1.6162723253376314,CORRECTO,False,Habitat,diario_recursivo
DIARIO_EXTRA_TREES,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5}",0.0037299768154365354,0.22533762838478644,0.793986497263696,1.6471871025293447,CORRECTO,True,Habitat,diario_recursivo
DIARIO_EXTRA_TREES,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",0.0037497101802673074,0.214612984336918,0.7997587183885123,1.6462055902419872,CORRECTO,False,Habitat,diario_recursivo
DIARIO_EXTRA_TREES,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 20}",0.0037256163232862374,0.2219155494721804,0.7983165916706333,1.6325542882314807,CORRECTO,False,Habitat,diario_recursivo
DIRECTO_RIDGE,"{""alpha"": 0.001}",0.007486258841229771,0.3923277900990074,0.7495807729518086,1.5231402959460063,CORRECTO,False,Habitat,directo_acumulado
DIRECTO_RIDGE,"{""alpha"": 0.01}",0.007486299161292184,0.3923118927882536,0.749585309609595,1.5230756977733417,CORRECTO,False,Habitat,directo_acumulado
DIRECTO_RIDGE,"{""alpha"": 0.1}",0.007486645530495129,0.3921691382545368,0.7496246029188275,1.522483174691658,CORRECTO,False,Habitat,directo_acumulado
DIRECTO_RIDGE,"{""alpha"": 1.0}",0.00748730558304033,0.391582283314134,0.7497169796726908,1.5223555107546187,CORRECTO,False,Habitat,directo_acumulado
DIRECTO_RIDGE,"{""alpha"": 10.0}",0.007470879153621384,0.39321294169084386,0.7481312699070183,1.5172268094297623,CORRECTO,False,Habitat,directo_acumulado
DIRECTO_RIDGE,"{""alpha"": 100.0}",0.007408018664917056,0.40033738333601543,0.7419289502779967,1.5129389195032155,CORRECTO,True,Habitat,directo_acumulado
DIRECTO_POLY_RIDGE,"{""alpha"": 0.01, ""interaction_only"": true}",0.008545923532816142,0.17123984348228205,0.8562944528338355,1.8705347636526943,CORRECTO,False,Habitat,directo_acumulado
DIRECTO_POLY_RIDGE,"{""alpha"": 0.01, ""interaction_only"": false}",0.008608665487130055,0.1430267382955177,0.8626299373644384,1.9157380015657168,CORRECTO,False,Habitat,directo_acumulado
DIRECTO_POLY_RIDGE,"{""alpha"": 0.1, ""interaction_only"": true}",0.008440310769401941,0.19878896493970055,0.8456939002907473,1.8822259297168131,CORRECTO,False,Habitat,directo_acumulado
DIRECTO_POLY_RIDGE,"{""alpha"": 0.1, ""interaction_only"": false}",0.008490209037323566,0.1798143742202034,0.8508017336888039,1.8383544890939838,CORRECTO,False,Habitat,directo_acumulado
DIRECTO_POLY_RIDGE,"{""alpha"": 1.0, ""interaction_only"": true}",0.008239877016042603,0.25406100196130854,0.8255178206631575,1.7974356589801759,CORRECTO,False,Habitat,directo_acumulado
