afp,modelos_candidatos_sugeridos,razones,vif_maximo,ljungbox_pvalor_lag10,arch_lm_pvalor,outliers_pct,curtosis_exceso,dispersion_correlacion_movil_250
Habitat,Ridge | Huber | ARDL | ARIMAX | GARCH | RegresionCuantil | LAD,"autocorrelación temporal (Ljung-Box lag 10 p=0.0000) | heterocedasticidad/volatilidad agrupada (ARCH-LM p=0.0000) | colas y extremos (outliers 1.35 %, curtosis exceso 5.70)",1.2121785246852068,7.464987972241288e-35,5.224638192856537e-54,1.3490725126475547,5.696475616657921,0.11437295801269187
Integra,Ridge | Huber | ARDL | ARIMAX | GARCH | RegresionCuantil | LAD,"autocorrelación temporal (Ljung-Box lag 10 p=0.0000) | heterocedasticidad/volatilidad agrupada (ARCH-LM p=0.0000) | colas y extremos (outliers 1.24 %, curtosis exceso 8.98)",2.6277748354018287,2.270336400184847e-22,7.235073439297386e-64,1.2366498032602586,8.979971785714097,0.14738265095160558
Prima,Ridge | Huber | ARDL | ARIMAX | GARCH | RegresionCuantil | LAD,"autocorrelación temporal (Ljung-Box lag 10 p=0.0000) | heterocedasticidad/volatilidad agrupada (ARCH-LM p=0.0000) | colas y extremos (outliers 1.01 %, curtosis exceso 11.79)",3.4940994593421797,1.5871526966054313e-24,3.574038744746673e-87,1.0118043844856661,11.788321148082549,0.1399380553964364
Profuturo,Ridge | Huber | ARDL | ARIMAX | GARCH | RegresionCuantil | LAD,"autocorrelación temporal (Ljung-Box lag 10 p=0.0000) | heterocedasticidad/volatilidad agrupada (ARCH-LM p=0.0000) | colas y extremos (outliers 1.24 %, curtosis exceso 8.26)",2.6277748354018287,2.264488207313235e-13,2.5235789904988703e-75,1.2366498032602586,8.263856938183542,0.14161077202949068
