afp,fecha_inicio,fecha_fin,observaciones,mae_cuota_1d,rmse_cuota_1d,mape_cuota_1d_pct,correlacion_retornos,direccion_correcta_pct,error_final_acumulado_sin_reanclaje_pct
Habitat,2024-02-26,2026-06-30,463,0.10296965922978296,0.15932784543363135,0.40828350824766513,0.6754776739320936,69.54643628509719,-17.458666601230334
Integra,2024-02-26,2026-06-30,463,0.2678436296449797,0.4072744398394891,0.4683348523456609,0.6198658600571524,68.68250539956804,-2.8330821381152504
Prima,2024-02-26,2026-06-30,463,0.22251618517523877,0.35530763666837456,0.42794400610797073,0.7099348031340742,72.78617710583153,-5.816152465487578
Profuturo,2024-02-26,2026-06-30,463,0.28619834133722444,0.44102231844924045,0.4840149010187947,0.6295854132101589,68.89848812095032,0.3992026041475416
