fecha_cuota,afp,cuota_sbs,retorno_real,retorno_estimado
2024-02-26,Habitat,21.9302475,0.0019222664572737802,-0.0020762572380823973
2024-02-27,Habitat,21.923793,-0.0002943195237536944,0.0026745822705433347
2024-02-28,Habitat,21.862389800000003,-0.0028007562377548867,-0.0014480248626918147
2024-02-29,Habitat,21.8716474,0.0004234486753136313,0.00019819593726145732
2024-03-01,Habitat,21.9215492,0.0022815748209255027,0.002953198187995621
2024-03-04,Habitat,21.9957217,0.0033835428018016422,-0.0016727296239925481
2024-03-05,Habitat,21.8918414,-0.00472275024283475,-0.0009663059174405278
2024-03-06,Habitat,21.9385361,0.0021329726973080554,0.0014092142014523479
2024-03-07,Habitat,21.9670167,0.0012981996551719721,0.00256385295180275
2024-03-08,Habitat,21.8544775,-0.005123098941332227,-0.0020447456740554505
2024-03-11,Habitat,21.8320377,-0.0010267827267891327,-0.00017724007231678836
2024-03-12,Habitat,21.8778521,0.0020984939944472814,0.002649811381336045
2024-03-13,Habitat,21.9033867,0.001167143825787198,0.004088083537329909
2024-03-14,Habitat,21.8943938,-0.00041057121088949877,-0.0008739746143909943
2024-03-15,Habitat,21.8997237,0.00024343674680782357,0.0018769030600305414
2024-03-18,Habitat,22.013175500000003,0.005180512848205643,-0.0011568712878357436
2024-03-19,Habitat,21.9206718,-0.004202196997884378,0.0014723111343361752
2024-03-20,Habitat,22.0158811,0.004343356849127344,0.003380934668553409
2024-03-21,Habitat,22.028102,0.0005550947493080383,0.0005575790196847396
2024-03-22,Habitat,22.1037092,0.0034323066054442464,-0.0019311203422728751
2024-03-25,Habitat,22.073967,-0.0013455750675547273,-0.0005689942987882108
2024-03-26,Habitat,21.890702500000003,-0.008302291110609872,0.00114513922320326
2024-03-27,Habitat,21.662628800000004,-0.010418747411144014,0.00224066595287259
2024-03-28,Habitat,21.6669967,0.00020163296155417676,0.0016530008446086148
2024-03-29,Habitat,21.6698466,0.00013153184262049145,0.0002864807114240039
2024-04-01,Habitat,21.4612382,-0.009626667131090727,0.0002864807114240039
2024-04-02,Habitat,21.3454998,-0.005392904124236431,0.0009331516254213359
2024-04-03,Habitat,21.3173488,-0.001318825994413908,0.0020500367039488904
2024-04-04,Habitat,21.0798805,-0.011139673241167714,-0.002310185324758499
2024-04-05,Habitat,20.6709382,-0.019399649822493203,0.0004547802173919022
2024-04-08,Habitat,20.6578192,-0.0006346591467241147,0.0012706402189721594
2024-04-09,Habitat,20.6826106,0.0012000976366373095,0.0019330977798962283
2024-04-10,Habitat,20.7123279,0.0014368253879903925,-3.853169746497614e-05
2024-04-11,Habitat,20.6877692,-0.0011857044808564199,0.00134485532751306
2024-04-12,Habitat,20.6081078,-0.00385065200746737,-0.004494670723213572
2024-04-15,Habitat,20.5833726,-0.0012002654605678398,-0.0021042065484870843
2024-04-16,Habitat,20.5561275,-0.001323646057886596,0.001825873895418383
2024-04-17,Habitat,20.5353907,-0.0010087892284185163,0.0017041384916988876
2024-04-18,Habitat,20.5225202,-0.0006267472670973273,0.0004366210742140497
2024-04-19,Habitat,20.4411381,-0.003965502248598041,0.000144419069272454
2024-04-22,Habitat,20.637935,0.009627492316584885,-0.0002972186229921528
2024-04-23,Habitat,20.8005142,0.00787768737521466,0.0013903697627506509
2024-04-24,Habitat,20.9692991,0.008114458055080265,0.00019838860356341612
2024-04-25,Habitat,21.1084898,0.006637832735191473,0.003034363332764343
2024-04-26,Habitat,21.167249,0.0027836761680601896,0.003190507990850753
2024-04-29,Habitat,21.2173671,0.0023677191117277285,0.0008427612488305245
2024-04-30,Habitat,21.3106465,0.0043963701792197885,-0.002942232580205412
2024-05-01,Habitat,21.2301747,-0.0037761313341667657,0.000357835927584523
2024-05-02,Habitat,21.248094700000003,0.0008440816080521607,0.0014138399368285443
2024-05-03,Habitat,21.3548087,0.005022285598152765,0.003164191245940953
2024-05-06,Habitat,21.479145000000003,0.005822402895138135,-0.0004499914488970394
2024-05-07,Habitat,21.3894996,-0.004173601882197953,0.0019517300680846337
2024-05-08,Habitat,21.4624039,0.0034084154077171913,-0.0001412695792903188
2024-05-09,Habitat,21.4558401,-0.0003058278108354351,0.002125154313786935
2024-05-10,Habitat,21.6248432,0.007876787821512687,0.0005973139041189248
2024-05-13,Habitat,21.6476863,0.0010563359830511043,-0.002654453212926529
2024-05-14,Habitat,21.7472039,0.00459714717872628,0.003841572737453975
2024-05-15,Habitat,21.8948901,0.006791043146471054,0.001846842952815483
2024-05-16,Habitat,21.9665086,0.003271014363301017,7.531416302182479e-05
2024-05-17,Habitat,22.0773396,0.005045453604766159,0.003666737995257719
2024-05-20,Habitat,22.1264465,0.002224312389523586,1.727557065778017e-05
2024-05-21,Habitat,22.1639021,0.001692797801942536,4.313642682252214e-05
2024-05-22,Habitat,22.1048945,-0.002662329030951649,-0.0035102977542467786
2024-05-23,Habitat,22.1318845,0.0012209965535008305,-0.0011235775802979596
2024-05-24,Habitat,22.163665700000003,0.0014359915894193165,0.002900080143417583
2024-05-27,Habitat,22.1675638,0.00017587794603834972,0.0002864807114240039
2024-05-28,Habitat,22.2637357,0.004338406370121728,0.0002864807114240039
2024-05-29,Habitat,22.2060943,-0.0025890264229107007,-0.003258493479727918
2024-05-30,Habitat,22.1653537,-0.001834658515342813,0.0006253162600842334
2024-05-31,Habitat,22.0537522,-0.005034952363516698,0.0022267905335463757
2024-06-03,Habitat,22.0419198,-0.0005365254806845021,-0.0017161822004735936
2024-06-04,Habitat,21.9317111,-0.0049999592140789195,-0.0017116865565821927
2024-06-05,Habitat,21.990269400000003,0.002670028787676415,0.002374830860854458
2024-06-06,Habitat,22.0246488,0.001563391488055066,0.001482678794397504
2024-06-07,Habitat,21.8604833,-0.00745371703724973,-0.0025926516797455997
2024-06-10,Habitat,22.0067058,0.006688896031864067,0.0011225340744492203
2024-06-11,Habitat,21.9587226,-0.002180389942778138,-0.001881847819100372
2024-06-12,Habitat,22.1434847,0.008414064122290732,0.003532284763447086
2024-06-13,Habitat,22.0400735,-0.004670050870538955,-0.0008391207798208271
2024-06-14,Habitat,22.046706800000003,0.0003009654210093249,-0.0009326956997022786
2024-06-17,Habitat,22.1454433,0.004478514677756618,-0.0015340242993052762
2024-06-18,Habitat,22.2448669,0.00448957370837566,0.0033701123348268665
2024-06-19,Habitat,22.2131318,-0.0014266257533778193,0.0002864807114240039
2024-06-20,Habitat,22.1264937,-0.0039003099959096232,0.0002864807114240039
2024-06-21,Habitat,22.0841702,-0.0019127974171525564,-0.00034626149453745043
2024-06-24,Habitat,22.0869729,0.00012690990762243004,9.869601562927972e-05
2024-06-25,Habitat,22.0882675,5.8613736063417576e-05,0.0011885282039159973
2024-06-26,Habitat,22.0673016,-0.0009491871646338801,0.0011804564538048618
2024-06-27,Habitat,22.0559748,-0.0005132843247132035,2.9440079842954015e-05
2024-06-28,Habitat,22.1397831,0.0037998003153321136,-0.0008092977445674416
2024-07-01,Habitat,22.098684400000003,-0.0018563280324094267,0.0012544892812214252
2024-07-02,Habitat,22.0375809,-0.0027650288539350365,0.0022874188798805263
2024-07-03,Habitat,22.1176069,0.003631342313075825,0.002276292214427377
2024-07-04,Habitat,22.1139385,-0.00016585881178665662,0.0002864807114240039
2024-07-05,Habitat,22.1739156,0.0027121853486207215,0.0002864807114240039
2024-07-08,Habitat,22.1630353,-0.0004906801395059279,0.0002864807114240039
2024-07-09,Habitat,22.1568992,-0.0002768618971608072,0.0001580459525465512
2024-07-10,Habitat,22.2986674,0.006398377260298238,2.6591780407078875e-05
2024-07-11,Habitat,22.1688085,-0.005823617065116582,0.0009597372788146617
2024-07-12,Habitat,22.1833059,0.0006539548573392118,0.0016107564526466746
2024-07-15,Habitat,22.1713855,-0.0005373590416927199,0.0002864807114240039
2024-07-16,Habitat,22.1698567,-6.895374220072803e-05,0.0004116309275631001
2024-07-17,Habitat,21.9834545,-0.008407911811175617,-0.004838240179974923
2024-07-18,Habitat,21.9026106,-0.003677488449324584,-0.004202599363422111
2024-07-19,Habitat,21.820128,-0.003765879853609766,-0.000377063832271176
2024-07-22,Habitat,21.914120200000003,0.004307591596163007,0.0002864807114240039
2024-07-23,Habitat,21.8713431,-0.0019520336481498868,0.0012929358006191064
2024-07-24,Habitat,21.7786135,-0.004239776202861645,-0.004870682940096817
2024-07-25,Habitat,21.622832400000004,-0.007152939281465098,-0.0003299801437390153
2024-07-26,Habitat,21.6925612,0.003224776417357633,0.0020507326140243613
2024-07-29,Habitat,21.6311453,-0.0028311963457777756,0.0002864807114240039
2024-07-30,Habitat,21.5669468,-0.002967873365447682,-0.0018623446086411012
2024-07-31,Habitat,21.7625906,0.009071464858437794,0.005580707600914664
2024-08-01,Habitat,21.5215323,-0.011076728153862292,-0.005280218134937638
2024-08-02,Habitat,21.135819,-0.017922204359026916,-0.0055646443451067935
2024-08-05,Habitat,20.8346758,-0.014248002407666438,0.0002864807114240039
2024-08-06,Habitat,20.8178492,-0.0008076247579527074,0.0077594862415658545
2024-08-07,Habitat,20.8297895,0.0005735606923311654,-0.0016364904024734068
2024-08-08,Habitat,20.9597638,0.006239827819671362,0.0037335850881659483
2024-08-09,Habitat,21.0745518,0.005476588433692031,0.004843323488537078
2024-08-12,Habitat,21.1634498,0.004218262900376413,0.0002864807114240039
2024-08-13,Habitat,21.2334515,0.0033076696219915824,0.004386172326812692
2024-08-14,Habitat,21.1984386,-0.0016489500070208107,0.0022304185001961714
2024-08-15,Habitat,21.3734082,0.008253890925721263,0.0033493047588901677
2024-08-16,Habitat,21.3780237,0.00021594590609086417,0.0005109533292121232
2024-08-19,Habitat,21.4093889,0.0014671702323914015,0.0002864807114240039
2024-08-20,Habitat,21.4221495,0.0005960282219918955,-0.0007871343813491576
2024-08-21,Habitat,21.3864269,-0.0016675544160495992,0.0012710643340161684
2024-08-22,Habitat,21.2736379,-0.005273859000729075,-0.0025660896805628553
2024-08-23,Habitat,21.3556183,0.003853614524481408,0.0041048975439876585
2024-08-26,Habitat,21.289909400000003,-0.0030768905435998306,0.0002864807114240039
2024-08-27,Habitat,21.2733674,-0.0007769878062515723,0.003231472520933278
2024-08-28,Habitat,21.2023764,-0.0033370833429973157,-0.004233299239100145
2024-08-29,Habitat,21.260722,0.002751842477431099,0.0008292199203167937
2024-08-30,Habitat,21.3106089,0.002346434895296401,0.003235416747929364
2024-09-02,Habitat,21.3421059,0.0014779962481503706,0.0002864807114240039
2024-09-03,Habitat,21.1000122,-0.01134347758999743,-0.006422144066557762
2024-09-04,Habitat,21.1060686,0.00028703300939336707,0.0008270965950154329
2024-09-05,Habitat,21.1540901,0.00227524608727947,0.0018596548809921586
2024-09-06,Habitat,20.966667200000003,-0.008859889464118198,-0.005216306497173961
2024-09-09,Habitat,21.0837918,0.0055862287927190835,0.0002864807114240039
2024-09-10,Habitat,21.0624509,-0.001012194590158999,0.0004885854873284164
2024-09-11,Habitat,21.127462,0.0030865876107513124,0.004282254447145501
2024-09-12,Habitat,21.2600538,0.006275803501622601,0.0028772779646274132
2024-09-13,Habitat,21.5106931,0.01178921287583945,0.000978150989676794
2024-09-16,Habitat,21.505385500000003,-0.0002467423980865302,0.0002864807114240039
2024-09-17,Habitat,21.3912421,-0.005307665840261433,0.0010637670358764023
2024-09-18,Habitat,21.4465584,0.0025859321184533712,-0.0010171612925260328
2024-09-19,Habitat,21.6083308,0.007543047093280908,0.005497430365175429
2024-09-20,Habitat,21.603582900000003,-0.00021972544033799224,-0.00031938956173171225
2024-09-23,Habitat,21.6538819,0.0023282712054208954,0.0002864807114240039
2024-09-24,Habitat,21.790303,0.006300075923107551,0.006510773289250598
2024-09-25,Habitat,21.7331465,-0.0026230245628067195,-0.00043044160717232527
2024-09-26,Habitat,21.915316000000004,0.008382104266402735,0.0034667200110540886
2024-09-27,Habitat,21.895324,-0.0009122387283854172,-0.0035685564967063836
2024-09-30,Habitat,21.505385500000003,-0.0178092135106106,0.0002864807114240039
2024-10-01,Habitat,21.8372471,0.015431557830014153,-0.0019151459866003748
2024-10-02,Habitat,21.8683487,0.0014242454581190334,0.0010858199006593618
2024-10-03,Habitat,21.9300001,0.002819206920731121,-0.0035667264692319407
2024-10-04,Habitat,22.0579327,0.005833679863959329,0.0019177391712496543
2024-10-07,Habitat,22.1031378,0.0020493806294006323,0.0002864807114240039
2024-10-08,Habitat,21.9794201,-0.005597291258800374,-0.0003545102165692206
2024-10-09,Habitat,22.0120163,0.0014830327575385827,0.0007630698861884027
2024-10-10,Habitat,22.09996,0.003995258716940064,0.001089619766425197
2024-10-11,Habitat,22.1035416,0.00016206364174409238,0.0017745138149715953
2024-10-14,Habitat,22.1574533,0.0024390525724620193,0.0002864807114240039
2024-10-15,Habitat,21.9736377,-0.008295881187753595,-0.0017541031322602183
2024-10-16,Habitat,22.0385631,0.002954695116321071,0.00392570709921542
2024-10-17,Habitat,22.0455935,0.0003190044635894562,-0.00021055459370076016
2024-10-18,Habitat,22.1557976,0.004998917357339483,0.0024485193765502347
2024-10-21,Habitat,22.1727614,0.0007656596393532666,0.0002864807114240039
