afp,modelo,welch_p_error_firmado,levene_p_error_absoluto,ks_p_error_absoluto
Habitat,AFIN_W250,0.05140647877830609,4.8140132141898435e-08,3.4233878205309283e-09
Integra,IDENTIDAD_EW,0.00023594215505798384,2.1933652252532826e-11,1.1135497947843989e-13
Prima,IDENTIDAD_EW,4.575959517756666e-07,1.1887056609366613e-09,2.5848301504247253e-16
Profuturo,HUBER_W120,0.0547037753234199,8.839808611571374e-08,9.243993327673609e-08
