fecha_cartera,afp,suma_participacion_pct,categorias_nivel1,desvio_vs_100,estado
2015-01-30,Habitat,99.99999999999999,3,-1.4210854715202004e-14,correcto
2015-01-30,Integra,99.99999999999999,3,-1.4210854715202004e-14,correcto
2015-01-30,Prima,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-01-30,Profuturo,99.99999999999999,3,-1.4210854715202004e-14,correcto
2015-02-27,Habitat,100.0,3,0.0,correcto
2015-02-27,Integra,100.0,3,0.0,correcto
2015-02-27,Prima,100.0,3,0.0,correcto
2015-02-27,Profuturo,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-03-31,Habitat,100.0,3,0.0,correcto
2015-03-31,Integra,100.0,3,0.0,correcto
2015-03-31,Prima,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-03-31,Profuturo,100.0,3,0.0,correcto
2015-04-30,Habitat,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-04-30,Integra,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-04-30,Prima,100.0,3,0.0,correcto
2015-04-30,Profuturo,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-05-31,Habitat,99.99999999999999,3,-1.4210854715202004e-14,correcto
2015-05-31,Integra,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-05-31,Prima,100.0,3,0.0,correcto
2015-05-31,Profuturo,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-06-30,Habitat,100.0,3,0.0,correcto
2015-06-30,Integra,100.0,3,0.0,correcto
2015-06-30,Prima,100.0,3,0.0,correcto
2015-06-30,Profuturo,99.99999999999999,3,-1.4210854715202004e-14,correcto
2015-07-31,Habitat,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-07-31,Integra,99.99999999999999,3,-1.4210854715202004e-14,correcto
2015-07-31,Prima,100.0,3,0.0,correcto
2015-07-31,Profuturo,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-08-31,Habitat,100.0,3,0.0,correcto
2015-08-31,Integra,99.99999999999999,3,-1.4210854715202004e-14,correcto
2015-08-31,Prima,100.0,3,0.0,correcto
2015-08-31,Profuturo,100.0,3,0.0,correcto
2015-09-30,Habitat,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-09-30,Integra,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-09-30,Prima,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-09-30,Profuturo,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-10-31,Habitat,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-10-31,Integra,100.0,3,0.0,correcto
2015-10-31,Prima,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-10-31,Profuturo,100.0,3,0.0,correcto
2015-11-30,Habitat,100.0,3,0.0,correcto
2015-11-30,Integra,100.0,3,0.0,correcto
2015-11-30,Prima,100.00000000000001,3,1.4210854715202004e-14,correcto
2015-11-30,Profuturo,100.00000000000001,3,1.4210854715202004e-14,correcto
