ruta,archivo,formato,columna_fecha_objetivo,metodo_fecha,columna_horizonte,columna_prediccion,columna_afp,columna_modelo,escala_prediccion,fecha_maxima,fecha_mercado,dias_vs_mercado,observaciones,afp_latest,modelos_latest,modelos_requeridos_cumplidos,p99_abs_prediccion,mediana_abs_prediccion,prediccion_plausible,puntaje
C:\Users\PC\Downloads\afp_fondo3_inicio\afp_fondo3_inicio\data\processed\modelo_base_nowcast_predicciones.csv,modelo_base_nowcast_predicciones.csv,largo,fecha,fecha_generica,,retorno_estimado,afp,modelo,decimal,2026-06-30,2026-07-03,3,5952,4,M0_base_mercado,4,0.004019010262840774,0.0034719441479998496,True,207
C:\Users\PC\Downloads\afp_fondo3_inicio\afp_fondo3_inicio\data\processed\nowcast_operativo_fondo3.csv,nowcast_operativo_fondo3.csv,largo,fecha_estimada,fecha_objetivo_explicita,,retorno_estimado_dia,afp,modelo,decimal,2026-07-03,2026-07-03,0,12,4,modelo_no_identificado,0,0.00126076910707349,0.0010982416572580499,True,132
C:\Users\PC\Downloads\afp_fondo3_inicio\afp_fondo3_inicio\data\processed\nowcast_historico_estimaciones.csv,nowcast_historico_estimaciones.csv,largo,fecha_estimada,fecha_objetivo_explicita,,retorno_estimado_dia,afp,modelo,decimal,2026-07-03,2026-07-03,0,12,4,modelo_no_identificado,0,0.00126076910707349,0.0010982416572580499,True,84
C:\Users\PC\Downloads\afp_fondo3_inicio\afp_fondo3_inicio\data\processed\nowcast_validacion_detalle.csv,nowcast_validacion_detalle.csv,largo,fecha_estimada,fecha_objetivo_explicita,,retorno_estimado_dia,afp,modelo,decimal,2026-07-03,2026-07-03,0,12,4,modelo_no_identificado,0,0.00126076910707349,0.0010982416572580499,True,74
