escenario,objetivo,observaciones,ratio_mediano,ratio_p10,ratio_p90,error_mediano_pct,error_p90_pct,dentro_1pct,dentro_2pct,registros_medianos,identificadores_medianos,ranking_escenario
entidades_pendientes_dedup_id_valor,total_exterior,532,1.0309187891580331,0.1202504437190661,1.2812863883849124,7.736579970960089,87.9749556280934,13.345864661654137,22.74436090225564,17.5,16.0,1
entidades_pendientes_dedup_id_valor,rv_y_fondos_exterior,532,1.0519046966585093,0.12348606008268219,1.3346353966488345,11.081956385453207,87.85744266637246,6.7669172932330826,10.338345864661653,17.5,16.0,2
entidades_pendientes_dedup_id_valor,fondos_exterior_amplio,532,1.064862535865641,0.12467984204406085,1.337955199799824,11.696577036855837,87.70721729961072,6.578947368421052,9.774436090225564,17.5,16.0,3
entidades_pendientes_dedup_id_valor,administradoras_fondos_exterior,532,1.064862535865641,0.12467984204406085,1.338220039469282,11.792127360934046,87.70721729961072,6.578947368421052,9.586466165413533,17.5,16.0,4
entidades_pendientes_dedup_id_valor,fondos_mutuos_mas_etf,532,1.0977400415057186,0.1898634786083259,2.80978589130033,40.27495491989431,180.97858913003301,5.075187969924812,7.330827067669173,17.5,16.0,5
entidades_pendientes_dedup_id_valor,fondos_mutuos_exterior,532,1.0977400415057186,0.18993283457264187,2.8099921895791073,40.47220326932235,180.99921895791073,5.075187969924812,7.330827067669173,17.5,16.0,6
hojas_identificadas_dedup_id_valor,rv_y_fondos_exterior,532,0.99328951926965,0.8863553614420971,1.0128365749775812,1.7423832849464083,11.364463855790282,42.66917293233083,52.63157894736842,62.0,62.0,1
hojas_identificadas_dedup_id_valor,administradoras_fondos_exterior,532,0.9969204399369846,0.8878400704444266,1.0246628232399684,2.076827371058332,11.2979027278824,36.84210526315789,48.49624060150376,62.0,62.0,2
hojas_identificadas_dedup_id_valor,fondos_exterior_amplio,532,0.9958223421988575,0.8863553614420971,1.0243911028775332,2.188903375936957,11.462417211550607,35.902255639097746,46.616541353383454,62.0,62.0,3
hojas_identificadas_dedup_id_valor,total_exterior,532,0.9675692917799168,0.8597897449485518,0.9926908598777915,3.2430708220083204,14.021025505144827,15.789473684210526,37.21804511278196,62.0,62.0,4
hojas_identificadas_dedup_id_valor,fondos_mutuos_mas_etf,532,1.208113562553942,0.9999999999999997,1.8746317891314115,20.811356255394198,87.46317891314115,19.736842105263158,25.375939849624064,62.0,62.0,5
hojas_identificadas_dedup_id_valor,fondos_mutuos_exterior,532,1.2103421527932432,0.9999999999999998,1.8747560741860063,21.03421527932433,87.47560741860065,19.548872180451127,25.375939849624064,62.0,62.0,6
