anio,mes,archivo,hoja,fila_excel_aprox,columna_excel_aprox,valor,palabras_detectadas
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,2,1,Consolidado de las Carteras Administradas por Instrumento Financiero y AFP 1/,instrumento | cartera
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,6,4,Habitat,habitat
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,6,6,Integra,integra
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,6,8,Prima,prima
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,6,10,Profuturo,profuturo
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,7,4,Monto,monto
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,7,6,Monto,monto
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,7,8,Monto,monto
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,7,10,Monto,monto
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,7,12,Monto,monto
2026,3,FP-1356-ma2026.XLS,CAx Intru-Consolidado,47,3,Titulos con Derecho de Participación,participación
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 0 por Instrumento Financiero y AFP,instrumento | cartera
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,6,4,Habitat,habitat
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,6,6,Integra,integra
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,6,8,Prima,prima
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,6,10,Profuturo,profuturo
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,7,4,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,7,6,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,7,8,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,7,10,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,7,12,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo0xIntru,47,3,Titulos con Derecho de Participación,participación
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 1 por Instrumento Financiero y AFP,instrumento | cartera
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,6,4,Habitat,habitat
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,6,6,Integra,integra
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,6,8,Prima,prima
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,6,10,Profuturo,profuturo
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,7,4,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,7,6,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,7,8,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,7,10,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,7,12,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo1xIntru,47,3,Titulos con Derecho de Participación,participación
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 2 por Instrumento Financiero y AFP,instrumento | cartera
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,6,4,Habitat,habitat
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,6,6,Integra,integra
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,6,8,Prima,prima
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,6,10,Profuturo,profuturo
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,7,4,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,7,6,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,7,8,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,7,10,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,7,12,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo2xIntru,47,3,Titulos con Derecho de Participación,participación
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 3 por Instrumento Financiero y AFP,instrumento | cartera
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,6,4,Habitat,habitat
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,6,6,Integra,integra
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,6,8,Prima,prima
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,6,10,Profuturo,profuturo
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,7,4,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,7,6,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,7,8,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,7,10,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,7,12,Monto,monto
2026,3,FP-1356-ma2026.XLS,Fondo3xIntru,47,3,Titulos con Derecho de Participación,participación
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,2,1,Consolidado de las Carteras Administradas por Instrumento Financiero y AFP 1/,instrumento | cartera
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,6,4,Habitat,habitat
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,6,6,Integra,integra
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,6,8,Prima,prima
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,6,10,Profuturo,profuturo
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,7,4,Monto,monto
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,7,6,Monto,monto
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,7,8,Monto,monto
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,7,10,Monto,monto
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,7,12,Monto,monto
2026,4,FP-1356-ab2026.XLS,CAx Intru-Consolidado,47,3,Titulos con Derecho de Participación,participación
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 0 por Instrumento Financiero y AFP,instrumento | cartera
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,6,4,Habitat,habitat
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,6,6,Integra,integra
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,6,8,Prima,prima
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,6,10,Profuturo,profuturo
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,7,4,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,7,6,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,7,8,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,7,10,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,7,12,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo0xIntru,47,3,Titulos con Derecho de Participación,participación
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 1 por Instrumento Financiero y AFP,instrumento | cartera
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,6,4,Habitat,habitat
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,6,6,Integra,integra
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,6,8,Prima,prima
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,6,10,Profuturo,profuturo
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,7,4,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,7,6,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,7,8,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,7,10,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,7,12,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo1xIntru,47,3,Titulos con Derecho de Participación,participación
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 2 por Instrumento Financiero y AFP,instrumento | cartera
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,6,4,Habitat,habitat
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,6,6,Integra,integra
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,6,8,Prima,prima
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,6,10,Profuturo,profuturo
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,7,4,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,7,6,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,7,8,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,7,10,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,7,12,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo2xIntru,47,3,Titulos con Derecho de Participación,participación
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 3 por Instrumento Financiero y AFP,instrumento | cartera
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,6,4,Habitat,habitat
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,6,6,Integra,integra
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,6,8,Prima,prima
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,6,10,Profuturo,profuturo
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,7,4,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,7,6,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,7,8,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,7,10,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,7,12,Monto,monto
2026,4,FP-1356-ab2026.XLS,Fondo3xIntru,47,3,Titulos con Derecho de Participación,participación
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,2,1,Consolidado de las Carteras Administradas por Instrumento Financiero y AFP 1/,instrumento | cartera
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,6,4,Habitat,habitat
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,6,6,Integra,integra
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,6,8,Prima,prima
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,6,10,Profuturo,profuturo
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,7,4,Monto,monto
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,7,6,Monto,monto
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,7,8,Monto,monto
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,7,10,Monto,monto
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,7,12,Monto,monto
2026,5,FP-1356-my2026.XLS,CAx Intru-Consolidado,47,3,Titulos con Derecho de Participación,participación
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 0 por Instrumento Financiero y AFP,instrumento | cartera
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,6,4,Habitat,habitat
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,6,6,Integra,integra
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,6,8,Prima,prima
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,6,10,Profuturo,profuturo
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,7,4,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,7,6,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,7,8,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,7,10,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,7,12,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo0xIntru,47,3,Titulos con Derecho de Participación,participación
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 1 por Instrumento Financiero y AFP,instrumento | cartera
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,6,4,Habitat,habitat
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,6,6,Integra,integra
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,6,8,Prima,prima
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,6,10,Profuturo,profuturo
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,7,4,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,7,6,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,7,8,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,7,10,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,7,12,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo1xIntru,47,3,Titulos con Derecho de Participación,participación
2026,5,FP-1356-my2026.XLS,Fondo2xIntru,2,1,Cartera Administrada del Fondo de Pensiones Tipo 2 por Instrumento Financiero y AFP,instrumento | cartera
2026,5,FP-1356-my2026.XLS,Fondo2xIntru,6,4,Habitat,habitat
2026,5,FP-1356-my2026.XLS,Fondo2xIntru,6,6,Integra,integra
2026,5,FP-1356-my2026.XLS,Fondo2xIntru,6,8,Prima,prima
2026,5,FP-1356-my2026.XLS,Fondo2xIntru,6,10,Profuturo,profuturo
2026,5,FP-1356-my2026.XLS,Fondo2xIntru,7,4,Monto,monto
2026,5,FP-1356-my2026.XLS,Fondo2xIntru,7,6,Monto,monto
