periodo,afp,monto_ca_miles_soles,suma_pct_reportada,registros,total_fp_miles_soles,escenario,ratio_ca_fp,error_abs_pct,pct_calculado_sobre_fp,dif_pct_interno_pp
2015-01,Habitat,122321.3083696405,122.02042893892428,70,100246.5811940938,antes,1.220204289389245,22.020428938924507,122.02042893892451,2.2737367544323206e-13
2015-01,Integra,9959368.348888809,118.55587647871344,144,8400569.1195552,antes,1.1855587647871346,18.55587647871346,118.55587647871346,1.4210854715202004e-14
2015-01,Prima,9492473.909833947,118.20155404616628,103,8030752.206630416,antes,1.1820155404616635,18.201554046166347,118.20155404616635,7.105427357601002e-14
2015-01,Profuturo,6580394.748211822,121.92396545620873,151,5397129.861704912,antes,1.219239654562087,21.923965456208695,121.92396545620869,4.263256414560601e-14
2015-02,Habitat,132086.1653109346,121.02319018821794,77,109141.202694716,antes,1.2102319018821794,21.023190188217946,121.02319018821794,0.0
2015-02,Integra,10359235.930556372,119.92100485837872,142,8638383.194662321,antes,1.199210048583787,19.92100485837871,119.92100485837871,1.4210854715202004e-14
2015-02,Prima,9779699.407512194,118.66061694005663,105,8241739.8962728875,antes,1.1866061694005665,18.660616940056652,118.66061694005666,2.842170943040401e-14
2015-02,Profuturo,6786306.002711418,121.28311066670973,151,5595425.418597999,antes,1.2128311066670974,21.28311066670974,121.28311066670973,0.0
2015-03,Habitat,132580.5086788488,119.6190574283312,81,110835.6072428368,antes,1.196190574283314,19.61905742833141,119.61905742833142,2.1316282072803006e-13
2015-03,Integra,10318079.497072851,121.43780950903627,140,8496595.532139499,antes,1.2143780950903627,21.437809509036263,121.43780950903627,0.0
2015-03,Prima,9446479.931743339,116.20818354441366,104,8128928.310916229,antes,1.162081835444137,16.20818354441369,116.20818354441369,2.842170943040401e-14
2015-03,Profuturo,6783524.461530337,121.4894321410628,151,5583633.359693301,antes,1.2148943214106278,21.48943214106278,121.48943214106278,2.842170943040401e-14
