control,estado,detalle
canasta_fija,correcto,se usan los activos seleccionados en el módulo 51
alpha_fijo_modulo56,correcto,la regularización ya fue elegida antes del uso operativo
entrenamiento_con_todo_el_historico_oficial,correcto,el modelo se reajusta con todas las cuotas oficialmente conocidas sin cambiar la canasta
fecha_ultima_sbs,correcto,2026-06-30
fecha_ultimo_mercado,correcto,2026-07-03
estimaciones_solo_despues_de_sbs,correcto,filas_estimadas=12
cuatro_afp_resumidas,correcto,afp=4
cobertura_factores_informada,correcto,"se distingue cobertura completa, parcial y sin nueva señal"
cobertura_en_rango,correcto,la cobertura debe estar entre 0 y 100 %
