afp,tipo_ensemble,modelos,pesos,nombre,n,mae_retorno,rmse_retorno,r2_retorno,correlacion_retorno,direccion_pct,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.0, 1.0]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.00_1.00,593,0.007406481653700206,0.010304218282420823,0.390580939515065,0.6640314347046496,73.35581787521079,0.7421253361303999,0.5434351157863171,1.566583686255028,5.8623197527643445,0.14256499865037572
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.05, 0.95]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.05_0.95,593,0.0073843021216274795,0.01027248908368583,0.39432826070790283,0.6676116115180825,73.35581787521079,0.7398470647601536,0.5303894911724782,1.585425898062643,5.858892123194437,0.13408059450361753
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.1, 0.9]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.10_0.90,593,0.007365207733108881,0.010243671739556917,0.3977216679363492,0.6708014263384633,73.69308600337267,0.7378754437753208,0.5360253062216325,1.578282725087704,5.855464493624529,0.12559619035686062
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.15, 0.85]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.15_0.85,593,0.007349111597476267,0.01021779088706717,0.40076116120040417,0.6735861179653718,74.19898819561551,0.7362028386212576,0.5393283296114548,1.5711395521127602,5.852036864054599,0.1171117862101034
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.2, 0.8]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.20_0.80,593,0.007336299541754822,0.010194868890110963,0.4034467405000677,0.6759529598100632,73.86172006745363,0.7348584709950068,0.5422088190466745,1.5504531913597042,5.848609234484714,0.10862738206334618
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.25, 0.75]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.25_0.75,593,0.0073243899525904455,0.010174925745771083,0.40577840583533975,0.6778914462272279,74.70489038785834,0.7336048031483592,0.5466114374708342,1.568373836511423,5.845181604914806,0.10014297791658831
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.3, 0.7]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.30_0.70,593,0.0073146801711976355,0.01015797899919278,0.4077561572062205,0.6793934479526833,75.04215851602024,0.7325713946173225,0.5506413687068612,1.5689630091147773,5.841753975344877,0.0916585737698305
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.35, 0.65]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.35_0.65,593,0.007306537297453072,0.010144043667828494,0.4093799946127098,0.6804533320584492,75.04215851602024,0.7316942965667291,0.5524633648144595,1.5718639024456682,5.838326345774969,0.08317416962307342
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.4, 0.6]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.40_0.60,593,0.007299698229450137,0.010133132175801548,0.41064991805480766,0.6810680428368571,74.70489038785834,0.7309474877067632,0.5474354346737376,1.5708736536973356,5.834898716205061,0.07468976547631692
Habitat,PAR,"['EW_RIDGE_HL60_A0.001', 'DIRECTO_EXTRA_TREES']","[0.45, 0.55]",BLEND_EW_RIDGE_HL60_A0.001_DIRECTO_EXTRA_TREES_W0.45_0.55,593,0.007295139949177973,0.01012525429904856,0.4115659275325142,0.6812371412038049,74.36762225969646,0.7304293815161715,0.5425632303921901,1.5561859527425348,5.831471086635154,0.06620536132955934
