afp,modelo,tarea,segmento,parametros,retorno_acumulado_n,retorno_acumulado_mae,retorno_acumulado_rmse,retorno_acumulado_r2,retorno_acumulado_sesgo,retorno_acumulado_desviacion_residual,retorno_acumulado_varianza_residual,retorno_acumulado_correlacion,retorno_acumulado_direccion_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,DIARIO_RIDGE,diario_recursivo,entrenamiento,"{""alpha"": 0.001}",1777,0.0063228411044607144,0.00855987861846656,0.49986390036579575,-0.000296038602921522,0.008557166017429552,7.322509024985115e-05,0.7075700563081265,75.01406865503658,1777,0.631741584199094,0.4835855425599389,1.3423066417143272,4.798358509310896,-0.022079544818572515,0.7075700563081265,75.01406865503658
Habitat,DIARIO_RIDGE,diario_recursivo,validacion,"{""alpha"": 0.001}",593,0.00744486377490847,0.010316572223042116,0.38911877327333977,0.0006930559362510605,0.010301956501250525,0.00010613030775365794,0.6498552764699931,74.03035413153457,593,0.7456689743822151,0.5430564762211043,1.4746880207755326,6.452548651669532,0.0813857282071662,0.6498552764699931,74.03035413153457
Habitat,DIARIO_RIDGE,diario_recursivo,prueba,"{""alpha"": 0.001}",593,0.008616737896332384,0.012561157155106842,0.19068293858790974,-0.0012488694789030978,0.01250947178312068,0.00015648688429269252,0.46958106810207084,72.00674536256324,593,0.8575698442226729,0.5700341016352417,2.0442773465649253,6.382049584379812,-0.11077568576822097,0.46958106810207084,72.00674536256324
Habitat,DIARIO_POLY_RIDGE,diario_recursivo,entrenamiento,"{""alpha"": 10.0, ""interaction_only"": true}",1777,0.005898111593385124,0.00792685665437301,0.5711010335829659,-0.00023913688798801356,0.007925479030792885,6.281321786753771e-05,0.7565123882739702,76.19583567810918,1777,0.5886544372754944,0.45965504898717313,1.269675446973049,4.638980285480265,-0.01731451932872915,0.7565123882739702,76.19583567810918
Habitat,DIARIO_POLY_RIDGE,diario_recursivo,validacion,"{""alpha"": 10.0, ""interaction_only"": true}",593,0.007492376962765243,0.010362318039928655,0.38368921437193293,0.0010239475896296362,0.01032030893785938,0.00010650877657286021,0.6485710938403615,73.86172006745363,593,0.7504050553558622,0.5526123604089439,1.522695144826077,6.268938965381321,0.11448845009882774,0.6485710938403615,73.86172006745363
Habitat,DIARIO_POLY_RIDGE,diario_recursivo,prueba,"{""alpha"": 10.0, ""interaction_only"": true}",593,0.008586084846621567,0.012825964506350854,0.15620010874478563,-0.001302934708077908,0.012770385261081837,0.00016308273971645624,0.45511575951384,73.69308600337267,593,0.8545466492727076,0.5575404234697601,2.034395175398598,7.615447061720538,-0.1163793052930416,0.45511575951384,73.69308600337267
Habitat,DIARIO_SVR_RBF,diario_recursivo,entrenamiento,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",1777,0.0032653327344219344,0.0048849147231789965,0.8371202989994695,-0.00015339767668767548,0.004883879993162758,2.3852283787615455e-05,0.918440708252721,86.94428812605514,1777,0.3257769930659132,0.21935711964314875,0.7419703387221599,4.58177516291598,-0.011968727264061183,0.918440708252721,86.94428812605514
Habitat,DIARIO_SVR_RBF,diario_recursivo,validacion,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.00907176780601863,0.012725985752037993,0.0704584689793516,0.0010758112293323145,0.012691136826051141,0.00016106495393755144,0.34459791746774504,64.75548060708263,593,0.9087814084675134,0.650162960495837,1.946043409634367,6.703178773813745,0.12174496474074349,0.34459791746774504,64.75548060708263
Habitat,DIARIO_SVR_RBF,diario_recursivo,prueba,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.009774003110593425,0.0137753824144972,0.02665517182513011,-0.0011124086725176879,0.013741985293972206,0.00018884215981974838,0.37366387247957616,70.15177065767286,593,0.9739433840057125,0.6877827368157563,2.314577462973304,6.206537598037998,-0.09655304057765783,0.37366387247957616,70.15177065767286
Habitat,DIARIO_GRADIENT_BOOSTING,diario_recursivo,entrenamiento,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",1777,0.005694754167647728,0.007892662757006856,0.5747933157252523,-0.0002533075026637438,0.00789081745430891,6.226500009722613e-05,0.7677113557820257,77.77152504220597,1777,0.5688560637936576,0.42229922475049975,1.2310930948567567,4.925657506507952,-0.017918118081409366,0.7677113557820257,77.77152504220597
