afp,estado_modelo,factores_usados,lista_factores,alpha_seleccionado,n_train,n_valid,n_test,rmse_test,rmse_baseline_cero,mejora_rmse_vs_cero_pct,r2_test,direccion_correcta_test_pct
Habitat,evaluado,8,ret_IDX_VIX__lag0 | vix_retorno__lag0 | ret_COPX__lag0 | ret_EEM__lag0 | ret_MCHI__lag0 | ret_XLB__lag0 | ret_VGK__lag0 | ret_ACWI__lag0,0.01,1662,547,463,0.0059965769540558655,0.0074386140641493,19.38583044714459,0.34841862680385594,67.81857451403887
Integra,evaluado,8,ret_COPX__lag0 | ret_EPU__lag0 | ret_EEM__lag0 | ret_XLB__lag0 | ret_IDX_VIX__lag0 | vix_retorno__lag0 | ret_VGK__lag0 | ret_ACWI__lag0,0.01,1662,547,463,0.006141359706995052,0.008003822685767747,23.269668155998673,0.41106494636151214,73.2181425485961
Prima,evaluado,8,ret_COPX__lag0 | ret_EPU__lag0 | ret_EEM__lag0 | ret_IDX_VIX__lag0 | vix_retorno__lag0 | ret_XLB__lag0 | ret_VGK__lag0 | ret_ACWI__lag0,0.01,1662,547,463,0.006329178790905178,0.008214519246041413,22.951318253284064,0.40585798046910215,72.78617710583153
Profuturo,evaluado,8,ret_COPX__lag0 | ret_EPU__lag0 | ret_IDX_VIX__lag0 | vix_retorno__lag0 | ret_EEM__lag0 | ret_XLB__lag0 | ret_VGK__lag0 | ret_ACWI__lag0,0.01,1662,547,463,0.006538596552866706,0.008377782334487743,21.95313399406304,0.39063957027781915,72.78617710583153
