afp,observaciones_validadas,nivel_muestra,rmse,mae,sesgo_medio,rmse_pct,mae_pct,sesgo_medio_pct,direccion_correcta_pct,correlacion,prediccion_media_pct,retorno_real_medio_pct,observaciones_pendientes,primera_fecha_prediccion,ultima_fecha_prediccion
Habitat,0,sin_datos,,,,,,,,,,,3,2026-07-01,2026-07-03
Integra,0,sin_datos,,,,,,,,,,,3,2026-07-01,2026-07-03
Prima,0,sin_datos,,,,,,,,,,,3,2026-07-01,2026-07-03
Profuturo,0,sin_datos,,,,,,,,,,,3,2026-07-01,2026-07-03
