fecha_cartera,anio,mes,afp,fondo,monto_miles_soles,participacion_pct,archivo_fuente,hoja_fuente,fila_excel_aprox,nivel_profundidad,descripcion,ruta_jerarquica,nivel_1,nivel_2,nivel_3,tipo_fila,es_hoja
2015-01-30,2015,1,Habitat,3,37165.492561925705,37.074074865423306,FP-1356-en2015.XLS,Fondo3xIntru,6,1,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,,,categoria_nivel_1,False
2015-01-30,2015,1,Habitat,3,3392.1729039091992,3.3838290179107418,FP-1356-en2015.XLS,Fondo3xIntru,7,2,1. Gobierno,I. INVERSIONES LOCALES > 1. Gobierno,I. INVERSIONES LOCALES,1. Gobierno,,categoria_nivel_2,False
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,8,3,Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP (1),instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,3392.1729039091992,3.3838290179107418,FP-1356-en2015.XLS,Fondo3xIntru,9,3,Bonos del Gobierno Central,I. INVERSIONES LOCALES > 1. Gobierno > Bonos del Gobierno Central,I. INVERSIONES LOCALES,1. Gobierno,Bonos del Gobierno Central,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,11,3,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,10206.435822037198,10.181330575529419,FP-1356-en2015.XLS,Fondo3xIntru,12,2,2. Sistema Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero,I. INVERSIONES LOCALES,2. Sistema Financiero,,categoria_nivel_2,False
2015-01-30,2015,1,Habitat,3,537.6774482799999,0.5363548979680097,FP-1356-en2015.XLS,Fondo3xIntru,13,3,Certificados y Depósitos a Plazo (2),I. INVERSIONES LOCALES > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2),I. INVERSIONES LOCALES,2. Sistema Financiero,Certificados y Depósitos a Plazo (2),instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,14,3,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,15,3,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,16,3,Bonos de Arrendamiento Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos de Arrendamiento Financiero,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos de Arrendamiento Financiero,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,4894.0267262694,4.88198866033522,FP-1356-en2015.XLS,Fondo3xIntru,17,3,Bonos Subordinados,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Subordinados,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Subordinados,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,1443.5310557177,1.439980335012909,FP-1356-en2015.XLS,Fondo3xIntru,18,3,Otros Bonos Sector Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Otros Bonos Sector Financiero,I. INVERSIONES LOCALES,2. Sistema Financiero,Otros Bonos Sector Financiero,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,20,3,Bonos Hipotecarios,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Hipotecarios,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Hipotecarios,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,3331.2005917701,3.323006682213281,FP-1356-en2015.XLS,Fondo3xIntru,21,3,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,22,3,Acciones Preferentes,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones Preferentes,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones Preferentes,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,22670.6527250509,22.614888662543812,FP-1356-en2015.XLS,Fondo3xIntru,23,2,3. Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras,I. INVERSIONES LOCALES,3. Empresas no Financieras,,categoria_nivel_2,False
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,24,3,Papeles Comerciales,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Papeles Comerciales,I. INVERSIONES LOCALES,3. Empresas no Financieras,Papeles Comerciales,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,25,3,Pagarés LP,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Pagarés LP,I. INVERSIONES LOCALES,3. Empresas no Financieras,Pagarés LP,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,26,3,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES,3. Empresas no Financieras,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,5200.951400494901,5.188158377615897,FP-1356-en2015.XLS,Fondo3xIntru,27,3,Bonos de Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos de Empresas no Financieras,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos de Empresas no Financieras,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,28,3,Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos para Nuevos Proyectos,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,29,3,Bonos Estructurados,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Estructurados,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Estructurados,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,17469.701324555997,17.426730284927913,FP-1356-en2015.XLS,Fondo3xIntru,30,3,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,31,3,Certificados de Suscripción Preferente,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Certificados de Suscripción Preferente,I. INVERSIONES LOCALES,3. Empresas no Financieras,Certificados de Suscripción Preferente,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,34,2,4. Administradoras de Fondos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos,I. INVERSIONES LOCALES,4. Administradoras de Fondos,,categoria_nivel_2,False
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,35,3,Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,37,3,Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,896.2311109284,0.894026609439328,FP-1356-en2015.XLS,Fondo3xIntru,38,2,5. Sociedades Titulizadoras,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,,categoria_nivel_2,False
2015-01-30,2015,1,Habitat,3,896.2311109284,0.894026609439328,FP-1356-en2015.XLS,Fondo3xIntru,39,3,Bonos de Titulización (5),I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos de Titulización (5),I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos de Titulización (5),instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,40,3,Titulos con Derecho de Participación,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Titulos con Derecho de Participación,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Titulos con Derecho de Participación,instrumento_o_detalle,True
2015-01-30,2015,1,Habitat,3,63324.8449145881,63.16908183829314,FP-1356-en2015.XLS,Fondo3xIntru,41,1,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,,,categoria_nivel_1,False
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,42,2,1. Gobierno,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,,categoria_nivel_2,False
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,43,3,Títulos de Deuda,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno > Títulos de Deuda,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,Títulos de Deuda,instrumento_o_detalle,True
