modelo,mape_cuota_5d_pct,p90_error_abs_5d_pct,ranking_validacion_mape,mape_prueba_pct,p90_prueba_pct,direccion_acumulada_prueba_pct,sesgo_prueba_pct,afp,ranking_prueba_mape
ARDL_OLS,0.7523696268680959,1.5235933232066363,1.0,0.8264012816506504,2.0739325407144564,74.03035413153457,-0.1133968324087563,Habitat,2.0
ARDL_RIDGE,0.7523696337508449,1.5235932466704298,2.0,0.8264012715452379,2.073932485993859,74.03035413153457,-0.11339684797924139,Habitat,1.0
ELASTIC_NET,0.807069458169031,1.671604741362971,5.0,0.8564970015980692,2.1174400887728377,71.8381112984823,-0.13277309617168565,Habitat,5.0
HUBER,0.8123555303510703,1.6909584417636534,6.0,0.8594831118699192,2.1225750915518424,72.00674536256324,-0.11953775602895433,Habitat,6.0
LAD_Q50,0.8282701641607682,1.722353176520771,7.0,0.863120751396021,2.1484530266860267,71.66947723440134,-0.11507969673943798,Habitat,7.0
MEDIA_EXPANSIVA,0.9547604784367842,2.0512124940550858,8.0,0.9995255386934312,2.3700754111199744,62.22596964586846,-0.1729467136503868,Habitat,8.0
OLS,0.807009427774724,1.6714728910579526,3.0,0.8564553868700489,2.1175674776287394,71.8381112984823,-0.13275452270718946,Habitat,3.0
RETORNO_CERO,0.9614381446372002,2.014448851176509,9.0,1.0195940734705966,2.3831012189354976,,-0.2827617712632653,Habitat,9.0
RIDGE,0.807009465119461,1.6714729663211172,4.0,0.8564554142219674,2.1175673770985464,71.8381112984823,-0.1327545333471089,Habitat,4.0
ARDL_OLS,0.6648839332173312,1.324835837215171,1.0,0.9095953565743563,2.2124385107611206,65.59865092748736,0.05851841183038911,Integra,2.0
ARDL_RIDGE,0.6648839353844846,1.3248354399936042,2.0,0.9095953308825457,2.2124386126579134,65.59865092748736,0.05851828750923501,Integra,1.0
ELASTIC_NET,0.7090215322775385,1.4549000801636311,5.0,0.9125499500393202,2.2455329773170583,68.8026981450253,-0.04196277482616133,Integra,5.0
HUBER,0.7231904858150544,1.4782579846795814,6.0,0.9236191326059219,2.2910567594424167,69.30860033726813,-0.044364414890067684,Integra,6.0
LAD_Q50,0.7363364426303602,1.5309691531633265,7.0,0.9331029793855716,2.310200668582488,67.45362563237775,-0.03126685544853408,Integra,7.0
MEDIA_EXPANSIVA,0.8372048177640836,1.6804134166204374,9.0,1.0410245711129298,2.470406067538207,58.68465430016864,-0.1344529932953032,Integra,8.0
OLS,0.7089865134120971,1.454665540830323,3.0,0.9125153898816524,2.2454175189399326,68.8026981450253,-0.04191572289915953,Integra,3.0
RETORNO_CERO,0.8338534601295258,1.653148074094542,8.0,1.0506052925984848,2.5219787874523143,,-0.2079192201021966,Integra,9.0
RIDGE,0.7089865267731725,1.454665367793183,4.0,0.9125154046697361,2.2454175259628926,68.8026981450253,-0.041915724278102244,Integra,4.0
ARDL_OLS,0.6160859364106425,1.2600777444027909,1.0,0.8965392526221374,2.138023808404892,70.65767284991568,0.02876250076389377,Prima,1.0
ARDL_RIDGE,0.6160859381469713,1.2600776904948772,2.0,0.8965392650504651,2.138024145167825,70.65767284991568,0.028762421699340776,Prima,2.0
ELASTIC_NET,0.6557537501778572,1.41446081261381,5.0,0.8997199879039705,2.2097311902580588,73.52445193929174,-0.048735981173331056,Prima,5.0
HUBER,0.6700483743319056,1.4278910089866197,6.0,0.9134704878282279,2.2355965311804313,73.52445193929174,-0.05668700535451355,Prima,6.0
LAD_Q50,0.6782098115852135,1.4630068606397861,7.0,0.9209243329890787,2.2531575795599377,73.18718381112986,-0.03878445261013424,Prima,7.0
MEDIA_EXPANSIVA,0.7913128776388066,1.643873306018145,8.0,1.0765067378979765,2.553288438869934,59.52782462057336,-0.121081739004183,Prima,8.0
OLS,0.6556810773557097,1.4128774474717571,3.0,0.899592465498573,2.2093906741918348,73.69308600337267,-0.048730743046828374,Prima,3.0
RETORNO_CERO,0.7931913681015548,1.6754554069130942,9.0,1.0869260599641308,2.556067335732489,,-0.1857827268687046,Prima,9.0
RIDGE,0.6556811008283971,1.4128779805453335,4.0,0.899592521925842,2.209390822387657,73.69308600337267,-0.04873074885947319,Prima,4.0
ARDL_OLS,0.6369976211391634,1.299945307629012,1.0,0.9442288357545405,2.0134644848834737,66.94772344013491,0.08129808492732045,Profuturo,2.0
ARDL_RIDGE,0.6369976637746535,1.2999451027541349,2.0,0.9442288247462155,2.0134647784400177,66.94772344013491,0.08129795525196785,Profuturo,1.0
ELASTIC_NET,0.6963120945373263,1.5266275559221587,5.0,0.9624567936991877,2.3082021828301675,69.81450252951096,-0.017360677739330754,Profuturo,5.0
HUBER,0.7118349702704353,1.5547334778234054,6.0,0.9713068375244372,2.3326053520020777,69.13996627318718,-0.017528345125873923,Profuturo,6.0
LAD_Q50,0.7254456592833096,1.5700687637340571,7.0,0.9784696601589735,2.375422429707015,66.77908937605397,0.012240596045381266,Profuturo,7.0
MEDIA_EXPANSIVA,0.8425998555006567,1.762329517622967,9.0,1.0840097373838915,2.594523288218876,59.02192242833052,-0.1087916581929749,Profuturo,8.0
OLS,0.6962677934499564,1.52652287074437,3.0,0.9624230302664003,2.3080270468950883,69.81450252951096,-0.017313746054837795,Profuturo,3.0
RETORNO_CERO,0.8412410293274828,1.7069821334111706,8.0,1.0971413570388178,2.618223017055464,,-0.2005846841226252,Profuturo,9.0
RIDGE,0.6962678090545705,1.526522916108931,4.0,0.9624230488512732,2.308027148842686,69.81450252951096,-0.017313747079766226,Profuturo,4.0
