afp,modelo,periodo,observaciones,n_factores,mae_retorno,rmse_retorno,r2,mape_cuota_pct,direccion_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,familia_comparacion,correlacion,ranking_rmse
Habitat,Actual monitor: EW-Ridge canasta podada,prueba historica publicacion SBS,593,9,0.0034441154729586,0.005025593304786,0.5456985067504458,0.638053230178658,83.6424957841484,0.4501105278281292,1.4689601278587292,4.509267514155857,modelo_actual_monitor,,
Integra,Actual monitor: EW-Ridge canasta podada,prueba historica publicacion SBS,593,4,0.0037920504530079,0.0056042070466694,0.49824073366233,0.7187925348940164,79.76391231028668,0.4542921126347687,1.729678950799141,6.2352402396386175,modelo_actual_monitor,,
Prima,Actual monitor: EW-Ridge canasta podada,prueba historica publicacion SBS,593,3,0.0039539309547296,0.0061289936502606,0.4659947319869439,0.7831184574045941,81.28161888701517,0.500345065408625,1.922542974212912,6.633689363175055,modelo_actual_monitor,,
Profuturo,Actual monitor: EW-Ridge canasta podada,prueba historica publicacion SBS,593,5,0.0040234102603557,0.0060050382927871,0.4637992260281778,0.7513279104491656,82.79932546374368,0.4959133699312446,1.8232496926869504,5.96610730994751,modelo_actual_monitor,,
Habitat,M2_hibrido / lag0_1_2,2025-01-02 a 2026-06-30,372,60,0.0042917311534969,0.0064434045573438,0.432093279708594,,75.26881720430107,,,,mejor_modelo_pesos_reales,0.731118348076737,1.0
Integra,M1_pesos_reales / lag0,2025-01-02 a 2026-06-30,372,10,0.0046230552624624,0.0067291953972367,0.4524968642996306,,75.26881720430107,,,,mejor_modelo_pesos_reales,0.7859467365139724,1.0
Prima,M1_pesos_reales / lag0,2025-01-02 a 2026-06-30,372,10,0.0048575359554985,0.0072080558670585,0.4207916862249213,,76.61290322580645,,,,mejor_modelo_pesos_reales,0.7682811510430753,1.0
Profuturo,M2_hibrido / lag0_1,2025-01-02 a 2026-06-30,372,40,0.0049044469202071,0.0073096082665229,0.413321687385333,,75.80645161290323,,,,mejor_modelo_pesos_reales,0.7417400562485205,1.0
