fecha_prediccion,afp_disponibles,retorno_medio_pct,retorno_mediano_pct,retorno_minimo_pct,retorno_maximo_pct,afp_positivas,afp_negativas,dispersion_entre_afp_pp
2026-07-01,4,-0.4440087730108625,-0.44508546694939,-0.5372258861535399,-0.34863827199113,0,4,0.18858761416240993
2026-07-02,4,0.042864292248119995,0.04496361589646,0.02523107306617,0.05629886413339,4,0,0.031067791067219998
2026-07-03,4,0.11205473870439,0.109824165725805,0.10210337217336998,0.12646725119258,4,0,0.024363879019210027
