afp,modelo,referencia,n_dm,diferencia_media_perdida,dm_estadistico,dm_pvalor,supera_campeon_con_evidencia
Habitat,CAMPEON_MAS_BVL,CAMPEON_PRE_BVL,593,-0.0003941265056967811,-2.6838405801521668,0.007278180214226548,True
Integra,CAMPEON_MAS_BVL,CAMPEON_PRE_BVL,593,-2.580133664274677e-05,-0.16491100628946206,0.8690140292481872,False
Prima,CAMPEON_MAS_BVL,CAMPEON_PRE_BVL,593,3.124095737395108e-05,0.19481275968681636,0.8455395328883262,False
Profuturo,CAMPEON_MAS_BVL,CAMPEON_PRE_BVL,593,7.328701233874116e-05,0.4384175474238911,0.6610836285009731,False
