afp,modelo,segmento,n_residuos,ljungbox_p_lag5,ljungbox_p_lag10,ljungbox_p_lag20,arch_lm_p_lag10,asimetria_residual,curtosis_exceso_residual
Habitat,OLS,entrenamiento,1779,1.586157876381872e-13,1.3053204885957126e-14,1.717808538180129e-13,2.857332205473759e-42,-0.2603422557936396,4.02760020600292
Habitat,OLS,validacion,593,0.0003835088394159934,0.0004626998754233244,0.00016460411714137044,8.6868134696338e-15,-0.4782513600106077,4.190920243055148
Habitat,OLS,prueba,593,0.9768011331858066,0.6553115376971195,0.007614768677720689,0.00010079924152334346,1.055327362796092,14.537652874856512
Habitat,RIDGE,entrenamiento,1779,1.586114611380971e-13,1.3052854946377094e-14,1.7177647824765455e-13,2.857271687059658e-42,-0.2603423654805002,4.027600883371495
Habitat,RIDGE,validacion,593,0.00038350778412011785,0.00046269864284476656,0.0001646037901649716,8.686806955131032e-15,-0.4782514709372618,4.190920775637667
Habitat,RIDGE,prueba,593,0.976801180835329,0.655311575793221,0.007614770067413356,0.00010079886388988249,1.0553269093292212,14.537648606896248
Habitat,ELASTIC_NET,entrenamiento,1779,1.5362723920538934e-13,1.264728004214922e-14,1.6670755517966303e-13,2.7873166706198755e-42,-0.2604329702641896,4.028369298612347
Habitat,ELASTIC_NET,validacion,593,0.00038189194386488727,0.00046086923189357,0.00016410480532314434,8.683485115907408e-15,-0.47837508259267714,4.19142749857114
Habitat,ELASTIC_NET,prueba,593,0.976874614974005,0.6553725043582146,0.007616883133953803,0.00010021500468465383,1.0546208305413396,14.531037105369055
Habitat,HUBER,entrenamiento,1779,1.261880931769488e-14,1.0800576953391316e-15,1.609985815182497e-14,2.5896386934609523e-43,-0.26826575292446875,4.089155710085767
Habitat,HUBER,validacion,593,0.0002824063617411837,0.0003461535135522849,0.0001317847385056775,7.490443623588372e-15,-0.48786583559789914,4.231377293155499
Habitat,HUBER,prueba,593,0.9826755685699072,0.6604070085390048,0.007839782346485448,5.828052576331862e-05,0.9900998841945616,13.931781831243
Habitat,LAD_Q50,entrenamiento,1779,1.4946633716352672e-16,1.3610717450763716e-17,2.5475014921798524e-16,2.4103796964566688e-45,-0.2719107481321033,4.188879914256723
Habitat,LAD_Q50,validacion,593,0.00012464919508131558,0.0001632610306409519,7.120246387491752e-05,6.49652390540021e-15,-0.5005037776605685,4.246476455415014
Habitat,LAD_Q50,prueba,593,0.9874230436001299,0.6672705630865163,0.00813457792559595,2.954952070482217e-05,0.9048636317426432,13.205972292739624
Habitat,ARDL_OLS,entrenamiento,1776,0.058078443956170685,0.00019010633899390605,0.0037140024640757454,1.7422708664681875e-37,0.03164544543326246,5.0283975602605935
Habitat,ARDL_OLS,validacion,593,0.40201573692076725,0.01281100230969584,0.00017422268496860037,4.153763604257083e-18,-0.2612609600510997,5.038814435209803
Habitat,ARDL_OLS,prueba,593,0.006341385317427342,0.00506091051703745,1.6740470014726797e-05,0.0002500902725998689,1.1331986438003394,13.354615127726063
Habitat,ARDL_RIDGE,entrenamiento,1776,0.05807846976742064,0.00019010627568925146,0.003713995973210472,1.7421937248730487e-37,0.03164516327969379,5.028397650913988
Habitat,ARDL_RIDGE,validacion,593,0.40201644050543134,0.01281104809379649,0.0001742236889794644,4.1537712455287564e-18,-0.26126120605965936,5.03881472867144
Habitat,ARDL_RIDGE,prueba,593,0.006341387633960216,0.005060911410753171,1.67404714380529e-05,0.00025008930853744516,1.1331982192773584,13.35461204727941
Integra,OLS,entrenamiento,1779,2.346245919329845e-11,8.60652787999208e-11,1.722702075726654e-09,6.944765276741012e-38,-0.6285198208354813,4.694869733448941
Integra,OLS,validacion,593,0.2823602210444462,0.1707132725937607,0.12402708648870335,0.9999999208209894,4.718021657121401,74.19960944168166
Integra,OLS,prueba,593,0.9582426251850801,0.28306642362331524,0.018720622459227558,6.121225429972291e-13,0.07910261799141965,5.178747404594368
Integra,RIDGE,entrenamiento,1779,2.346227965185955e-11,8.606464294921677e-11,1.7226895040019153e-09,6.94458407381732e-38,-0.6285199761046596,4.694870261341026
