afp,fecha_inicio_pesos,fecha_fin_pesos,observaciones,peso_mapeado_mediano,peso_mapeado_minimo,peso_mapeado_maximo
Habitat,2015-02-02,2026-06-30,2945,1.0,0.9999999181289354,1.0000000000007805
Integra,2015-02-02,2026-06-30,2945,1.0,0.999999981742497,1.0000000000006448
Prima,2015-02-02,2026-06-30,2945,1.0,0.9999999924507381,1.0000000000007445
Profuturo,2015-02-02,2026-06-30,2945,1.0,0.9999999838085644,1.000000000000612
